auc_psnr,budget_cap,difficulty,edge_mae,error,final_scale_max,final_scale_mean,final_scale_p95,fit_seconds,height,image,init_seconds,iterations_run,iters,iters_to_targets,lpips,luma_psnr,mae,max_side,method,method_label,method_note,ms_ssim,mse,n_gaussians,p95_abs_error,psnr,reconstruction_path,renderer,seed,selected_path,source_path,ssim,start_gaussians,status,stopped_early,total_seconds,width
24.880906974213033,640,regular,0.03898148238658905,,12.0,3.9991767406463623,11.771780967712402,0.8125817775726318,107,kodim01,0.13777399063110352,80,80,"{'22.0': 3, '24.0': 19, '26.0': 58, '28.0': None, '30.0': None}",,26.898685455322266,0.03166341036558151,160,structsplat_current,StructSplat current,"best-searched StructSplat policy in this harness: aniso_flanking, scharr/rgb tensor, WSE, two-sided colors, feature12 cap, residual_tensor_add",0.9561057686805725,0.0019336491823196411,640,0.09115871042013168,27.13622283935547,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim01_seed0_structsplat_current.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.784104585647583,512,ok,False,0.9503557682037354,160
25.757508314108545,640,regular,0.036351725459098816,,98.48110961914062,6.363595008850098,20.8452205657959,0.18440818786621094,107,kodim01,0.11771392822265625,80,80,"{'22.0': 1, '24.0': 14, '26.0': 38, '28.0': None, '30.0': None}",,27.5457763671875,0.028843853622674942,160,structsplat_shipped_defaults,StructSplat shipped defaults,"public InitConfig/FitConfig defaults with only benchmark-control fields overridden (iterations, renderer, logging, target tracking)",0.9643627405166626,0.0016599762020632625,640,0.08533401042222977,27.798980712890625,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim01_seed0_structsplat_shipped_defaults.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8237816095352173,640,ok,False,0.3021221160888672,160
23.466752366174624,640,regular,0.0461137518286705,,59.59854507446289,5.036271572113037,13.89317798614502,0.19319486618041992,107,kodim01,0.0005223751068115234,80,80,"{'22.0': 17, '24.0': 48, '26.0': None, '28.0': None, '30.0': None}",,25.73202896118164,0.03534083440899849,160,gaussianimage,GaussianImage,fixed random GaussianImage-style baseline,0.9512011408805847,0.0025168361607939005,640,0.10289309173822403,25.991451263427734,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim01_seed0_gaussianimage.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.7573465704917908,640,ok,False,0.19371724128723145,160
21.7542692619034,640,regular,0.06546749919652939,,59.470149993896484,5.054961681365967,14.658604621887207,0.18551087379455566,107,kodim01,0.0004787445068359375,80,80,"{'22.0': 36, '24.0': None, '26.0': None, '28.0': None, '30.0': None}",,23.145160675048828,0.047663480043411255,160,gaussianimage_plus,GaussianImage++,random half-budget init plus high-residual additions,0.8969223499298096,0.004507699981331825,640,0.1354665905237198,23.46044921875,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim01_seed0_gaussianimage_plus.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.5994976162910461,320,ok,False,0.1859896183013916,160
21.89104404932336,640,regular,0.06109395995736122,,49.98525619506836,5.028537750244141,14.347747802734375,0.2012343406677246,107,kodim01,0.0037431716918945312,80,80,"{'22.0': 36, '24.0': None, '26.0': None, '28.0': None, '30.0': None}",,23.510601043701172,0.0457548126578331,160,image_gs,Image-GS,gradient-density init plus residual progressive additions,0.9033684730529785,0.004192978609353304,640,0.130777046084404,23.7747745513916,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim01_seed0_image_gs.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.6149559617042542,320,ok,False,0.20497751235961914,160
,640,regular,,RuntimeError: Instant-GI methods require STRUCTSPLAT_INSTANT_GI=/path/to/quard_image.py; unset -> this method is skipped.,,,,,107,kodim01,,,80,,,,,160,instant_gi_quadtree,Instant-GI qt,Instant-GI quadtree/Delaunay fallback; no learned checkpoint,,,,,,,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,,,error,,,160
30.910478495344332,640,regular,0.01518259011209011,,12.0,4.47945499420166,12.0,0.199066162109375,107,kodim02,0.12537598609924316,80,80,"{'22.0': 0, '24.0': 0, '26.0': 2, '28.0': 9, '30.0': 29}",,36.301761627197266,0.012014503590762615,160,structsplat_current,StructSplat current,"best-searched StructSplat policy in this harness: aniso_flanking, scharr/rgb tensor, WSE, two-sided colors, feature12 cap, residual_tensor_add",0.9801702499389648,0.0003877914568874985,640,0.039832718670368195,34.11402130126953,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim02_seed0_structsplat_current.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim02_160px.png,results/datasets/abl004/kodak24/kodim02.png,0.9044991731643677,512,ok,False,0.32444214820861816,160
31.916107443314566,640,regular,0.013978728093206882,,92.50653839111328,6.2649431228637695,22.073936462402344,0.17350554466247559,107,kodim02,0.12056279182434082,80,80,"{'22.0': 0, '24.0': 0, '26.0': 0, '28.0': 5, '30.0': 19}",,36.888587951660156,0.01118974294513464,160,structsplat_shipped_defaults,StructSplat shipped defaults,"public InitConfig/FitConfig defaults with only benchmark-control fields overridden (iterations, renderer, logging, target tracking)",0.9826270341873169,0.000339404126862064,640,0.03708195686340332,34.69282913208008,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim02_seed0_structsplat_shipped_defaults.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim02_160px.png,results/datasets/abl004/kodak24/kodim02.png,0.91338050365448,640,ok,False,0.2940683364868164,160
28.214020173760908,640,regular,0.02848411351442337,,58.15663146972656,5.8021416664123535,14.848544120788574,0.19701147079467773,107,kodim02,0.0007610321044921875,80,80,"{'22.0': 0, '24.0': 0, '26.0': 12, '28.0': 33, '30.0': 63}",,32.739501953125,0.01535042468458414,160,gaussianimage,GaussianImage,fixed random GaussianImage-style baseline,0.9732070565223694,0.0007818496087566018,640,0.05319719761610031,31.068767547607422,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim02_seed0_gaussianimage.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim02_160px.png,results/datasets/abl004/kodak24/kodim02.png,0.8778295516967773,640,ok,False,0.19777250289916992,160
26.063975237592867,640,regular,0.036048904061317444,,75.30166625976562,5.770647048950195,16.8013858795166,0.1915597915649414,107,kodim02,0.0009212493896484375,80,80,"{'22.0': 0, '24.0': 9, '26.0': 37, '28.0': 67, '30.0': None}",,30.872581481933594,0.01903592050075531,160,gaussianimage_plus,GaussianImage++,random half-budget init plus high-residual additions,0.9524341821670532,0.0011956884991377592,640,0.0692334845662117,29.223819732666016,results/cross_repo_matrix_kodak4_shipped/reconstructions/160px_80it/kodim02_seed0_gaussianimage_plus.png,cuda,0,results/cross_repo_matrix_kodak4_shipped/selected/kodim02_160px.png,results/datasets/abl004/kodak24/kodim02.png,0.8289993405342102,320,ok,False,0.19248104095458984,160
