image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,iters_to_target,n_gaussians,init_seconds,fit_seconds
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.8027,0.6483,0.86383,,,2000,0.012334346771240234,22.62934446334839
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.3734,0.65066,0.85827,,,2000,0.001795053482055664,21.492427587509155
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.0616,0.6552,0.85094,,,2000,0.26624512672424316,21.48159146308899
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,23.5348,0.66556,0.87251,,,2000,0.4054756164550781,21.57616090774536
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,23.2773,0.663,0.86818,,,2000,0.4101254940032959,20.876433610916138
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.6989,0.65449,0.85677,,,2000,0.12163496017456055,21.661048412322998
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.5086,0.66132,0.85626,,,2000,0.36261582374572754,21.46392011642456
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,23.0861,0.66246,0.86459,,,2000,1.0382075309753418,20.70260500907898
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,23.2778,0.65145,0.86813,,,2000,0.5084562301635742,22.379980087280273
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,23.3797,0.65504,0.86766,,,2000,0.03890180587768555,21.019165754318237
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.494,0.64674,0.85964,,,2000,0.0014796257019042969,22.398966550827026
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,25.2832,0.76745,0.93123,,,5000,0.0022809505462646484,23.484328508377075
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,25.5279,0.77086,0.93581,,,5000,0.0035173892974853516,22.43207287788391
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,25.5776,0.76121,0.92939,,,5000,0.8305354118347168,24.020450830459595
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,25.6076,0.76269,0.927,,,5000,1.215054988861084,23.524184942245483
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,25.3588,0.76049,0.92453,,,5000,1.2352266311645508,23.19302535057068
