baseline,budget,strategy,mean_delta_psnr,median_delta_psnr,wins_psnr,mean_delta_ms_ssim,wins_ms_ssim,mean_delta_ssim,mean_delta_total_s
aniso_flanking,2000,aniso_onedge,0.24250000000000016,0.1778499999999994,7,0.00296875000000002,7,0.0024199999999999916,0.8080109655857086
aniso_flanking,2000,quadtree_wse,-0.1856374999999999,-0.058699999999999974,4,-0.0012325000000000114,2,-0.00039250000000000396,-0.21459046006202698
aniso_flanking,2000,quadtree_hybrid,-0.21014999999999917,-0.2339999999999982,2,-0.0008912499999999962,2,-0.0007824999999999915,-0.19448190927505493
aniso_flanking,2000,quadtree_aggregate,-0.26984999999999904,-0.47250000000000014,2,-0.0036737499999999895,1,-0.003428750000000008,-0.3344711661338806
aniso_flanking,2000,iso_blue_noise,-0.5272374999999996,-0.41219999999999857,1,-0.005899999999999989,2,-0.008384999999999983,-0.5003208518028259
aniso_flanking,2000,density_random,-0.6117625000000002,-0.4390999999999998,1,-0.009232500000000018,0,-0.011706250000000015,-1.0059781670570374
aniso_flanking,2000,random_relocate,-1.8612625,-1.6971500000000006,0,-0.013428750000000003,0,-0.023834999999999995,0.32040202617645264
aniso_flanking,2000,grid,-1.9139374999999994,-1.7392499999999984,0,-0.008526249999999985,1,-0.018521249999999996,-1.5059215128421783
aniso_flanking,2000,random,-2.3969625,-2.33915,0,-0.017494999999999983,0,-0.026006249999999988,0.23654234409332275
aniso_flanking,2000,floyd_steinberg,-2.4099375,-2.440949999999999,1,-0.024723750000000017,0,-0.023073750000000018,-1.3083193004131317
aniso_flanking,5000,quadtree_wse,0.16777499999999979,0.16544999999999987,7,0.0016725000000000212,7,0.0017012499999999875,-1.377688229084015
aniso_flanking,5000,quadtree_hybrid,0.16270000000000007,0.1922499999999978,7,0.0021375000000000005,7,0.0035962499999999814,-1.1190999448299408
aniso_flanking,5000,aniso_onedge,0.05633750000000104,0.018700000000000827,6,0.001101250000000012,6,0.0008962500000000012,0.42154690623283386
aniso_flanking,5000,quadtree_aggregate,0.007300000000001194,0.03415000000000035,5,0.0007487500000000202,6,0.002033749999999987,-2.004269778728485
aniso_flanking,5000,iso_blue_noise,-0.05787499999999968,0.007750000000001478,4,-0.00042249999999996457,5,-0.00436375,-1.7387871444225311
aniso_flanking,5000,density_random,-0.4725624999999991,-0.39199999999999946,2,-0.0037487499999999813,0,-0.007391249999999988,-3.006068676710129
aniso_flanking,5000,floyd_steinberg,-1.1451499999999997,-0.16080000000000005,2,-0.004131249999999989,2,-0.004524999999999987,-3.7403397262096405
aniso_flanking,5000,grid,-1.7906250000000004,-1.4418500000000005,1,0.0011575000000000335,4,-0.004144999999999982,-4.325646251440048
aniso_flanking,5000,random_relocate,-2.0178999999999996,-1.6270499999999988,0,-0.0029937499999999895,2,-0.00880125000000001,-2.069264769554138
aniso_flanking,5000,random,-2.4698249999999993,-2.4451,0,-0.0036737499999999895,2,-0.009325000000000014,-2.5702399611473083
aniso_onedge,2000,aniso_flanking,-0.24250000000000016,-0.1778499999999994,1,-0.00296875000000002,1,-0.0024199999999999916,-0.8080109655857086
aniso_onedge,2000,quadtree_wse,-0.42813750000000006,-0.2339500000000001,1,-0.004201250000000031,1,-0.0028124999999999956,-1.0226014256477356
aniso_onedge,2000,quadtree_hybrid,-0.45264999999999933,-0.3796499999999998,0,-0.003860000000000016,2,-0.003202499999999983,-1.0024928748607635
aniso_onedge,2000,quadtree_aggregate,-0.5123499999999992,-0.5519499999999997,0,-0.0066425000000000095,1,-0.00584875,-1.1424821317195892
aniso_onedge,2000,iso_blue_noise,-0.7697374999999997,-0.6053999999999977,0,-0.008868750000000009,0,-0.010804999999999974,-1.3083318173885345
aniso_onedge,2000,density_random,-0.8542625000000004,-0.7164999999999999,0,-0.012201250000000038,0,-0.014126250000000007,-1.813989132642746
aniso_onedge,2000,random_relocate,-2.1037625,-2.0054499999999997,0,-0.016397500000000023,0,-0.026254999999999987,-0.487608939409256
aniso_onedge,2000,grid,-2.1564374999999996,-1.8330999999999982,0,-0.011495000000000005,0,-0.020941249999999988,-2.313932478427887
aniso_onedge,2000,random,-2.6394625,-2.44665,0,-0.020463750000000003,0,-0.02842624999999998,-0.5714686214923859
aniso_onedge,2000,floyd_steinberg,-2.6524375,-2.534799999999999,0,-0.027692500000000037,0,-0.02549375000000001,-2.1163302659988403
aniso_onedge,5000,quadtree_wse,0.11143749999999875,0.08534999999999826,5,0.0005712500000000093,4,0.0008049999999999863,-1.7992351353168488
aniso_onedge,5000,quadtree_hybrid,0.10636249999999903,0.05654999999999788,5,0.0010362499999999886,6,0.00269999999999998,-1.5406468510627747
aniso_onedge,5000,quadtree_aggregate,-0.049037499999999845,-0.05710000000000193,3,-0.0003524999999999917,4,0.0011374999999999857,-2.425816684961319
aniso_onedge,5000,aniso_flanking,-0.05633750000000104,-0.018700000000000827,2,-0.001101250000000012,2,-0.0008962500000000012,-0.42154690623283386
aniso_onedge,5000,iso_blue_noise,-0.11421250000000072,-0.09934999999999938,2,-0.0015237499999999765,3,-0.005260000000000001,-2.160334050655365
aniso_onedge,5000,density_random,-0.5289000000000001,-0.41664999999999885,0,-0.004849999999999993,0,-0.00828749999999999,-3.4276155829429626
aniso_onedge,5000,floyd_steinberg,-1.2014875000000007,-0.37734999999999985,0,-0.005232500000000001,0,-0.005421249999999989,-4.161886632442474
aniso_onedge,5000,grid,-1.8469625000000014,-1.5356500000000004,0,5.625000000002156e-05,3,-0.005041249999999983,-4.747193157672882
aniso_onedge,5000,random_relocate,-2.0742375000000006,-1.8782999999999994,0,-0.004095000000000001,2,-0.009697500000000012,-2.490811675786972
aniso_onedge,5000,random,-2.5261625000000003,-2.5123500000000014,0,-0.0047750000000000015,2,-0.010221250000000015,-2.991786867380142
