image,budget,psnr_winner,psnr,psnr_runner_up,psnr_margin,ms_ssim_winner,ms_ssim,aniso_flanking_rank_psnr,aniso_onedge_rank_psnr,floyd_steinberg_rank_psnr
kodim01,2000,aniso_onedge,23.5348,density_random,0.1551000000000009,aniso_onedge,0.87251,4,1,3
kodim01,5000,quadtree_wse,25.7216,aniso_onedge,0.11399999999999721,grid,0.93581,8,2,10
kodim04,2000,aniso_onedge,30.3244,aniso_flanking,0.10490000000000066,aniso_onedge,0.936,2,1,8
kodim04,5000,quadtree_hybrid,32.6406,iso_blue_noise,0.014800000000001035,quadtree_hybrid,0.96642,7,3,4
kodim07,2000,aniso_onedge,25.8728,quadtree_aggregate,0.2286999999999999,quadtree_hybrid,0.9428,5,1,11
kodim07,5000,quadtree_wse,33.6387,quadtree_hybrid,0.27300000000000324,quadtree_wse,0.98689,3,5,11
kodim10,2000,aniso_flanking,31.621,aniso_onedge,0.00689999999999813,aniso_flanking,0.96919,1,2,8
kodim10,5000,quadtree_hybrid,35.7997,aniso_onedge,0.25390000000000157,quadtree_hybrid,0.9872,3,2,7
kodim13,2000,aniso_onedge,20.5444,quadtree_hybrid,0.12099999999999866,quadtree_aggregate,0.8059,5,1,8
kodim13,5000,quadtree_wse,22.4609,quadtree_hybrid,0.061899999999997846,grid,0.88781,4,3,7
kodim16,2000,quadtree_wse,29.1717,aniso_onedge,0.032500000000002416,aniso_onedge,0.92316,3,2,11
kodim16,5000,quadtree_wse,31.9151,quadtree_aggregate,0.04639999999999844,quadtree_aggregate,0.9623,4,3,5
kodim19,2000,aniso_onedge,27.3619,quadtree_wse,0.134999999999998,aniso_onedge,0.9172,3,1,8
kodim19,5000,quadtree_hybrid,30.5637,quadtree_wse,0.08070000000000022,grid,0.95818,5,6,8
kodim22,2000,aniso_onedge,27.4976,quadtree_wse,0.03049999999999997,aniso_onedge,0.90249,3,1,10
kodim22,5000,aniso_onedge,29.9588,quadtree_hybrid,0.04960000000000164,quadtree_hybrid,0.94973,8,1,7
