budget_cap,coherence_power,corner_frac,error,fit_seconds,flank_offset_frac,flat_frac,height,image,init_seconds,init_strategy,iterations_run,iters,iters_to_targets,max_axis_ratio,max_side,ms_ssim,n_gaussians,psnr,reconstruction_path,renderer,sampling_mode,seed,selected_path,source_path,ssim,status,stopped_early,total_seconds,variant,variant_label,variant_note,width
640,1.0,0.15,,0.6431894302368164,0.0,0.02,107,kodim01,0.11321091651916504,aniso_onedge,80,80,"{'22.0': 2, '24.0': 14, '26.0': 41, '28.0': None, '30.0': None}",6.0,160,0.9626955986022949,640,27.763166427612305,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_80it/aniso_onedge.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8152187466621399,ok,False,0.7564003467559814,aniso_onedge,Aniso on-edge,anisotropic WSE centers placed on features,160
640,1.0,0.15,,0.18354582786560059,0.5,0.02,107,kodim01,0.10558438301086426,aniso_flanking,80,80,"{'22.0': 1, '24.0': 14, '26.0': 38, '28.0': None, '30.0': None}",6.0,160,0.9646592140197754,640,27.80694007873535,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_80it/aniso_flanking.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8240535855293274,ok,False,0.28913021087646484,aniso_flanking,Aniso flanking,"anisotropic WSE centers flanking features, offset 0.5",160
640,1.0,0.15,,0.17482733726501465,0.0,0.02,107,kodim01,0.22689557075500488,quadtree_wse,80,80,"{'22.0': 1, '24.0': 14, '26.0': 41, '28.0': None, '30.0': None}",6.0,160,0.96144038438797,640,27.84063720703125,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_80it/quadtree_wse.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8172280192375183,ok,False,0.40172290802001953,quadtree_wse,Quadtree WSE,quadtree allocation with local WSE/flanking samples,160
640,1.0,0.15,,0.18796586990356445,0.0,0.02,107,kodim01,0.12208676338195801,quadtree_hybrid,80,80,"{'22.0': 2, '24.0': 15, '26.0': 41, '28.0': None, '30.0': None}",6.0,160,0.9640519022941589,640,27.94135856628418,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_80it/quadtree_hybrid.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.82354336977005,ok,False,0.31005263328552246,quadtree_hybrid,Quadtree hybrid,aggregate smooth cells and sampled detailed cells,160
640,1.0,0.15,,0.17390131950378418,0.0,0.02,107,kodim01,0.06529092788696289,iso_blue_noise,80,80,"{'22.0': 11, '24.0': 33, '26.0': 72, '28.0': None, '30.0': None}",6.0,160,0.946665346622467,640,26.29319190979004,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_80it/iso_blue_noise.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.7529297471046448,ok,False,0.23919224739074707,iso_blue_noise,Iso blue noise,isotropic weighted sample elimination baseline,160
640,1.0,0.15,,0.17606544494628906,0.5,0.02,107,kodim01,0.023433446884155273,aniso_flanking,80,80,"{'22.0': 2, '24.0': 15, '26.0': 44, '28.0': None, '30.0': None}",6.0,160,0.961696207523346,640,27.50337791442871,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_80it/floyd_steinberg.png,cuda,floyd_steinberg,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8101998567581177,ok,False,0.19949889183044434,floyd_steinberg,Floyd-Steinberg,same flanking thesis config with Floyd-Steinberg placement,160
640,1.0,0.15,,0.4258120059967041,0.0,0.02,107,kodim01,0.10268688201904297,aniso_onedge,200,200,"{'22.0': 2, '24.0': 14, '26.0': 41, '28.0': 89, '30.0': None}",6.0,160,0.977601945400238,640,29.403703689575195,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_200it/aniso_onedge.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8739811778068542,ok,False,0.5284988880157471,aniso_onedge,Aniso on-edge,anisotropic WSE centers placed on features,160
640,1.0,0.15,,0.4266364574432373,0.5,0.02,107,kodim01,0.10073709487915039,aniso_flanking,200,200,"{'22.0': 1, '24.0': 14, '26.0': 38, '28.0': 87, '30.0': None}",6.0,160,0.9768941402435303,640,29.311983108520508,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_200it/aniso_flanking.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8738512992858887,ok,False,0.5273735523223877,aniso_flanking,Aniso flanking,"anisotropic WSE centers flanking features, offset 0.5",160
640,1.0,0.15,,0.4248967170715332,0.0,0.02,107,kodim01,0.22926759719848633,quadtree_wse,200,200,"{'22.0': 1, '24.0': 14, '26.0': 41, '28.0': 85, '30.0': None}",6.0,160,0.9777279496192932,640,29.46533203125,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_200it/quadtree_wse.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.87508225440979,ok,False,0.6541643142700195,quadtree_wse,Quadtree WSE,quadtree allocation with local WSE/flanking samples,160
640,1.0,0.15,,0.42894792556762695,0.0,0.02,107,kodim01,0.12193632125854492,quadtree_hybrid,200,200,"{'22.0': 2, '24.0': 15, '26.0': 41, '28.0': 82, '30.0': None}",6.0,160,0.9782512784004211,640,29.616403579711914,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_200it/quadtree_hybrid.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8786637783050537,ok,False,0.5508842468261719,quadtree_hybrid,Quadtree hybrid,aggregate smooth cells and sampled detailed cells,160
640,1.0,0.15,,0.4344937801361084,0.0,0.02,107,kodim01,0.06591224670410156,iso_blue_noise,200,200,"{'22.0': 11, '24.0': 33, '26.0': 72, '28.0': 127, '30.0': None}",6.0,160,0.9772565364837646,640,29.26898765563965,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_200it/iso_blue_noise.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8688873052597046,ok,False,0.50040602684021,iso_blue_noise,Iso blue noise,isotropic weighted sample elimination baseline,160
640,1.0,0.15,,0.4323270320892334,0.5,0.02,107,kodim01,0.023427248001098633,aniso_flanking,200,200,"{'22.0': 2, '24.0': 15, '26.0': 44, '28.0': 104, '30.0': None}",6.0,160,0.9755946397781372,640,29.10195541381836,results/abl004_visual_examples_5img/reconstructions/kodim01/160px_200it/floyd_steinberg.png,cuda,floyd_steinberg,0,results/abl004_visual_examples_5img/selected/kodim01_160px.png,results/datasets/abl004/kodak24/kodim01.png,0.8674822449684143,ok,False,0.45575428009033203,floyd_steinberg,Floyd-Steinberg,same flanking thesis config with Floyd-Steinberg placement,160
1440,1.0,0.15,,0.1977090835571289,0.0,0.02,160,kodim01,0.25958824157714844,aniso_onedge,80,80,"{'22.0': 2, '24.0': 17, '26.0': 44, '28.0': None, '30.0': None}",6.0,240,0.957363486289978,1440,27.517257690429688,results/abl004_visual_examples_5img/reconstructions/kodim01/240px_80it/aniso_onedge.png,cuda,wse,0,results/abl004_visual_examples_5img/selected/kodim01_240px.png,results/datasets/abl004/kodak24/kodim01.png,0.8093270063400269,ok,False,0.45729732513427734,aniso_onedge,Aniso on-edge,anisotropic WSE centers placed on features,240
