image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,background,opacity,renderer,aa,color_basis,color_solve,loss,loss_weight,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,edge_mae,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,background_fraction,background_grid,background_count,detail_count,background_actual_fraction,large_support_count,large_support_fraction,large_support_detail_count,large_support_detail_fraction,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,loss_weighting,loss_weight_beta,loss_weight_mean,loss_weight_max,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp,level_iters,level_budgets
COCO_train2014_000000000009,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,True,False,,,,ok,16.2579,0.59402,0.79401,,0.148672,15.29680347442627,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,63,0.984375,63,0.984375,12,False,,0.023501157760620117,0.06686711311340332,0.6459078788757324,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,9.4815,,,,
COCO_train2014_000000000009,64,0,64,64,quadtree_wse,central,luma,variance,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=variance|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,16.3632,0.61159,0.80292,,0.146437,15.532102368094705,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,62,0.96875,62,0.96875,12,False,,0.02223801612854004,0.06459760665893555,0.08921098709106445,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,9.4815,,,,
COCO_train2014_000000000009,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,constant,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=constant|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,16.2591,0.59436,0.79427,,0.148653,15.299004988236861,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,63,0.984375,63,0.984375,12,False,,0.020790576934814453,0.06866145133972168,0.09214615821838379,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,10.6667,,,,
COCO_train2014_000000000009,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,every10,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=every10|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,17.2611,0.63486,0.83741,,0.133689,15.570607618852096,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,63,0.984375,63,0.984375,12,False,,0.02079296112060547,0.14792108535766602,0.17109107971191406,0,,,,,,,,,,,,10,every,0.0001,32,1,0.00242,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,9.4815,,,,
COCO_train2014_000000000009,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,charbonnier,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=charbonnier|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,16.2584,0.59401,0.79404,,0.148657,15.297200202941895,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,63,0.984375,63,0.984375,12,False,,0.020631790161132812,0.06388401985168457,0.0871274471282959,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,9.4815,,,,
COCO_train2014_000000000009,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,l1,none,adam,cosine,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=cosine|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,15.6962,0.52221,0.73321,,0.157583,15.162640875036066,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,64,1.0,64,1.0,12,False,,0.01745152473449707,0.06211495399475098,0.08215785026550293,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,9.4815,,,,
COCO_train2014_000000000009,64,0,56,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,moment_preserving,residual,moment_preserving,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,15.8052,0.56703,0.76142,,0.155298,14.64824256029996,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,61,0.953125,61,0.953125,12,False,,0.02190089225769043,0.07387685775756836,0.09824419021606445,1,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,0.119919,1.0,False,0,0,,,10.6667,,,,
COCO_train2014_000000000025,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,True,False,,,,ok,19.49,0.6306,0.817,,0.105426,19.183983889493074,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,58,0.90625,58,0.90625,12,False,,0.026855945587158203,0.05756878852844238,0.08696317672729492,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,10.6667,,,,
COCO_train2014_000000000025,64,0,64,64,quadtree_wse,central,luma,variance,wse,tensor,bilinear,spacing,none,off,none,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=variance|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,19.7926,0.63623,0.81985,,0.103693,19.22319576957009,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,59,0.921875,59,0.921875,12,False,,0.022772550582885742,0.05829143524169922,0.08394026756286621,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,10.6667,,,,
COCO_train2014_000000000025,64,0,64,64,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,constant,normalized,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=constant|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,19.4887,0.63078,0.81703,,0.105464,19.185436942360617,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,0.0,0,0,64,0.0,58,0.90625,58,0.90625,12,False,,0.024732589721679688,0.05949258804321289,0.08646821975708008,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,12.0,,,,
