budget,strategy,runs,expected_runs,mean_psnr,std_psnr,mean_ms_ssim,std_ms_ssim,target_28_reached,target_28_mean_iter,target_30_reached,target_30_mean_iter,target_32_reached,target_32_mean_iter,mean_total_seconds,reached_target,rank_psnr
2000,aniso_onedge,84,84,26.555158333333335,4.226604520410487,0.9096315476190476,0.05407968894084181,39,44.333333333333336,30,152.8,6,170.16666666666666,5.330357267743065,0,1
2000,quadtree_wse,84,84,26.506352380952382,4.282218662303461,0.9072646428571428,0.05488004437052274,39,46.0,30,140.56666666666666,6,159.0,5.636628718603225,0,2
2000,quadtree_hybrid,56,56,26.418144642857143,4.237243486965133,0.9088667857142857,0.053440549114584956,26,50.5,20,175.1,4,184.75,5.266233227082661,0,3
2000,aniso_flanking,56,56,26.368108928571427,4.256474121906064,0.9064978571428571,0.05530712459640665,26,46.46153846153846,20,154.9,4,175.75,5.2732928565570285,0,4
2000,iso_blue_noise,56,56,26.07550714285714,4.241770872729301,0.9029189285714285,0.05718937325358405,26,94.61538461538461,19,229.47368421052633,4,264.0,5.046023871217455,0,5
2000,floyd_steinberg,56,56,23.603994642857142,4.868361224581329,0.8819224999999999,0.06348530274936531,22,81.45454545454545,14,132.35714285714286,2,107.5,5.3938517442771365,0,6
5000,quadtree_wse,84,84,29.81724523809524,4.643943707243742,0.9532395238095238,0.033868320740379834,57,93.91228070175438,46,137.65217391304347,36,111.75,6.902878443400065,9,1
5000,aniso_onedge,84,84,29.72427619047619,4.598366648776059,0.95311,0.03332082896413507,56,99.91071428571429,45,112.31111111111112,36,111.55555555555556,6.549413839975993,9,2
5000,aniso_flanking,0,0,,,,,0,,0,,0,,,0,3
5000,quadtree_hybrid,0,0,,,,,0,,0,,0,,,0,4
5000,iso_blue_noise,0,0,,,,,0,,0,,0,,,0,5
5000,floyd_steinberg,0,0,,,,,0,,0,,0,,,0,6
10000,quadtree_wse,84,84,32.621089285714284,4.916050238928699,0.9741789285714285,0.02073123075492493,69,39.391304347826086,60,66.58333333333333,48,103.14583333333333,8.864976766563597,28,1
10000,aniso_onedge,84,84,32.58536904761905,4.829274969539724,0.9749471428571429,0.020111270920238004,69,38.028985507246375,60,66.56666666666666,48,99.95833333333333,9.244118452072144,27,2
10000,aniso_flanking,0,0,,,,,0,,0,,0,,,0,3
10000,quadtree_hybrid,0,0,,,,,0,,0,,0,,,0,4
10000,iso_blue_noise,0,0,,,,,0,,0,,0,,,0,5
10000,floyd_steinberg,0,0,,,,,0,,0,,0,,,0,6
