budget,left,right,paired_units,mean_delta_psnr,ci95_low_psnr,ci95_high_psnr,wins_psnr,losses_psnr,ties_psnr,mean_delta_ms_ssim,ci95_low_ms_ssim,ci95_high_ms_ssim,wins_ms_ssim,losses_ms_ssim,ties_ms_ssim
2000,aniso_flanking,aniso_onedge,56,-0.1791285714285714,-0.3053624999999999,-0.0471100892857139,13,43,0,-0.003302857142857153,-0.004584133928571438,-0.0020997857142857285,12,44,0
2000,quadtree_wse,aniso_onedge,84,-0.04880595238095219,-0.1831894642857144,0.07464994047619049,37,47,0,-0.0023669047619047606,-0.0036414702380952384,-0.0012225089285714343,31,53,0
2000,quadtree_hybrid,aniso_onedge,56,-0.12909285714285693,-0.26308691964285746,0.019121874999999892,14,42,0,-0.0009339285714285717,-0.002067321428571433,0.0002896830357142776,18,38,0
2000,iso_blue_noise,aniso_onedge,56,-0.47173035714285705,-0.6228879464285717,-0.32359665178571373,5,51,0,-0.006881785714285715,-0.008810388392857152,-0.00503587946428571,6,50,0
2000,floyd_steinberg,aniso_onedge,56,-2.943242857142857,-3.8008671428571428,-2.1401838839285716,6,50,0,-0.02787821428571429,-0.035467843750000005,-0.021294879464285717,4,52,0
5000,aniso_flanking,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,quadtree_wse,aniso_onedge,84,0.0929690476190477,0.01678193452380969,0.17002071428571414,52,32,0,0.00012952380952381217,-0.0003471726190476174,0.0005986994047619079,46,37,1
5000,quadtree_hybrid,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,iso_blue_noise,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,floyd_steinberg,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,quadtree_wse,aniso_onedge,84,0.03572023809523804,-0.0041081250000002765,0.07777815476190433,48,36,0,-0.0007682142857142907,-0.0010215595238095333,-0.0005216488095238196,23,61,0
10000,quadtree_hybrid,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,iso_blue_noise,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,floyd_steinberg,aniso_onedge,0,,,,0,0,0,,,,0,0,0
