image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,22.441,0.65682,0.85179,,23.161595268834823,observed,,2000,1500,False,,0.3842284679412842,5.305948495864868
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,22.514,0.65813,0.85813,,23.13532170746786,observed,,2000,1500,False,,0.3131577968597412,4.377013683319092
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,23.5242,0.66358,0.87075,,23.489813242219462,observed,,2000,1500,False,,0.3243112564086914,4.763991594314575
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,23.3902,0.66164,0.86987,,23.52482758433601,observed,,2000,1500,False,,0.3470296859741211,4.56178617477417
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,22.4366,0.64327,0.85846,,23.04417202550622,observed,,2000,1500,False,,0.3869466781616211,5.400469779968262
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,23.4073,0.6522,0.87003,,22.929760591279194,observed,,2000,1500,False,,0.47276902198791504,5.432058095932007
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,21.838,0.65236,0.84365,,22.665226804009272,observed,,2000,1500,False,,0.29046082496643066,4.752667427062988
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,22.8114,0.65693,0.86346,,22.995668150410005,observed,,2000,1500,False,,0.2860856056213379,5.00346827507019
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,23.1371,0.66183,0.86715,,23.341183094281686,observed,,2000,1500,False,,0.36197638511657715,4.435230016708374
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,22.6722,0.65727,0.85879,,23.19525421071323,observed,,2000,1500,False,,0.29961657524108887,4.338132381439209
