stage,run_group,image,source_path,budget,seed,strategy,max_side,iters,renderer
2,stage2_budget5000,kodim01,results/datasets/abl004/kodak24/kodim01.png,5000,0,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim01,results/datasets/abl004/kodak24/kodim01.png,5000,0,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim01,results/datasets/abl004/kodak24/kodim01.png,5000,1,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim01,results/datasets/abl004/kodak24/kodim01.png,5000,1,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim02,results/datasets/abl004/kodak24/kodim02.png,5000,0,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim02,results/datasets/abl004/kodak24/kodim02.png,5000,0,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim02,results/datasets/abl004/kodak24/kodim02.png,5000,1,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim02,results/datasets/abl004/kodak24/kodim02.png,5000,1,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim03,results/datasets/abl004/kodak24/kodim03.png,5000,0,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim03,results/datasets/abl004/kodak24/kodim03.png,5000,0,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim03,results/datasets/abl004/kodak24/kodim03.png,5000,1,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim03,results/datasets/abl004/kodak24/kodim03.png,5000,1,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim04,results/datasets/abl004/kodak24/kodim04.png,5000,0,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim04,results/datasets/abl004/kodak24/kodim04.png,5000,0,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim04,results/datasets/abl004/kodak24/kodim04.png,5000,1,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim04,results/datasets/abl004/kodak24/kodim04.png,5000,1,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim05,results/datasets/abl004/kodak24/kodim05.png,5000,0,quadtree_wse,768,1500,cuda
2,stage2_budget5000,kodim05,results/datasets/abl004/kodak24/kodim05.png,5000,0,aniso_onedge,768,1500,cuda
2,stage2_budget5000,kodim05,results/datasets/abl004/kodak24/kodim05.png,5000,1,quadtree_wse,768,1500,cuda
