budget,left,right,paired_units,mean_delta_psnr,ci95_low_psnr,ci95_high_psnr,wins_psnr,losses_psnr,ties_psnr,mean_delta_ms_ssim,ci95_low_ms_ssim,ci95_high_ms_ssim,wins_ms_ssim,losses_ms_ssim,ties_ms_ssim
2000,aniso_onedge,aniso_flanking,56,0.1791285714285714,0.04711008928571387,0.30536249999999987,43,13,0,0.003302857142857153,0.0020997857142857255,0.004584133928571438,44,12,0
2000,aniso_onedge,quadtree_wse,56,-0.0004285714285715717,-0.14534669642857154,0.13509357142857142,32,24,0,0.0020700000000000024,0.0008783482142857135,0.0033019732142857065,36,20,0
2000,aniso_onedge,quadtree_hybrid,56,0.12909285714285693,-0.019121875000000357,0.2630869196428574,42,14,0,0.0009339285714285717,-0.0002896830357142782,0.002067321428571433,38,18,0
2000,aniso_onedge,iso_blue_noise,56,0.47173035714285705,0.3235966517857137,0.6228879464285717,51,5,0,0.006881785714285715,0.00503587946428571,0.008810388392857152,50,6,0
2000,aniso_onedge,floyd_steinberg,56,2.943242857142857,2.1401838839285716,3.8008671428571423,50,6,0,0.02787821428571429,0.021294879464285717,0.03546784375,52,4,0
2000,aniso_flanking,quadtree_wse,56,-0.17955714285714297,-0.29774767857142853,-0.06957642857142848,20,36,0,-0.0012328571428571506,-0.002524647321428586,-4.7678571428578216e-05,22,34,0
2000,aniso_flanking,quadtree_hybrid,56,-0.05003571428571447,-0.14566941964285732,0.043062321428571165,25,31,0,-0.0023689285714285813,-0.0037166383928571457,-0.001140870535714294,21,35,0
2000,aniso_flanking,iso_blue_noise,56,0.29260178571428563,0.16629276785714278,0.42491772321428567,41,15,0,0.0035789285714285623,0.001898017857142851,0.0052880937499999855,44,12,0
2000,aniso_flanking,floyd_steinberg,56,2.7641142857142857,1.9667847767857143,3.618307678571429,49,7,0,0.02457535714285714,0.01807293303571429,0.03203854910714286,49,7,0
2000,quadtree_wse,quadtree_hybrid,56,0.1295214285714285,0.010229017857142616,0.24833879464285713,40,16,0,-0.0011360714285714307,-0.0024522142857142915,8.678571428571394e-05,28,28,0
2000,quadtree_wse,iso_blue_noise,56,0.4721589285714286,0.3138231696428571,0.6334754910714288,48,8,0,0.004811785714285713,0.002954812500000001,0.0067086473214285685,42,14,0
2000,quadtree_wse,floyd_steinberg,56,2.9436714285714283,2.154331785714285,3.7910283482142844,50,6,0,0.02580821428571429,0.01926927678571429,0.033244812500000005,53,3,0
2000,quadtree_hybrid,iso_blue_noise,56,0.3426375000000001,0.21586254464285712,0.4785929017857147,42,14,0,0.005947857142857144,0.004023522321428579,0.007860781250000006,48,8,0
2000,quadtree_hybrid,floyd_steinberg,56,2.8141500000000006,1.9998875446428575,3.662927366071428,47,9,0,0.026944285714285723,0.020261410714285725,0.034656325892857144,52,4,0
2000,iso_blue_noise,floyd_steinberg,56,2.4715125,1.6681646875,3.3297767410714267,43,13,0,0.020996428571428576,0.014272450892857159,0.028639379464285703,44,12,0
5000,aniso_onedge,aniso_flanking,0,,,,0,0,0,,,,0,0,0
5000,aniso_onedge,quadtree_wse,0,,,,0,0,0,,,,0,0,0
5000,aniso_onedge,quadtree_hybrid,0,,,,0,0,0,,,,0,0,0
5000,aniso_onedge,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
5000,aniso_onedge,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
5000,aniso_flanking,quadtree_wse,0,,,,0,0,0,,,,0,0,0
5000,aniso_flanking,quadtree_hybrid,0,,,,0,0,0,,,,0,0,0
5000,aniso_flanking,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
5000,aniso_flanking,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
5000,quadtree_wse,quadtree_hybrid,0,,,,0,0,0,,,,0,0,0
5000,quadtree_wse,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
5000,quadtree_wse,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
5000,quadtree_hybrid,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
5000,quadtree_hybrid,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
5000,iso_blue_noise,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
10000,aniso_onedge,aniso_flanking,0,,,,0,0,0,,,,0,0,0
10000,aniso_onedge,quadtree_wse,0,,,,0,0,0,,,,0,0,0
10000,aniso_onedge,quadtree_hybrid,0,,,,0,0,0,,,,0,0,0
10000,aniso_onedge,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
10000,aniso_onedge,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,quadtree_wse,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,quadtree_hybrid,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
10000,quadtree_wse,quadtree_hybrid,0,,,,0,0,0,,,,0,0,0
10000,quadtree_wse,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
10000,quadtree_wse,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
10000,quadtree_hybrid,iso_blue_noise,0,,,,0,0,0,,,,0,0,0
10000,quadtree_hybrid,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
10000,iso_blue_noise,floyd_steinberg,0,,,,0,0,0,,,,0,0,0
