budget,left,right,paired_units,mean_delta_psnr,ci95_low_psnr,ci95_high_psnr,wins_psnr,losses_psnr,ties_psnr,mean_delta_ms_ssim,ci95_low_ms_ssim,ci95_high_ms_ssim,wins_ms_ssim,losses_ms_ssim,ties_ms_ssim
2000,aniso_flanking,aniso_onedge,2,-0.9797000000000011,-1.0832000000000015,-0.8762000000000008,0,2,0,-0.01535000000000003,-0.018959999999999977,-0.011740000000000084,0,2,0
2000,quadtree_wse,aniso_onedge,2,-0.15495000000000125,-0.24490000000000123,-0.06500000000000128,0,2,0,-0.001040000000000041,-0.0021900000000000253,0.00010999999999994348,1,1,0
2000,quadtree_hybrid,aniso_onedge,2,-0.5525500000000001,-0.718,-0.3871000000000002,0,2,0,-0.007340000000000013,-0.011079999999999979,-0.0036000000000000476,0,2,0
2000,iso_blue_noise,aniso_onedge,2,-1.1325000000000003,-1.6861999999999995,-0.5788000000000011,0,2,0,-0.01675500000000002,-0.027100000000000013,-0.006410000000000027,0,2,0
2000,floyd_steinberg,aniso_onedge,2,-0.5352500000000013,-1.087600000000002,0.017099999999999227,1,1,0,-0.006065000000000043,-0.012290000000000023,0.00015999999999993797,1,1,0
5000,aniso_flanking,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,quadtree_wse,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,quadtree_hybrid,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,iso_blue_noise,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,floyd_steinberg,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,quadtree_wse,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,quadtree_hybrid,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,iso_blue_noise,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,floyd_steinberg,aniso_onedge,0,,,,0,0,0,,,,0,0,0
