budget,strategy,complete_image_seed_groups,wins,mean_rank,median_rank,rank_std
2000,aniso_onedge,2,1,1.5,1.5,0.5
2000,aniso_flanking,2,0,5.0,5.0,1.0
2000,quadtree_wse,2,0,2.5,2.5,0.5
2000,quadtree_hybrid,2,0,4.0,4.0,1.0
2000,iso_blue_noise,2,0,5.0,5.0,1.0
2000,floyd_steinberg,2,1,3.0,3.0,2.0
5000,aniso_onedge,0,0,,,
5000,aniso_flanking,0,0,,,
5000,quadtree_wse,0,0,,,
5000,quadtree_hybrid,0,0,,,
5000,iso_blue_noise,0,0,,,
5000,floyd_steinberg,0,0,,,
10000,aniso_onedge,0,0,,,
10000,aniso_flanking,0,0,,,
10000,quadtree_wse,0,0,,,
10000,quadtree_hybrid,0,0,,,
10000,iso_blue_noise,0,0,,,
10000,floyd_steinberg,0,0,,,
