budget,strategy,runs,expected_runs,mean_psnr,std_psnr,mean_ms_ssim,std_ms_ssim,target_28_reached,target_28_mean_iter,target_30_reached,target_30_mean_iter,target_32_reached,target_32_mean_iter,mean_total_seconds,reached_target,rank_psnr
2000,aniso_onedge,4,56,27.35105,3.8950858074630395,0.9027050000000001,0.03241034749890844,2,21.0,2,64.0,0,,5.4061660170555115,0,1
2000,quadtree_wse,4,56,27.239175,3.9394885749136277,0.9025650000000001,0.03332074916624777,2,20.5,2,65.0,0,,6.051112353801727,0,2
2000,floyd_steinberg,4,56,26.954225,4.046898959929072,0.89761,0.03361489030176955,2,44.0,2,124.0,0,,5.8991100788116455,0,3
2000,quadtree_hybrid,4,56,26.949675,4.050457822502908,0.8987025,0.035855414775874506,2,21.0,2,65.5,0,,5.2001418471336365,0,4
2000,aniso_flanking,4,56,26.813125,4.335712250239284,0.8947350000000001,0.039838969928952736,2,20.5,2,64.0,0,,5.631017506122589,0,5
2000,iso_blue_noise,4,56,26.469,4.161810401135544,0.8915325000000001,0.038622949379222705,2,52.5,2,107.0,0,,5.390918970108032,0,6
5000,aniso_onedge,0,0,,,,,0,,0,,0,,,0,1
5000,aniso_flanking,0,0,,,,,0,,0,,0,,,0,2
5000,quadtree_wse,0,0,,,,,0,,0,,0,,,0,3
5000,quadtree_hybrid,0,0,,,,,0,,0,,0,,,0,4
5000,iso_blue_noise,0,0,,,,,0,,0,,0,,,0,5
5000,floyd_steinberg,0,0,,,,,0,,0,,0,,,0,6
10000,aniso_onedge,0,0,,,,,0,,0,,0,,,0,1
10000,aniso_flanking,0,0,,,,,0,,0,,0,,,0,2
10000,quadtree_wse,0,0,,,,,0,,0,,0,,,0,3
10000,quadtree_hybrid,0,0,,,,,0,,0,,0,,,0,4
10000,iso_blue_noise,0,0,,,,,0,,0,,0,,,0,5
10000,floyd_steinberg,0,0,,,,,0,,0,,0,,,0,6
