budget,strategy,runs,expected_runs,mean_psnr,std_psnr,mean_ms_ssim,std_ms_ssim,target_28_reached,target_28_mean_iter,target_30_reached,target_30_mean_iter,target_32_reached,target_32_mean_iter,mean_total_seconds,reached_target,rank_psnr
2000,quadtree_wse,56,84,26.547666071428573,4.309095805480906,0.9077307142857143,0.05469188993342428,26,45.46153846153846,20,140.7,4,156.75,5.580984336989267,0,1
2000,aniso_onedge,56,84,26.5472375,4.178033368898514,0.9098007142857143,0.05376464391404523,26,43.96153846153846,20,151.4,4,173.0,5.280827002865927,0,2
2000,quadtree_hybrid,56,56,26.418144642857143,4.237243486965133,0.9088667857142857,0.053440549114584956,26,50.5,20,175.1,4,184.75,5.266233227082661,0,3
2000,aniso_flanking,56,56,26.368108928571427,4.256474121906064,0.9064978571428571,0.05530712459640665,26,46.46153846153846,20,154.9,4,175.75,5.2732928565570285,0,4
2000,iso_blue_noise,56,56,26.07550714285714,4.241770872729301,0.9029189285714285,0.05718937325358405,26,94.61538461538461,19,229.47368421052633,4,264.0,5.046023871217455,0,5
2000,floyd_steinberg,56,56,23.603994642857142,4.868361224581329,0.8819224999999999,0.06348530274936531,22,81.45454545454545,14,132.35714285714286,2,107.5,5.3938517442771365,0,6
5000,quadtree_wse,56,84,29.797735714285714,4.639098090355363,0.9531392857142857,0.033622423738648356,38,95.21052631578948,30,115.33333333333333,24,111.20833333333333,6.8934371812003,6,1
5000,aniso_onedge,56,84,29.709664285714286,4.592167178757004,0.9530269642857143,0.03342252025846189,38,119.55263157894737,30,113.36666666666666,24,111.5,6.588604301214218,6,2
5000,aniso_flanking,0,0,,,,,0,,0,,0,,,0,3
5000,quadtree_hybrid,0,0,,,,,0,,0,,0,,,0,4
5000,iso_blue_noise,0,0,,,,,0,,0,,0,,,0,5
5000,floyd_steinberg,0,0,,,,,0,,0,,0,,,0,6
10000,aniso_onedge,0,84,,,,,0,,0,,0,,,0,1
10000,aniso_flanking,0,0,,,,,0,,0,,0,,,0,2
10000,quadtree_wse,0,84,,,,,0,,0,,0,,,0,3
10000,quadtree_hybrid,0,0,,,,,0,,0,,0,,,0,4
10000,iso_blue_noise,0,0,,,,,0,,0,,0,,,0,5
10000,floyd_steinberg,0,0,,,,,0,,0,,0,,,0,6
