budget,image,seed,left,right,delta_psnr,delta_ms_ssim,left_psnr,right_psnr,left_ms_ssim,right_ms_ssim
2000,kodim07,0,aniso_flanking,aniso_onedge,-1.6782000000000004,-0.011299999999999977,25.3632,27.0414,0.93819,0.94949
2000,kodim19,0,aniso_flanking,aniso_onedge,-1.0836000000000006,-0.005980000000000096,26.4922,27.5758,0.91114,0.91712
2000,kodim01,0,aniso_flanking,aniso_onedge,-1.0832000000000015,-0.018959999999999977,22.441,23.5242,0.85179,0.87075
2000,kodim01,1,aniso_flanking,aniso_onedge,-0.8762000000000008,-0.011740000000000084,22.514,23.3902,0.85813,0.86987
2000,kodim19,1,aniso_flanking,aniso_onedge,-0.8703000000000003,-0.006450000000000067,26.5592,27.4295,0.91097,0.91742
2000,kodim08,1,aniso_flanking,aniso_onedge,-0.8375000000000021,-0.01955999999999991,20.0326,20.8701,0.86577,0.88533
2000,kodim10,1,aniso_flanking,aniso_onedge,-0.7833000000000006,-0.0045800000000000285,30.9557,31.739,0.9635,0.96808
2000,kodim20,0,aniso_flanking,aniso_onedge,-0.6648000000000032,-0.0025100000000000122,28.6378,29.3026,0.94926,0.95177
2000,kodim09,1,aniso_flanking,aniso_onedge,-0.5001999999999995,-0.0015399999999999858,30.5087,31.0089,0.96294,0.96448
2000,kodim05,1,aniso_flanking,aniso_onedge,-0.41440000000000055,-0.010420000000000096,21.0275,21.4419,0.83827,0.84869
2000,kodim04,0,aniso_flanking,aniso_onedge,-0.3987000000000016,-0.00497000000000003,29.8645,30.2632,0.93074,0.93571
2000,kodim18,0,aniso_flanking,aniso_onedge,-0.37349999999999994,-0.008920000000000039,23.9012,24.2747,0.8663,0.87522
2000,kodim21,1,aniso_flanking,aniso_onedge,-0.34949999999999903,-0.005190000000000028,24.3075,24.657,0.92224,0.92743
2000,COCO_train2014_000000000030,1,aniso_flanking,aniso_onedge,-0.3308,-0.0006700000000000594,30.6296,30.9604,0.98091,0.98158
2000,kodim03,0,aniso_flanking,aniso_onedge,-0.3042000000000016,-0.0012400000000000189,31.3968,31.701,0.96109,0.96233
2000,kodim11,1,aniso_flanking,aniso_onedge,-0.30020000000000024,-0.005640000000000089,26.7943,27.0945,0.91282,0.91846
2000,kodim15,1,aniso_flanking,aniso_onedge,-0.289200000000001,-0.002549999999999941,30.0609,30.3501,0.94976,0.95231
2000,COCO_train2014_000000000030,0,aniso_flanking,aniso_onedge,-0.27509999999999835,0.00018999999999991246,30.3164,30.5915,0.9803,0.98011
2000,kodim24,1,aniso_flanking,aniso_onedge,-0.27199999999999847,-0.0012000000000000899,21.7788,22.0508,0.85603,0.85723
