budget,strategy,complete_image_seed_groups,wins,mean_rank,median_rank,rank_std
2000,aniso_onedge,56,26,2.107142857142857,2.0,1.3716331692622514
2000,aniso_flanking,56,4,3.357142857142857,3.0,1.2309777099724346
2000,quadtree_wse,56,18,2.4642857142857144,2.0,1.3753478224264075
2000,quadtree_hybrid,56,4,3.3214285714285716,3.0,1.3107678073930407
2000,iso_blue_noise,56,1,4.482142857142857,5.0,1.1337527985249982
2000,floyd_steinberg,56,3,5.267857142857143,6.0,1.432917496236405
5000,aniso_onedge,0,0,,,
5000,aniso_flanking,0,0,,,
5000,quadtree_wse,0,0,,,
5000,quadtree_hybrid,0,0,,,
5000,iso_blue_noise,0,0,,,
5000,floyd_steinberg,0,0,,,
10000,aniso_onedge,0,0,,,
10000,aniso_flanking,0,0,,,
10000,quadtree_wse,0,0,,,
10000,quadtree_hybrid,0,0,,,
10000,iso_blue_noise,0,0,,,
10000,floyd_steinberg,0,0,,,
