budget,strategy,mean_psnr,runs
2000,aniso_flanking,26.74365,8
2000,aniso_onedge,26.98615,8
2000,density_random,26.131887499999998,8
2000,floyd_steinberg,24.3337125,8
2000,grid,24.8297125,8
2000,iso_blue_noise,26.2164125,8
2000,quadtree_aggregate,26.4738,8
2000,quadtree_hybrid,26.5335,8
2000,quadtree_wse,26.5580125,8
2000,random,24.3466875,8
2000,random_relocate,24.8823875,8
5000,aniso_flanking,30.047024999999998,8
5000,aniso_onedge,30.1033625,8
5000,density_random,29.5744625,8
5000,floyd_steinberg,28.901875,8
5000,grid,28.2564,8
5000,iso_blue_noise,29.98915,8
5000,quadtree_aggregate,30.054325000000002,8
5000,quadtree_hybrid,30.209725,8
5000,quadtree_wse,30.2148,8
5000,random,27.5772,8
5000,random_relocate,28.029125,8
