budget,strategy,mean_psnr,runs
2000,aniso_flanking,30.1753125,8
2000,aniso_onedge,30.2174375,8
2000,density_random,29.9790875,8
2000,floyd_steinberg,29.900712499999997,8
2000,grid,28.8748125,8
2000,iso_blue_noise,30.033575,8
2000,quadtree_aggregate,30.0346125,8
2000,quadtree_hybrid,30.1511375,8
2000,quadtree_wse,30.2220625,8
2000,random,28.5003125,8
2000,random_relocate,28.888325000000002,8
5000,aniso_flanking,34.1575125,8
5000,aniso_onedge,34.3203875,8
5000,density_random,34.1845375,8
5000,floyd_steinberg,34.199025,8
5000,grid,33.4933875,8
5000,iso_blue_noise,34.340087499999996,8
5000,quadtree_aggregate,34.3968,8
5000,quadtree_hybrid,34.4762,8
5000,quadtree_wse,34.3942875,8
5000,random,33.285975,8
5000,random_relocate,33.4652875,8
