image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,random,random,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,26.6821,0.81542,0.95968,,25.25448697267888,observed,,2000,500,False,,0.013631105422973633,1.3372130393981934
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,grid,grid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.0165,0.82388,0.96327,,25.48728839476744,observed,,2000,500,False,,0.0007345676422119141,0.7764534950256348
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,iso_blue_noise,iso_blue_noise,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.3143,0.81703,0.95921,,25.79264651128429,observed,,2000,500,False,,0.2221529483795166,0.7841734886169434
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,aniso_onedge,aniso_onedge,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.3819,0.81946,0.95911,,26.171466271241826,observed,,2000,500,False,,0.3213179111480713,0.7703137397766113
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,27.2132,0.8188,0.95868,,26.106501520038368,observed,,2000,500,False,,0.31371259689331055,0.7816627025604248
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.1933,0.81528,0.95749,,25.946679038848572,observed,,2000,500,False,,0.04444432258605957,0.772362470626831
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_hybrid,quadtree_hybrid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.298,0.81904,0.95909,,26.086759374232475,observed,,2000,500,False,,0.37851476669311523,0.7960925102233887
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_wse,quadtree_wse,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.2136,0.81816,0.95859,,26.12393387620578,observed,,2000,500,False,,0.5955512523651123,0.826143741607666
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,27.1565,0.81487,0.95856,,25.880668290392432,observed,,2000,500,False,,0.09842205047607422,0.769923210144043
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,density_random,iso_blue_noise,density_random,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.2319,0.81374,0.95841,,25.764125286935567,observed,,2000,500,False,,0.007044315338134766,0.7587358951568604
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,random_relocate,random,wse,relocate,250,64,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,26.9783,0.81855,0.96183,,25.33517700493455,observed,,2000,500,False,,0.0006558895111083984,0.9222352504730225
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,random,random,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.7337,0.91652,0.98793,,28.68518256758879,observed,,5000,500,False,,0.0018908977508544922,0.7933521270751953
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,grid,grid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.7062,0.91759,0.98803,,28.652539473019527,observed,,5000,500,False,,0.0012593269348144531,0.7728242874145508
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,iso_blue_noise,iso_blue_noise,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.4082,0.89954,0.98342,,28.629724691769404,observed,,5000,500,False,,0.7435271739959717,0.7679505348205566
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,aniso_onedge,aniso_onedge,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.3821,0.90086,0.98309,,28.85704938968819,observed,,5000,500,False,,1.0622704029083252,0.7824037075042725
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,30.4281,0.90188,0.98345,,28.841805121702755,observed,,5000,500,False,,0.9887256622314453,0.779015302658081
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.4705,0.90236,0.98399,,28.790967543760615,observed,,5000,500,False,,0.1011197566986084,0.8001818656921387
