budget,strategy,mean_psnr,runs
2000,aniso_flanking,28.6504875,8
2000,aniso_onedge,28.6536125,8
2000,density_random,28.44955,8
2000,floyd_steinberg,26.44155,8
2000,grid,27.14795,8
2000,iso_blue_noise,28.50175,8
2000,quadtree_aggregate,28.4462625,8
2000,quadtree_hybrid,28.641962499999998,8
2000,quadtree_wse,28.7211,8
2000,random,26.7259625,8
2000,random_relocate,26.9734375,8
5000,aniso_flanking,32.1905375,8
5000,aniso_onedge,32.2941125,8
5000,density_random,32.0363125,8
5000,floyd_steinberg,32.2390125,8
5000,grid,31.044674999999998,8
5000,iso_blue_noise,32.2007125,8
5000,quadtree_aggregate,32.2988625,8
5000,quadtree_hybrid,32.4006125,8
5000,quadtree_wse,32.3661625,8
5000,random,30.6718375,8
5000,random_relocate,30.9932875,8
