accepted_steps,artifacts,bundle_root,call_seconds,call_time_cv,cell_id,event_count,exploratory_observer_subtracted_seconds,final_reference_rgb_max_error,group_id,image,iterations_run,kind,lpips,mae,median_call_seconds,method,ms_ssim,mse,n_gaussians,native_pipeline_seconds,observer_seconds,parity_pass,peak_allocated_bytes,psnr,quality,seed,selected_iteration,ssim,state,status,timing_eligible,total_seconds,trajectory_sha256,untimed_reference_coverage_calls,worker_peak_rss_bytes
,"{""config.json"":""cells/same_coco000000000009_s0_initial_legacy_a/config.json"",""curves.png"":""cells/same_coco000000000009_s0_initial_legacy_a/curves.png"",""error.png"":""cells/same_coco000000000009_s0_initial_legacy_a/error.png"",""field.npz"":""cells/same_coco000000000009_s0_initial_legacy_a/field.npz"",""history.json"":""cells/same_coco000000000009_s0_initial_legacy_a/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_initial_legacy_a/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_initial_legacy_a/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_initial_legacy_a/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_initial_legacy_a/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_initial_legacy_a/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_initial_legacy_a/target.npy"",""target.png"":""cells/same_coco000000000009_s0_initial_legacy_a/target.png""}",,"[0.029011587001150474,0.029065551003441215,0.02907790100289276,0.028751074001775123,0.02892982299817959,0.02891931799968006,0.029130169001291506,0.028734121995512396,0.029041665999102406,0.028854756004875526]",0.004515905502687054,same_coco000000000009_s0_initial_legacy_a,,,,,9,0,same,0.5594217777252197,0.09323301166296005,0.02897070499966503,legacy_a,0.6378294229507446,0.017089140547902455,2000,,,true,244745728,17.672797783962437,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.01708914153277874,""boundary_psnr_db"":17.672797533671137,""cvar99_mse"":0.1774246245622635,""finite"":true,""foreground_mse"":0.01708914153277874,""foreground_psnr_db"":17.672797533671137,""interior_hole_fraction"":0.0,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.12899358570575714}",0,0,0.4835756719112396,initial,ok,true,0.28951596700790105,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_initial_legacy_b/config.json"",""curves.png"":""cells/same_coco000000000009_s0_initial_legacy_b/curves.png"",""error.png"":""cells/same_coco000000000009_s0_initial_legacy_b/error.png"",""field.npz"":""cells/same_coco000000000009_s0_initial_legacy_b/field.npz"",""history.json"":""cells/same_coco000000000009_s0_initial_legacy_b/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_initial_legacy_b/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_initial_legacy_b/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_initial_legacy_b/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_initial_legacy_b/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_initial_legacy_b/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_initial_legacy_b/target.npy"",""target.png"":""cells/same_coco000000000009_s0_initial_legacy_b/target.png""}",,"[0.029082293003739323,0.028890572000818793,0.02898387900495436,0.029119455997715704,0.028895324998302385,0.02889754700299818,0.029296378001163248,0.029069124000670854,0.029071109005599283,0.028902801001095213]",0.004324516344915697,same_coco000000000009_s0_initial_legacy_b,,,,,9,0,same,0.5594214200973511,0.09323301166296005,0.029026501502812607,legacy_b,0.6378294229507446,0.017089140520440083,2000,,,true,244745728,17.672797790941583,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.01708914153277874,""boundary_psnr_db"":17.672797533671137,""cvar99_mse"":0.1774246245622635,""finite"":true,""foreground_mse"":0.01708914153277874,""foreground_psnr_db"":17.672797533671137,""interior_hole_fraction"":0.0,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.12899364531040192}",0,0,0.48357561230659485,initial,ok,true,0.29020848401705734,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_initial_coverage/config.json"",""curves.png"":""cells/same_coco000000000009_s0_initial_coverage/curves.png"",""error.png"":""cells/same_coco000000000009_s0_initial_coverage/error.png"",""field.npz"":""cells/same_coco000000000009_s0_initial_coverage/field.npz"",""history.json"":""cells/same_coco000000000009_s0_initial_coverage/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_initial_coverage/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_initial_coverage/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_initial_coverage/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_initial_coverage/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_initial_coverage/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_initial_coverage/target.npy"",""target.png"":""cells/same_coco000000000009_s0_initial_coverage/target.png""}",,"[0.0025901859989971854,0.0025994330062530935,0.0025814059990807436,0.0025795830006245524,0.002585476999229286,0.0026020479999715462,0.002543332004279364,0.002653297000506427,0.0025810200022533536,0.002598863997263834]",0.010032321467488788,same_coco000000000009_s0_initial_coverage,,,,,9,0,same,0.5594221353530884,0.09323301166296005,0.0025878314991132356,coverage,0.6378293633460999,0.017089140525495417,2000,,,false,26157568,17.672797789656848,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.01708914153277874,""boundary_psnr_db"":17.672797533671137,""cvar99_mse"":0.1774246245622635,""finite"":true,""foreground_mse"":0.01708914153277874,""foreground_psnr_db"":17.672797533671137,""interior_hole_fraction"":0.0,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.12899361550807953}",0,0,0.4835757315158844,initial,ok,true,0.025914646008459385,,0,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_initial_tail/config.json"",""curves.png"":""cells/same_coco000000000009_s0_initial_tail/curves.png"",""error.png"":""cells/same_coco000000000009_s0_initial_tail/error.png"",""field.npz"":""cells/same_coco000000000009_s0_initial_tail/field.npz"",""history.json"":""cells/same_coco000000000009_s0_initial_tail/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_initial_tail/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_initial_tail/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_initial_tail/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_initial_tail/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_initial_tail/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_initial_tail/target.npy"",""target.png"":""cells/same_coco000000000009_s0_initial_tail/target.png""}",,"[0.028780289001588244,0.028931729997566435,0.029064919996017125,0.028809559997171164,0.028722208000544924,0.028691483996226452,0.02913328100112267,0.02870325399999274,0.029257834001327865,0.028761106994352303]",0.006606647566532379,same_coco000000000009_s0_initial_tail,,,,,9,0,same,0.5594209432601929,0.09323301166296005,0.028794924499379704,tail,0.6378293633460999,0.017089140528938413,2000,,,false,244745728,17.672797788781864,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.01708914153277874,""boundary_psnr_db"":17.672797533671137,""cvar99_mse"":0.1774246245622635,""finite"":true,""foreground_mse"":0.01708914153277874,""foreground_psnr_db"":17.672797533671137,""interior_hole_fraction"":0.0,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.12899361550807953}",0,0,0.4835757315158844,initial,ok,true,0.2888556669859099,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_initial_both/config.json"",""curves.png"":""cells/same_coco000000000009_s0_initial_both/curves.png"",""error.png"":""cells/same_coco000000000009_s0_initial_both/error.png"",""field.npz"":""cells/same_coco000000000009_s0_initial_both/field.npz"",""history.json"":""cells/same_coco000000000009_s0_initial_both/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_initial_both/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_initial_both/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_initial_both/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_initial_both/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_initial_both/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_initial_both/target.npy"",""target.png"":""cells/same_coco000000000009_s0_initial_both/target.png""}",,"[0.0025751909997779876,0.0025670679970062338,0.0025105039967456833,0.0024986720018205233,0.0025520130002405494,0.002511006001441274,0.0025015900027938187,0.0025188049985445105,0.003617989998019766,0.0024879420016077347]",0.12497718512926931,same_coco000000000009_s0_initial_both,,,,,9,0,same,0.5594221949577332,0.09323301166296005,0.002514905499992892,both,0.6378293633460999,0.017089140550482124,2000,,,true,23920640,17.672797783306855,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.01708914153277874,""boundary_psnr_db"":17.672797533671137,""cvar99_mse"":0.1774246245622635,""finite"":true,""foreground_mse"":0.01708914153277874,""foreground_psnr_db"":17.672797533671137,""interior_hole_fraction"":0.0,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.12899361550807953}",0,0,0.48357561230659485,initial,ok,true,0.02634078099799808,,0,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_terminal_legacy_a/config.json"",""curves.png"":""cells/same_coco000000000009_s0_terminal_legacy_a/curves.png"",""error.png"":""cells/same_coco000000000009_s0_terminal_legacy_a/error.png"",""field.npz"":""cells/same_coco000000000009_s0_terminal_legacy_a/field.npz"",""history.json"":""cells/same_coco000000000009_s0_terminal_legacy_a/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_terminal_legacy_a/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_terminal_legacy_a/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_terminal_legacy_a/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_terminal_legacy_a/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_terminal_legacy_a/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_terminal_legacy_a/target.npy"",""target.png"":""cells/same_coco000000000009_s0_terminal_legacy_a/target.png""}",,"[0.028323692000412848,0.02858582299813861,0.028454849998524878,0.028501273001893423,0.028855171003669966,0.028747173004376236,0.028339998003502842,0.028504185000201687,0.02867536999838194,0.028366068996547256]",0.0059630623250467715,same_coco000000000009_s0_terminal_legacy_a,,,,,9,750,same,0.19461914896965027,0.02652912773191929,0.028502729001047555,legacy_a,0.956710159778595,0.002236007842490021,2000,,,true,244951040,26.505266775547703,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530734404921532}",0,750,0.8196954727172852,terminal,ok,true,0.2853536040056497,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_terminal_legacy_b/config.json"",""curves.png"":""cells/same_coco000000000009_s0_terminal_legacy_b/curves.png"",""error.png"":""cells/same_coco000000000009_s0_terminal_legacy_b/error.png"",""field.npz"":""cells/same_coco000000000009_s0_terminal_legacy_b/field.npz"",""history.json"":""cells/same_coco000000000009_s0_terminal_legacy_b/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_terminal_legacy_b/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_terminal_legacy_b/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_terminal_legacy_b/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_terminal_legacy_b/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_terminal_legacy_b/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_terminal_legacy_b/target.npy"",""target.png"":""cells/same_coco000000000009_s0_terminal_legacy_b/target.png""}",,"[0.02861396000662353,0.028331639005045872,0.028575483003805857,0.028612704001716338,0.028504921996500343,0.02835495500039542,0.028771447003236972,0.028672344000369776,0.028400306997355074,0.028866988002846483]",0.005847732271408897,same_coco000000000009_s0_terminal_legacy_b,,,,,9,750,same,0.19461917877197266,0.02652912773191929,0.028594093502761098,legacy_b,0.9567102193832397,0.002236007841182741,2000,,,false,244951040,26.5052667780868,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530734032392502}",0,750,0.8196954727172852,terminal,ok,true,0.28570474901789567,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_terminal_coverage/config.json"",""curves.png"":""cells/same_coco000000000009_s0_terminal_coverage/curves.png"",""error.png"":""cells/same_coco000000000009_s0_terminal_coverage/error.png"",""field.npz"":""cells/same_coco000000000009_s0_terminal_coverage/field.npz"",""history.json"":""cells/same_coco000000000009_s0_terminal_coverage/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_terminal_coverage/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_terminal_coverage/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_terminal_coverage/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_terminal_coverage/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_terminal_coverage/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_terminal_coverage/target.npy"",""target.png"":""cells/same_coco000000000009_s0_terminal_coverage/target.png""}",,"[0.028659683994192164,0.02903127099853009,0.02867739299836103,0.029015392996370792,0.028799507999792695,0.029160276004404295,0.02879170500091277,0.029159188001358416,0.028955462999874726,0.028808720999222714]",0.006048363740936113,same_coco000000000009_s0_terminal_coverage,,,,,9,750,same,0.19461944699287415,0.02652912773191929,0.02888209199954872,coverage,0.956710159778595,0.0022360078427505277,2000,,,false,245737472,26.505266775041726,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530733659863472}",0,750,0.8196955919265747,terminal,ok,true,0.2890586019930197,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_terminal_tail/config.json"",""curves.png"":""cells/same_coco000000000009_s0_terminal_tail/curves.png"",""error.png"":""cells/same_coco000000000009_s0_terminal_tail/error.png"",""field.npz"":""cells/same_coco000000000009_s0_terminal_tail/field.npz"",""history.json"":""cells/same_coco000000000009_s0_terminal_tail/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_terminal_tail/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_terminal_tail/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_terminal_tail/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_terminal_tail/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_terminal_tail/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_terminal_tail/target.npy"",""target.png"":""cells/same_coco000000000009_s0_terminal_tail/target.png""}",,"[0.02845349499693839,0.028320122000877745,0.028703074996883515,0.028310642002907116,0.028707622994261328,0.02864844199939398,0.028590062000148464,0.02826485799596412,0.028598658005648758,0.02856168099970091]",0.0055578466630833556,same_coco000000000009_s0_terminal_tail,,,,,9,750,same,0.19461941719055176,0.02652912773191929,0.028575871499924688,tail,0.956710159778595,0.002236007831303032,2000,,,true,244951040,26.505266797275926,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530734032392502}",0,750,0.8196955919265747,terminal,ok,true,0.28515865799272433,,10,2455588864
,"{""config.json"":""cells/same_coco000000000009_s0_terminal_both/config.json"",""curves.png"":""cells/same_coco000000000009_s0_terminal_both/curves.png"",""error.png"":""cells/same_coco000000000009_s0_terminal_both/error.png"",""field.npz"":""cells/same_coco000000000009_s0_terminal_both/field.npz"",""history.json"":""cells/same_coco000000000009_s0_terminal_both/history.json"",""measurements.json"":""cells/same_coco000000000009_s0_terminal_both/measurements.json"",""measurements.npz"":""cells/same_coco000000000009_s0_terminal_both/measurements.npz"",""parity.json"":""cells/same_coco000000000009_s0_terminal_both/parity.json"",""reconstruction.npy"":""cells/same_coco000000000009_s0_terminal_both/reconstruction.npy"",""reconstruction.png"":""cells/same_coco000000000009_s0_terminal_both/reconstruction.png"",""target.npy"":""cells/same_coco000000000009_s0_terminal_both/target.npy"",""target.png"":""cells/same_coco000000000009_s0_terminal_both/target.png""}",,"[0.028983946998778265,0.028818762002629228,0.028729334997478873,0.028981153001950588,0.02855636599997524,0.02854423099779524,0.028970382001716644,0.029065832000924274,0.02869768600066891,0.028950938998605125]",0.006212646473867806,same_coco000000000009_s0_terminal_both,,,,,9,750,same,0.19461870193481445,0.02652912586927414,0.028884850500617176,both,0.956710159778595,0.002236007840460071,2000,,,false,245737472,26.505266779490423,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530734032392502}",0,750,0.8196954727172852,terminal,ok,true,0.2882986330005224,,10,2455588864
