mode,fit_qat_mode,lambda_rate,bits,n,mean_psnr,mean_bpp,mean_ms_ssim,mean_delta_psnr_vs_none,mean_delta_bpp_vs_none,mean_delta_ms_ssim_vs_none,rd_wins_vs_none
fit_qat,ste,0.0,10/5/5/5,4,21.3585,0.311175,0.8244125,1.3901499999999993,0.00424999999999999,0.054815,0
fit_qat,ste,0.0,12/6/6/6,4,22.52295,0.35575,0.8572275,0.6995499999999995,0.0008250000000000202,0.022637499999999977,2
fit_qat,ste,0.0,12/8/6/8,4,22.7865,0.40869999999999995,0.8708875,0.6315750000000007,-0.0026750000000000107,0.023070000000000007,4
fit_qat,ste,0.0,16/8/8/8,4,23.214675,0.4578,0.8845175000000001,-0.23232500000000122,-0.0011250000000000149,-0.0012449999999999684,1
fit_qat,ste,0.001,10/5/5/5,4,21.208399999999997,0.3109,0.8211425000000001,1.2400499999999992,0.003974999999999992,0.051545000000000035,0
fit_qat,ste,0.001,12/6/6/6,4,22.490325,0.35565,0.85791,0.6669249999999991,0.0007250000000000173,0.02331999999999998,2
fit_qat,ste,0.001,12/8/6/8,4,22.9343,0.40885,0.8725025000000001,0.7793749999999999,-0.0025250000000000133,0.024685000000000012,4
fit_qat,ste,0.001,16/8/8/8,4,23.254250000000003,0.45762499999999995,0.8847775,-0.1927500000000011,-0.0013000000000000234,-0.0009849999999999859,1
fit_qat,ste,0.01,10/5/5/5,4,21.364849999999997,0.31072500000000003,0.8218725,1.3964999999999996,0.003799999999999998,0.05227499999999999,0
fit_qat,ste,0.01,12/6/6/6,4,22.515175,0.355425,0.8578950000000001,0.6917750000000007,0.0005000000000000143,0.02330500000000002,1
fit_qat,ste,0.01,12/8/6/8,4,22.882025,0.408825,0.8709574999999999,0.727100000000001,-0.0025499999999999967,0.023139999999999994,4
fit_qat,ste,0.01,16/8/8/8,4,23.247025,0.457225,0.8843,-0.19997500000000112,-0.001700000000000021,-0.0014624999999999777,1
none,off,0.0,10/5/5/5,4,19.96835,0.306925,0.7695974999999999,0.0,0.0,0.0,0
none,off,0.0,12/6/6/6,4,21.8234,0.354925,0.8345899999999999,0.0,0.0,0.0,0
none,off,0.0,12/8/6/8,4,22.154925,0.41137500000000005,0.8478175,0.0,0.0,0.0,0
none,off,0.0,16/8/8/8,4,23.447000000000003,0.458925,0.8857625,0.0,0.0,0.0,0
qat,off,0.0,10/5/5/5,4,21.471975,0.311025,0.8227175,1.5036249999999995,0.004099999999999979,0.05312,0
qat,off,0.0,12/6/6/6,4,22.460175,0.35555,0.85677,0.6367750000000001,0.0006250000000000144,0.022180000000000005,1
qat,off,0.0,12/8/6/8,4,22.818525,0.408875,0.8704324999999999,0.6636000000000006,-0.002500000000000016,0.022614999999999996,4
qat,off,0.0,16/8/8/8,4,23.275100000000002,0.45725000000000005,0.884555,-0.17190000000000083,-0.0016750000000000237,-0.0012074999999999725,1
refine_noste,off,0.0,10/5/5/5,4,20.0017,0.30517500000000003,0.76776,0.03334999999999955,-0.0017500000000000016,-0.001837499999999992,2
refine_noste,off,0.0,12/6/6/6,4,21.599899999999998,0.354375,0.8289624999999999,-0.22350000000000048,-0.0005499999999999949,-0.0056275000000000075,2
refine_noste,off,0.0,12/8/6/8,4,21.905625,0.41075000000000006,0.84407,-0.24929999999999897,-0.0006250000000000006,-0.003747499999999987,1
refine_noste,off,0.0,16/8/8/8,4,23.37455,0.45775,0.8852450000000001,-0.07245000000000079,-0.0011750000000000232,-0.0005174999999999763,2
