image,budget,seed,bits,mode,fit_qat_mode,lambda_rate,psnr,bpp,ms_ssim,delta_psnr_vs_none,delta_bpp_vs_none,delta_ms_ssim_vs_none,rd_win_vs_none
kodim01,512,0,16/8/8/8,none,off,0.0,23.1772,0.465,0.86807,0.0,0.0,0.0,False
kodim01,512,0,16/8/8/8,qat,off,0.0,23.4453,0.4626,0.87189,0.26810000000000045,-0.0024000000000000132,0.0038200000000000456,True
kodim01,512,0,16/8/8/8,refine_noste,off,0.0,23.3465,0.4635,0.87229,0.16929999999999978,-0.0015000000000000013,0.0042200000000000015,True
kodim01,512,0,16/8/8/8,fit_qat,ste,0.0,23.2381,0.4637,0.87017,0.060900000000000176,-0.0013000000000000234,0.0020999999999999908,True
kodim01,512,0,16/8/8/8,fit_qat,ste,0.001,23.3674,0.4636,0.87197,0.1902000000000008,-0.0014000000000000123,0.0039000000000000146,True
kodim01,512,0,16/8/8/8,fit_qat,ste,0.01,23.3683,0.463,0.87122,0.19110000000000227,-0.0020000000000000018,0.003149999999999986,True
kodim01,512,0,12/8/6/8,none,off,0.0,20.1614,0.4157,0.78133,0.0,0.0,0.0,False
kodim01,512,0,12/8/6/8,qat,off,0.0,22.5078,0.4154,0.84575,2.346399999999999,-0.00030000000000002247,0.06442000000000003,True
kodim01,512,0,12/8/6/8,refine_noste,off,0.0,19.4789,0.4149,0.76736,-0.682500000000001,-0.0008000000000000229,-0.013969999999999927,False
kodim01,512,0,12/8/6/8,fit_qat,ste,0.0,22.3728,0.4155,0.84551,2.211400000000001,-0.00020000000000003348,0.06418000000000001,True
kodim01,512,0,12/8/6/8,fit_qat,ste,0.001,22.7049,0.4151,0.8504,2.543499999999998,-0.0005999999999999894,0.06907000000000008,True
kodim01,512,0,12/8/6/8,fit_qat,ste,0.01,22.6292,0.4153,0.84625,2.4678000000000004,-0.00040000000000001146,0.06491999999999998,True
kodim01,512,0,12/6/6/6,none,off,0.0,19.9894,0.3575,0.77299,0.0,0.0,0.0,False
kodim01,512,0,12/6/6/6,qat,off,0.0,22.2636,0.3597,0.83858,2.2742000000000004,0.0022000000000000353,0.06559000000000004,False
kodim01,512,0,12/6/6/6,refine_noste,off,0.0,19.4688,0.3585,0.76228,-0.5205999999999982,0.0010000000000000009,-0.010709999999999997,False
kodim01,512,0,12/6/6/6,fit_qat,ste,0.0,22.358,0.3595,0.83796,2.3686000000000007,0.0020000000000000018,0.06497000000000008,False
kodim01,512,0,12/6/6/6,fit_qat,ste,0.001,22.4465,0.3595,0.83959,2.4571000000000005,0.0020000000000000018,0.06659999999999999,False
kodim01,512,0,12/6/6/6,fit_qat,ste,0.01,22.2082,0.3593,0.83497,2.2188000000000017,0.0018000000000000238,0.061980000000000035,False
kodim01,512,0,10/5/5/5,none,off,0.0,18.452,0.3141,0.71247,0.0,0.0,0.0,False
kodim01,512,0,10/5/5/5,qat,off,0.0,21.3342,0.3162,0.79913,2.8821999999999974,0.0020999999999999908,0.08665999999999996,False
kodim01,512,0,10/5/5/5,refine_noste,off,0.0,18.6006,0.3123,0.71477,0.1485999999999983,-0.0017999999999999683,0.0022999999999999687,True
kodim01,512,0,10/5/5/5,fit_qat,ste,0.0,21.4174,0.3156,0.80317,2.965399999999999,0.0015000000000000013,0.0907,False
kodim01,512,0,10/5/5/5,fit_qat,ste,0.001,21.2805,0.3155,0.79793,2.8284999999999982,0.0014000000000000123,0.08545999999999998,False
kodim01,512,0,10/5/5/5,fit_qat,ste,0.01,21.1629,0.3153,0.7953,2.7108999999999988,0.0012000000000000344,0.08282999999999996,False
