image,budget,seed,strategy,iters,qat_iters,zlib_level,fit_psnr,n_gaussians,fit_qat_mode,lambda_rate,qat_rate_bpp,rate_loss,adaptive_stop_reason,estimated_raw_bpp,mode,qat,bits,bpp,raw_bpp,bytes,psnr,ms_ssim
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,none,False,16/8/8/8,0.465,0.4167,5714,23.1772,0.86807
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,qat,True,16/8/8/8,0.4626,0.4167,5685,23.4453,0.87189
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,refine_noste,False,16/8/8/8,0.4635,0.4167,5696,23.3465,0.87229
kodim01,512,0,quadtree_wse,600,100,9,23.4072,512,ste,0.0,,,,1.3333,fit_qat,True,16/8/8/8,0.4637,0.4167,5698,23.2381,0.87017
kodim01,512,0,quadtree_wse,600,100,9,23.433,512,ste,0.001,0.334104,0.000334,,1.3333,fit_qat,True,16/8/8/8,0.4636,0.4167,5697,23.3674,0.87197
kodim01,512,0,quadtree_wse,600,100,9,23.4748,512,ste,0.01,0.333514,0.003335,,1.3333,fit_qat,True,16/8/8/8,0.463,0.4167,5689,23.3683,0.87122
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,none,False,12/8/6/8,0.4157,0.3646,5108,20.1614,0.78133
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,qat,True,12/8/6/8,0.4154,0.3646,5105,22.5078,0.84575
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,refine_noste,False,12/8/6/8,0.4149,0.3646,5098,19.4789,0.76736
kodim01,512,0,quadtree_wse,600,100,9,22.5476,512,ste,0.0,,,,1.3333,fit_qat,True,12/8/6/8,0.4155,0.3646,5106,22.3728,0.84551
kodim01,512,0,quadtree_wse,600,100,9,22.6131,512,ste,0.001,0.283687,0.000284,,1.3333,fit_qat,True,12/8/6/8,0.4151,0.3646,5101,22.7049,0.8504
kodim01,512,0,quadtree_wse,600,100,9,22.6719,512,ste,0.01,0.2825,0.002825,,1.3333,fit_qat,True,12/8/6/8,0.4153,0.3646,5103,22.6292,0.84625
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,none,False,12/6/6/6,0.3575,0.3125,4393,19.9894,0.77299
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,qat,True,12/6/6/6,0.3597,0.3125,4420,22.2636,0.83858
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,refine_noste,False,12/6/6/6,0.3585,0.3125,4405,19.4688,0.76228
kodim01,512,0,quadtree_wse,600,100,9,22.6464,512,ste,0.0,,,,1.3333,fit_qat,True,12/6/6/6,0.3595,0.3125,4418,22.358,0.83796
kodim01,512,0,quadtree_wse,600,100,9,22.6118,512,ste,0.001,0.23485,0.000235,,1.3333,fit_qat,True,12/6/6/6,0.3595,0.3125,4417,22.4465,0.83959
kodim01,512,0,quadtree_wse,600,100,9,22.6093,512,ste,0.01,0.234263,0.002343,,1.3333,fit_qat,True,12/6/6/6,0.3593,0.3125,4415,22.2082,0.83497
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,none,False,10/5/5/5,0.3141,0.2604,3860,18.452,0.71247
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,qat,True,10/5/5/5,0.3162,0.2604,3886,21.3342,0.79913
kodim01,512,0,quadtree_wse,600,100,9,23.7106,512,off,0.0,,,,1.3333,refine_noste,False,10/5/5/5,0.3123,0.2604,3837,18.6006,0.71477
kodim01,512,0,quadtree_wse,600,100,9,21.8514,512,ste,0.0,,,,1.3333,fit_qat,True,10/5/5/5,0.3156,0.2604,3878,21.4174,0.80317
kodim01,512,0,quadtree_wse,600,100,9,21.7741,512,ste,0.001,0.189509,0.00019,,1.3333,fit_qat,True,10/5/5/5,0.3155,0.2604,3877,21.2805,0.79793
kodim01,512,0,quadtree_wse,600,100,9,21.7563,512,ste,0.01,0.188946,0.001889,,1.3333,fit_qat,True,10/5/5/5,0.3153,0.2604,3875,21.1629,0.7953
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,none,False,16/8/8/8,0.4491,0.4167,5519,23.7784,0.91114
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,qat,True,16/8/8/8,0.4476,0.4167,5500,23.53,0.90842
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,refine_noste,False,16/8/8/8,0.4478,0.4167,5503,23.2463,0.90308
kodim07,512,0,quadtree_wse,600,100,9,23.6271,512,ste,0.0,,,,1.3333,fit_qat,True,16/8/8/8,0.4476,0.4167,5500,23.4499,0.90907
kodim07,512,0,quadtree_wse,600,100,9,23.4983,512,ste,0.001,0.330689,0.000331,,1.3333,fit_qat,True,16/8/8/8,0.4476,0.4167,5500,23.4315,0.90701
kodim07,512,0,quadtree_wse,600,100,9,23.5709,512,ste,0.01,0.329575,0.003296,,1.3333,fit_qat,True,16/8/8/8,0.4473,0.4167,5497,23.4088,0.90685
