group,level,background,n,mean_d_psnr,psnr_wins,mean_d_ms_ssim,ms_ssim_wins,mean_d_auc_psnr,auc_wins,mean_d_edge_mae,edge_mae_wins_lower,mean_d_fit_seconds,mean_d_large_support_detail_fraction
overall,all,frac0.05_grid8,24,1.015192,22,0.014119,24,0.119165,11,-0.000417,10,2.758022,0.072863
overall,all,frac0.10_grid16,24,0.956450,17,0.012234,22,0.082788,11,-0.000098,10,2.573756,0.070712
budget,budget=1000,frac0.05_grid8,8,1.876825,8,0.022096,8,0.576542,7,-0.003177,6,2.102086,0.105421
budget,budget=1000,frac0.10_grid16,8,1.915637,8,0.020735,7,0.634078,7,-0.003500,6,1.734703,0.097278
budget,budget=2000,frac0.05_grid8,8,1.118313,8,0.013706,8,0.111061,4,-0.000088,4,2.703264,0.074175
budget,budget=2000,frac0.10_grid16,8,1.011588,6,0.010720,7,0.028144,4,0.000691,4,2.495739,0.073486
budget,budget=5000,frac0.05_grid8,8,0.050437,6,0.006555,8,-0.330109,0,0.002015,0,3.468716,0.038993
budget,budget=5000,frac0.10_grid16,8,-0.057875,3,0.005246,8,-0.413856,0,0.002516,0,3.490827,0.041371
strategy,strategy=aniso_onedge,frac0.05_grid8,12,1.055158,11,0.013324,12,0.126882,6,-0.000671,5,2.761875,0.073207
strategy,strategy=aniso_onedge,frac0.10_grid16,12,0.995242,8,0.011553,11,0.100122,6,-0.000289,6,2.628131,0.073577
strategy,strategy=quadtree_wse,frac0.05_grid8,12,0.975225,11,0.014914,12,0.111448,5,-0.000163,5,2.754169,0.072519
strategy,strategy=quadtree_wse,frac0.10_grid16,12,0.917658,9,0.012914,11,0.065455,5,0.000094,4,2.519382,0.067847
image,image=kodim01,frac0.05_grid8,6,0.820000,6,0.016210,6,0.124395,4,-0.000581,3,2.476364,0.053472
image,image=kodim01,frac0.10_grid16,6,0.800517,6,0.015315,6,0.131588,4,-0.000219,3,2.308007,0.053530
image,image=kodim07,frac0.05_grid8,6,2.640767,6,0.020958,6,0.600510,4,-0.003145,4,2.417701,0.047268
image,image=kodim07,frac0.10_grid16,6,2.525867,5,0.020120,6,0.518228,4,-0.002671,4,2.243517,0.046153
image,image=kodim13,frac0.05_grid8,6,0.093100,6,0.012092,6,-0.088198,1,0.000975,1,3.642465,0.106236
image,image=kodim13,frac0.10_grid16,6,0.034850,3,0.008593,5,-0.135792,1,0.001501,1,3.388736,0.101144
image,image=kodim19,frac0.05_grid8,6,0.506900,4,0.007217,6,-0.160048,2,0.001084,2,2.495558,0.084476
image,image=kodim19,frac0.10_grid16,6,0.464567,3,0.004907,5,-0.182870,2,0.000999,2,2.354765,0.082019
