group,level,n,mean_large_support_fraction,mean_large_support_count
budget,budget=1000,8,0.025500,25.500000
budget,budget=2000,8,0.011375,22.750000
budget,budget=5000,8,0.005425,27.125000
budget_strategy,budget=1000|strategy=aniso_onedge,4,0.025500,25.500000
budget_strategy,budget=1000|strategy=quadtree_wse,4,0.025500,25.500000
budget_strategy,budget=2000|strategy=aniso_onedge,4,0.013000,26.000000
budget_strategy,budget=2000|strategy=quadtree_wse,4,0.009750,19.500000
budget_strategy,budget=5000|strategy=aniso_onedge,4,0.005900,29.500000
budget_strategy,budget=5000|strategy=quadtree_wse,4,0.004950,24.750000
image_budget,image=kodim01|budget=1000,2,0.016000,16.000000
image_budget,image=kodim01|budget=2000,2,0.004500,9.000000
image_budget,image=kodim01|budget=5000,2,0.002100,10.500000
image_budget,image=kodim07|budget=1000,2,0.016000,16.000000
image_budget,image=kodim07|budget=2000,2,0.006750,13.500000
image_budget,image=kodim07|budget=5000,2,0.002800,14.000000
image_budget,image=kodim13|budget=1000,2,0.034500,34.500000
image_budget,image=kodim13|budget=2000,2,0.009000,18.000000
image_budget,image=kodim13|budget=5000,2,0.002600,13.000000
image_budget,image=kodim19|budget=1000,2,0.035500,35.500000
image_budget,image=kodim19|budget=2000,2,0.025250,50.500000
image_budget,image=kodim19|budget=5000,2,0.014200,71.000000
