image,budget,seed,strategy,background,background_count,detail_count,background_actual_fraction,base_psnr,psnr,d_psnr,base_ms_ssim,ms_ssim,d_ms_ssim,base_auc_psnr,auc_psnr,d_auc_psnr,base_edge_mae,edge_mae,d_edge_mae,base_fit_seconds,fit_seconds,d_fit_seconds,base_total_seconds,total_seconds,d_total_seconds,base_large_support_fraction,large_support_fraction,d_large_support_fraction,base_large_support_detail_fraction,large_support_detail_fraction,d_large_support_detail_fraction
kodim01,1000,0,aniso_onedge,frac0.05_grid8,50,950,0.05,22.053200,22.781000,0.727800,0.817880,0.828930,0.011050,22.303614,22.451417,0.147803,0.071599,0.071642,0.000043,5.017204,6.496376,1.479172,5.709571,6.653018,0.943447,0.013000,0.125000,0.112000,0.013000,0.078947,0.065947
kodim01,1000,0,aniso_onedge,frac0.10_grid16,100,900,0.1,22.053200,22.847600,0.794400,0.817880,0.830780,0.012900,22.303614,22.537407,0.233793,0.071599,0.071311,-0.000288,5.017204,6.278756,1.261551,5.709571,6.432872,0.723301,0.013000,0.077000,0.064000,0.013000,0.085556,0.072556
kodim01,1000,0,quadtree_wse,frac0.05_grid8,50,950,0.05,20.798100,22.622800,1.824700,0.791300,0.826980,0.035680,21.719716,22.368931,0.649214,0.075791,0.074732,-0.001059,4.774417,6.804070,2.029654,5.168806,7.277116,2.108310,0.019000,0.160000,0.141000,0.019000,0.115789,0.096789
kodim01,1000,0,quadtree_wse,frac0.10_grid16,100,900,0.1,20.798100,22.583800,1.785700,0.791300,0.824980,0.033680,21.719716,22.384084,0.664368,0.075791,0.075904,0.000113,4.774417,6.411032,1.636615,5.168806,6.776705,1.607899,0.019000,0.091000,0.072000,0.019000,0.101111,0.082111
kodim07,1000,0,aniso_onedge,frac0.05_grid8,50,950,0.05,21.621000,26.257500,4.636500,0.877880,0.919610,0.041730,24.338548,25.723994,1.385446,0.062140,0.051823,-0.010317,5.053728,7.094116,2.040388,5.210171,7.269096,2.058925,0.018000,0.148000,0.130000,0.018000,0.103158,0.085158
kodim07,1000,0,aniso_onedge,frac0.10_grid16,100,900,0.1,21.621000,26.403000,4.782000,0.877880,0.921150,0.043270,24.338548,25.933119,1.594571,0.062140,0.051758,-0.010382,5.053728,7.123048,2.069319,5.210171,7.273437,2.063265,0.018000,0.099000,0.081000,0.018000,0.110000,0.092000
kodim07,1000,0,quadtree_wse,frac0.05_grid8,50,950,0.05,22.337000,26.425000,4.088000,0.882740,0.922540,0.039800,24.219038,25.892590,1.673552,0.060982,0.051505,-0.009477,5.025974,7.117897,2.091923,5.416515,7.503313,2.086798,0.014000,0.126000,0.112000,0.014000,0.080000,0.066000
kodim07,1000,0,quadtree_wse,frac0.10_grid16,100,900,0.1,22.337000,26.433300,4.096300,0.882740,0.922390,0.039650,24.219038,25.904024,1.684986,0.060982,0.051316,-0.009666,5.025974,6.568076,1.542102,5.416515,6.939555,1.523040,0.014000,0.060000,0.046000,0.014000,0.066667,0.052667
kodim13,1000,0,aniso_onedge,frac0.05_grid8,50,950,0.05,19.349500,19.699900,0.350400,0.736170,0.753850,0.017680,19.515630,19.545314,0.029684,0.107666,0.106705,-0.000961,5.096448,7.932852,2.836404,5.240322,8.084654,2.844332,0.029000,0.220000,0.191000,0.029000,0.178947,0.149947
kodim13,1000,0,aniso_onedge,frac0.10_grid16,100,900,0.1,19.349500,19.680100,0.330600,0.736170,0.750180,0.014010,19.515630,19.531063,0.015433,0.107666,0.106995,-0.000671,5.096448,7.548831,2.452383,5.240322,7.706382,2.466059,0.029000,0.154000,0.125000,0.029000,0.171111,0.142111
kodim13,1000,0,quadtree_wse,frac0.05_grid8,50,950,0.05,19.640200,19.661000,0.020800,0.750680,0.752950,0.002270,19.623394,19.517901,-0.105493,0.106274,0.108127,0.001853,5.395629,7.900117,2.504488,5.713079,8.223819,2.510740,0.040000,0.219000,0.179000,0.040000,0.177895,0.137895
kodim13,1000,0,quadtree_wse,frac0.10_grid16,100,900,0.1,19.640200,19.690800,0.050600,0.750680,0.749450,-0.001230,19.623394,19.534816,-0.088578,0.106274,0.106748,0.000474,5.395629,7.327480,1.931851,5.713079,7.636338,1.923260,0.040000,0.146000,0.106000,0.040000,0.162222,0.122222
kodim19,1000,0,aniso_onedge,frac0.05_grid8,50,950,0.05,23.082700,25.656300,2.573600,0.866150,0.886300,0.020150,24.353121,25.088878,0.735757,0.062221,0.057742,-0.004479,5.260299,7.436892,2.176593,5.421229,7.619045,2.197816,0.042000,0.212000,0.170000,0.042000,0.170526,0.128526
kodim19,1000,0,aniso_onedge,frac0.10_grid16,100,900,0.1,23.082700,25.635200,2.552500,0.866150,0.882710,0.016560,24.353121,25.158089,0.804967,0.062221,0.057104,-0.005117,5.260299,7.047623,1.787324,5.421229,7.251127,1.829898,0.042000,0.138000,0.096000,0.042000,0.153333,0.111333
kodim19,1000,0,quadtree_wse,frac0.05_grid8,50,950,0.05,24.823500,25.616300,0.792800,0.874960,0.883370,0.008410,25.057006,25.153381,0.096375,0.058581,0.057558,-0.001023,5.571645,7.229713,1.658068,5.914596,7.574497,1.659902,0.029000,0.185000,0.156000,0.029000,0.142105,0.113105
kodim19,1000,0,quadtree_wse,frac0.10_grid16,100,900,0.1,24.823500,25.756500,0.933000,0.874960,0.882000,0.007040,25.057006,25.220086,0.163080,0.058581,0.056117,-0.002464,5.571645,6.768120,1.196475,5.914596,7.110185,1.195590,0.029000,0.119000,0.090000,0.029000,0.132222,0.103222
kodim01,2000,0,aniso_onedge,frac0.05_grid8,64,1936,0.032,23.258700,23.943100,0.684400,0.868440,0.880400,0.011960,23.541827,23.605423,0.063596,0.063024,0.061259,-0.001765,4.761023,7.071039,2.310016,5.038352,7.393952,2.355600,0.004500,0.079000,0.074500,0.004500,0.048554,0.044054
kodim01,2000,0,aniso_onedge,frac0.10_grid16,200,1800,0.1,23.258700,23.908200,0.649500,0.868440,0.880010,0.011570,23.541827,23.586437,0.044610,0.063024,0.061735,-0.001289,4.761023,6.973149,2.212126,5.038352,7.251812,2.213459,0.004500,0.043000,0.038500,0.004500,0.047778,0.043278
kodim01,2000,0,quadtree_wse,frac0.05_grid8,64,1936,0.032,22.804500,23.869100,1.064600,0.857640,0.879190,0.021550,23.500273,23.524754,0.024481,0.065091,0.061980,-0.003111,5.083510,7.320976,2.237465,5.804555,8.040664,2.236109,0.004500,0.091000,0.086500,0.004500,0.060950,0.056450
