image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,background,opacity,renderer,aa,color_basis,color_solve,loss,loss_weight,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,edge_mae,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,background_fraction,background_grid,background_count,detail_count,background_actual_fraction,large_support_count,large_support_fraction,large_support_detail_count,large_support_detail_fraction,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,loss_weighting,loss_weight_beta,loss_weight_mean,loss_weight_max,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp,level_iters,level_budgets
kodim01,1000,0,1000,1000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.0532,0.58993,0.81788,,0.071599,22.303613875849077,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,1000,0.0,0,0,1000,0.0,13,0.013,13,0.013,1500,False,,0.16150522232055664,5.017204284667969,5.709571123123169,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,0.651,,,,
kodim01,1000,0,1000,1000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,frac0.05_grid8,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=frac0.05_grid8|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.781,0.57675,0.82893,,0.071642,22.451417276587303,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,1000,0.05,8,50,950,0.05,125,0.125,75,0.078947,1500,False,,0.15038418769836426,6.496376037597656,6.653018474578857,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,0.651,,,,
kodim01,1000,0,1000,1000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,frac0.10_grid16,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=frac0.10_grid16|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.8476,0.58136,0.83078,,0.071311,22.537406887667746,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,1000,0.1,16,100,900,0.1,77,0.077,77,0.085556,1500,False,,0.1497359275817871,6.2787556648254395,6.4328718185424805,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,0.651,,,,
kodim01,1000,0,1000,1000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,20.7981,0.58373,0.7913,,0.075791,21.71971633419981,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,1000,0.0,0,0,1000,0.0,19,0.019,19,0.019,1500,False,,0.3905649185180664,4.774416923522949,5.168806076049805,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,0.651,,,,
kodim01,1000,0,1000,1000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,frac0.05_grid8,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=frac0.05_grid8|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.6228,0.57406,0.82698,,0.074732,22.368930662052087,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,1000,0.05,8,50,950,0.05,160,0.16,110,0.115789,1500,False,,0.4679887294769287,6.804070472717285,7.277116060256958,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,0.651,,,,
kodim01,1000,0,1000,1000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,frac0.10_grid16,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=frac0.10_grid16|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.5838,0.57112,0.82498,,0.075904,22.384084125134528,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,1000,0.1,16,100,900,0.1,91,0.091,91,0.101111,1500,False,,0.36122679710388184,6.411032199859619,6.776705026626587,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,0.651,,,,
kodim01,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.2587,0.6643,0.86844,,0.063024,23.54182692318459,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,2000,0.0,0,0,2000,0.0,9,0.0045,9,0.0045,1500,False,,0.27353429794311523,4.7610228061676025,5.0383524894714355,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,,
kodim01,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,frac0.05_grid8,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=frac0.05_grid8|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.9431,0.65095,0.8804,,0.061259,23.605423095148353,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,2000,0.05,8,64,1936,0.032,158,0.079,94,0.048554,1500,False,,0.31821417808532715,7.071039199829102,7.393952131271362,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,,
kodim01,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,frac0.10_grid16,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=frac0.10_grid16|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.9082,0.64958,0.88001,,0.061735,23.586437272421115,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,2000,0.1,16,200,1800,0.1,86,0.043,86,0.047778,1500,False,,0.27211880683898926,6.973149061203003,7.251811742782593,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,,
kodim01,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,none,duplicate,off,target,off,off,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.8045,0.65484,0.85764,,0.065091,23.50027297289074,observed,,"{'28.0': None, '30.0': None, '32.0': None, '35.0': None}",,2000,0.0,0,0,2000,0.0,9,0.0045,9,0.0045,1500,False,,0.7172725200653076,5.083510398864746,5.8045549392700195,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,,
