final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,floyd_steinberg_tensor,Floyd + tensor,0,15.288116216659546,1.5443036487062052,8
640,floyd_steinberg_tensor,Floyd + tensor,25,20.078364610671997,2.3885235839529124,8
640,floyd_steinberg_tensor,Floyd + tensor,50,21.22356390953064,2.5322273719410244,8
640,floyd_steinberg_tensor,Floyd + tensor,75,21.792203664779663,2.6421485268238154,8
640,floyd_steinberg_tensor,Floyd + tensor,100,19.620031595230103,2.4037791391320678,8
640,floyd_steinberg_tensor,Floyd + tensor,125,22.743816375732422,2.784903041672173,8
640,floyd_steinberg_tensor,Floyd + tensor,150,23.359575986862183,2.7898891870164477,8
640,floyd_steinberg_tensor,Floyd + tensor,175,23.70882272720337,2.804059583413104,8
640,floyd_steinberg_tensor,Floyd + tensor,200,21.426393270492554,2.3167023159483238,8
640,floyd_steinberg_tensor,Floyd + tensor,225,24.248655557632446,2.834657360409419,8
640,floyd_steinberg_tensor,Floyd + tensor,250,24.71273136138916,2.863988100279321,8
640,floyd_steinberg_tensor,Floyd + tensor,275,24.983036756515503,2.8779400564003823,8
640,floyd_steinberg_tensor,Floyd + tensor,300,22.44240093231201,2.109940172504013,8
640,floyd_steinberg_tensor,Floyd + tensor,325,25.37356948852539,2.8414657191688577,8
640,floyd_steinberg_tensor,Floyd + tensor,350,25.78757619857788,2.942693000051466,8
640,floyd_steinberg_tensor,Floyd + tensor,375,25.992480516433716,3.0267296388769944,8
640,floyd_steinberg_tensor,Floyd + tensor,400,23.382489681243896,2.3313984725009678,8
640,floyd_steinberg_tensor,Floyd + tensor,425,26.27352809906006,3.0579497558057573,8
640,floyd_steinberg_tensor,Floyd + tensor,450,26.616747856140137,3.1130695501816246,8
640,floyd_steinberg_tensor,Floyd + tensor,475,26.803406953811646,3.16820955854857,8
640,floyd_steinberg_tensor,Floyd + tensor,499,26.90730357170105,3.219261020429527,8
640,gaussianimage_fixed_full,GaussianImage fixed,0,16.921494960784912,1.3030038633106902,8
640,gaussianimage_fixed_full,GaussianImage fixed,25,19.61362051963806,2.261955915770598,8
640,gaussianimage_fixed_full,GaussianImage fixed,50,21.17829442024231,2.8112636059883727,8
640,gaussianimage_fixed_full,GaussianImage fixed,75,22.41267704963684,3.2376431146629066,8
640,gaussianimage_fixed_full,GaussianImage fixed,100,23.28521728515625,3.455873778458317,8
640,gaussianimage_fixed_full,GaussianImage fixed,125,23.98576807975769,3.400184679400063,8
640,gaussianimage_fixed_full,GaussianImage fixed,150,24.47871708869934,3.304663392775558,8
640,gaussianimage_fixed_full,GaussianImage fixed,175,24.82952642440796,3.2600305142046415,8
640,gaussianimage_fixed_full,GaussianImage fixed,200,25.080950260162354,3.2072837752387624,8
640,gaussianimage_fixed_full,GaussianImage fixed,225,25.31307816505432,3.162951366178413,8
640,gaussianimage_fixed_full,GaussianImage fixed,250,25.39933180809021,3.171668488005617,8
640,gaussianimage_fixed_full,GaussianImage fixed,275,25.5339937210083,3.1764449361428926,8
640,gaussianimage_fixed_full,GaussianImage fixed,300,25.61542797088623,3.11679243493637,8
640,gaussianimage_fixed_full,GaussianImage fixed,325,25.69668674468994,3.1188117899811387,8
640,gaussianimage_fixed_full,GaussianImage fixed,350,25.725492477416992,3.0892772583208545,8
640,gaussianimage_fixed_full,GaussianImage fixed,375,25.761803150177002,3.1408593765403743,8
640,gaussianimage_fixed_full,GaussianImage fixed,400,25.776682376861572,3.1774851998220353,8
640,gaussianimage_fixed_full,GaussianImage fixed,425,25.773845195770264,3.179183246031199,8
