method,method_label,track,pairs,paired_images,budget_matched,gain_psnr,ci_low_psnr,ci_high_psnr,pairs_psnr,gain_ms_ssim,ci_low_ms_ssim,ci_high_ms_ssim,pairs_ms_ssim,gain_auc_psnr,ci_low_auc_psnr,ci_high_auc_psnr,pairs_auc_psnr,gain_fit_seconds,ci_low_fit_seconds,ci_high_fit_seconds,pairs_fit_seconds,gain_total_seconds,ci_low_total_seconds,ci_high_total_seconds,pairs_total_seconds,gain_lpips,ci_low_lpips,ci_high_lpips,pairs_lpips,images_lpips,sample_relation,supported_relation_95ci
structsplat_best_ssim010,SS best + SSIM 0.10,best-loss-sweep,8,4,True,-0.13547396659851074,-0.23748779296875,-0.033460140228271484,8,-0.0017404109239578247,-0.003395982086658478,-0.0003995373845100403,8,-0.036484496626921104,-0.10747155350052706,0.04262030435229747,8,0.11040705442428589,0.010034739971160889,0.28098064661026,8,0.1118876039981842,0.010038405656814575,0.28484857082366943,8,,,,0,0,tradeoff,tradeoff
structsplat_best_l1_only,SS best + L1 only,best-loss-sweep,8,4,True,-0.7759819030761719,-0.9522838592529297,-0.5996799468994141,8,-0.011057764291763306,-0.01791926473379135,-0.005383707582950592,8,-0.4903636105313809,-0.6144205417805075,-0.3853386695494865,8,0.4310799837112427,0.3399280607700348,0.5936104357242584,8,0.43251854181289673,0.339276522397995,0.5976493060588837,8,,,,0,0,tradeoff,tradeoff
structsplat_best_charbonnier,SS best + Charbonnier,best-loss-sweep,8,4,True,-0.17753052711486816,-0.24871349334716797,-0.11930370330810547,8,-0.002712823450565338,-0.005899667739868164,-0.0008713528513908386,8,-0.027726291415687054,-0.09198132569421968,0.036890980953683705,8,0.10155117511749268,-0.004525661468505859,0.2746240496635437,8,0.10280376672744751,-0.006445646286010742,0.28026729822158813,8,,,,0,0,tradeoff,tradeoff
structsplat_best_tensor_loss,SS best + tensor loss,best-edge-loss,8,4,True,0.011869192123413086,-0.10687875747680664,0.07478213310241699,8,-0.00023706257343292236,-0.002070888876914978,0.0010647475719451904,8,0.012085907922717798,-0.04631338735859414,0.04813294539709467,8,0.0667569637298584,-0.009061247110366821,0.2085479199886322,8,0.06785213947296143,-0.010387778282165527,0.2130489945411682,8,,,,0,0,tradeoff,tradeoff
structsplat_best_color_final,SS best + final color solve,best-color-polish,8,4,True,0.19350886344909668,0.09709930419921875,0.2899184226989746,8,0.0016085803508758545,-0.00014863908290863037,0.0033657997846603394,8,-0.017908122592077635,-0.047028241988892105,0.014248515895469271,8,-0.013223588466644287,-0.112638920545578,0.16994383931159973,8,-0.013148725032806396,-0.11729899048805237,0.1735956370830536,8,,,,0,0,tradeoff,tradeoff
structsplat_best_relocate,SS best + split relocate,best-relocate,8,4,True,-0.4875912666320801,-0.5720365047454834,-0.36400675773620605,8,-0.0035628527402877808,-0.006802305579185486,-0.0009303390979766846,8,-0.21134708209601527,-0.28017731324465345,-0.17085733251246626,8,0.01931023597717285,-0.07084870338439941,0.1671525239944458,8,0.019937604665756226,-0.07140684127807617,0.16997307538986206,8,,,,0,0,tradeoff,tradeoff
structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,best-adaptive-capacity,8,4,False,1.0277748107910156,0.12053871154785156,1.7484288215637207,8,0.0075452327728271484,0.002485014498233795,0.012167096138000488,8,0.6900011222204845,0.5494733989119287,0.8291567437395546,8,0.09764251112937927,0.01154416799545288,0.24838799238204956,8,0.09891930222511292,0.01157832145690918,0.25285354256629944,8,,,,0,0,over_budget,not_comparable
gaussianimage_fixed_full,GaussianImage fixed,fixed-full,8,4,True,-1.9607906341552734,-2.692356586456299,-1.0163516998291016,8,0.001629658043384552,-0.0037181077525019596,0.005230307579040527,8,-0.4241844142128328,-1.0151472493020712,0.1667784208764056,8,0.10813504457473755,0.0018711686134338379,0.2758423388004303,8,0.16065168380737305,0.05162405967712402,0.33128663897514343,8,,,,0,0,tradeoff,tradeoff
gaussianimage_plus_residual,GaussianImage++ residual,repo-growth,8,4,True,-0.36829137802124023,-0.5754928588867188,-0.16108989715576172,8,0.0023179352283477783,6.909668445587158e-05,0.003906279802322388,8,-1.8585765613821565,-2.4056890069363366,-1.2479976788312483,8,0.1105288565158844,0.023618638515472412,0.25877878069877625,8,0.16317212581634521,0.07499492168426514,0.31382498145103455,8,,,,0,0,tradeoff,tradeoff
image_gs_residual,Image-GS residual,repo-growth,8,4,True,-0.339432954788208,-0.5164408683776855,-0.1673274040222168,8,0.0009822919964790344,-0.0009069442749023438,0.0029811933636665344,8,-1.4255714946853852,-1.712887066399646,-1.0035808220177223,8,0.12534895539283752,0.03283584117889404,0.2796757221221924,8,0.17553499341011047,0.08261781930923462,0.332732230424881,8,,,,0,0,tradeoff,tradeoff
instant_gi_quadtree_fixed,Instant-GI quadtree,fixed-full,8,4,True,-5.072304725646973,-5.389114856719971,-4.755494594573975,8,-0.03599689155817032,-0.05818822979927063,-0.013805553317070007,8,-3.748657722989161,-3.9798254555834083,-3.4711522915081425,8,0.13246729969978333,0.035612910985946655,0.30019038915634155,8,0.013846755027770996,-0.03167843818664551,0.06896054744720459,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_residual,SS on-edge + residual,same-growth,8,4,True,-0.18304038047790527,-0.39704132080078125,0.030960559844970703,8,0.0015498995780944824,0.0005465000867843628,0.0029201656579971313,8,-0.6611990981207105,-0.9055402185730572,-0.4270644488936659,8,0.10181596875190735,-0.000756382942199707,0.27196386456489563,8,0.10368815064430237,-0.0001150369644165039,0.2771168351173401,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_residual_relocate,SS on-edge + residual relocate,same-growth+relocate,8,4,True,-0.3547966480255127,-0.6117050647735596,-0.11240196228027344,8,0.0005901157855987549,-0.0002564564347267151,0.0014273226261138916,8,-0.9622285373225239,-1.3251765022774733,-0.6278120511041605,8,0.050965189933776855,-0.0492669939994812,0.21421241760253906,8,0.053015679121017456,-0.049112558364868164,0.21949422359466553,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,same-growth+feature-cap,8,4,True,-0.13764739036560059,-0.30204248428344727,0.01690816879272461,8,-0.0005345046520233154,-0.003425002098083496,0.0016763508319854736,8,-0.7971254044878702,-1.0174509759895316,-0.6144822150289642,8,0.10307443141937256,-0.03248333930969238,0.2794380187988281,8,0.10489726066589355,-0.03264245390892029,0.28471484780311584,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,same-growth+feature-rel-cap,8,4,True,-0.1312274932861328,-0.28361940383911133,0.0047969818115234375,8,0.00030519813299179077,-0.0005990862846374512,0.0014163926243782043,8,-0.5473021463545149,-0.7212287424083712,-0.3733755503006586,8,0.10111719369888306,0.011617481708526611,0.2553321123123169,8,0.10274076461791992,0.010855019092559814,0.2597839832305908,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_tensor,SS on-edge + tensor,tensor-growth,8,4,True,-0.3782229423522949,-0.7395246028900146,-0.15389633178710938,8,0.0004692450165748596,-0.0002575814723968506,0.0011960715055465698,8,-0.6705640026467119,-0.9714571223230304,-0.41871677754159364,8,0.1120130717754364,0.022644877433776855,0.26015642285346985,8,0.11364090442657471,0.023696064949035645,0.2646810710430145,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,tensor-growth+feature-cap,8,4,True,-0.028181791305541992,-0.15934205055236816,0.10900306701660156,8,-0.00039858371019363403,-0.002244904637336731,0.0007078796625137329,8,-0.5525752273733491,-0.6743400961698187,-0.46053804711014923,8,0.07222715020179749,-0.026822924613952637,0.22982081770896912,8,0.07131403684616089,-0.02696317434310913,0.2277011275291443,8,,,,0,0,tradeoff,tradeoff
structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,tensor-growth+feature-rel-cap,8,4,True,-0.3074636459350586,-0.525728702545166,-0.13592195510864258,8,0.00011780858039855957,-0.0011154115200042725,0.0013510286808013916,8,-0.6156211834632321,-0.8347662935753863,-0.41758050636681254,8,0.09012475609779358,-0.02201107144355774,0.2747735381126404,8,0.09216833114624023,-0.02205219864845276,0.28022846579551697,8,,,,0,0,tradeoff,tradeoff
structsplat_flanking_tensor,SS flanking + tensor,tensor-growth,8,4,True,-0.3818681240081787,-0.7384793758392334,-0.16179323196411133,8,0.0006574317812919617,-3.714859485626221e-05,0.0015632212162017822,8,-0.6735960824456151,-1.0059229082956112,-0.40214187253214195,8,0.10373914241790771,-0.0022295117378234863,0.2780503034591675,8,0.1054190993309021,-0.0008010268211364746,0.28238606452941895,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_residual,SS qt-WSE + residual,same-growth,8,4,True,-0.21606707572937012,-0.41237497329711914,-0.08156013488769531,8,0.0008548945188522339,-0.00021280348300933838,0.0018741786479949951,8,-0.7334917227108644,-1.0054765782040929,-0.4859557701256083,8,0.10383671522140503,0.011340975761413574,0.2617323696613312,8,0.01967063546180725,-0.06281596422195435,0.1716596782207489,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,same-growth+relocate,8,4,True,-0.34586215019226074,-0.6278743743896484,-0.13922643661499023,8,0.0009539574384689331,0.00015532970428466797,0.0017525851726531982,8,-0.9637023007463599,-1.323021777407201,-0.6393274190669542,8,0.04512187838554382,-0.06069976091384888,0.21651795506477356,8,-0.0380592942237854,-0.13344210386276245,0.12811535596847534,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,same-growth+feature-cap,8,4,True,-0.3003556728363037,-0.4876065254211426,-0.11310482025146484,8,-0.0010097026824951172,-0.003992974758148193,0.0007016956806182861,8,-0.8741186841695248,-1.071136794518493,-0.6861325425948781,8,0.10606178641319275,0.004992544651031494,0.2816743552684784,8,0.021984249353408813,-0.07482856512069702,0.18832117319107056,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,same-growth+feature-rel-cap,8,4,True,-0.05818915367126465,-0.1655409336090088,0.07120132446289062,8,0.0010128915309906006,-0.0006897151470184326,0.0030400753021240234,8,-0.568562040348092,-0.7791575064401126,-0.35796657425607137,8,0.09945112466812134,0.012796580791473389,0.24639108777046204,8,0.017993450164794922,-0.07193714380264282,0.15867486596107483,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,tensor-growth,8,4,True,-0.3479316234588623,-0.7489187717437744,-0.0714879035949707,8,0.0009460076689720154,-7.0229172706604e-05,0.0019622445106506348,8,-0.6964585042907627,-1.0265012284319006,-0.40127472265927633,8,0.09597373008728027,-0.0033370554447174072,0.2580702006816864,8,0.013388454914093018,-0.07640892267227173,0.16515755653381348,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,tensor-growth+feature-cap,8,4,True,-0.19379639625549316,-0.2323136329650879,-0.15527915954589844,8,-0.0006417632102966309,-0.002183683216571808,0.0004663318395614624,8,-0.6962242433446679,-0.8551648226911901,-0.5372836639981458,8,0.08718490600585938,-0.008991003036499023,0.2427557110786438,8,0.004468411207199097,-0.09768709540367126,0.15591669082641602,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,tensor-growth+feature-rel-cap,8,4,True,-0.33945155143737793,-0.6210281848907471,-0.05928993225097656,8,0.0005808547139167786,-0.0007920563220977783,0.001983247697353363,8,-0.6797593865461486,-0.9526020532141715,-0.4078453392208452,8,0.10337147116661072,0.028076350688934326,0.2381766140460968,8,0.01873147487640381,-0.05187094211578369,0.14257284998893738,8,,,,0,0,tradeoff,tradeoff
structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,tensor-growth,8,4,True,-0.37453794479370117,-0.6980490684509277,-0.10469579696655273,8,0.0010415613651275635,7.587671279907227e-05,0.002094656229019165,8,-0.737402204521195,-1.0513251874155438,-0.42347922162684615,8,0.11327967047691345,0.008746445178985596,0.2595920264720917,8,0.09806990623474121,-0.011352747678756714,0.249765545129776,8,,,,0,0,tradeoff,tradeoff
floyd_steinberg_tensor,Floyd + tensor,tensor-growth-control,8,4,True,-0.815126895904541,-1.3650188446044922,-0.33136749267578125,8,-0.0031553730368614197,-0.005971461534500122,-0.0005243271589279175,8,-1.273690903473474,-1.7603137849089157,-0.7870680220380324,8,0.11012029647827148,0.031151950359344482,0.25543636083602905,8,0.1411510407924652,0.060110270977020264,0.2879354953765869,8,,,,0,0,tradeoff,tradeoff
