adaptive_count,auc_psnr,color_solve_every,color_solve_schedule,error,feature_cap_px,final_budget,final_scale_max,final_scale_mean,final_scale_p95,fit_seconds,growth_rule,growth_waves,height,image,init_seconds,iterations_run,iters,loss_weight_beta,loss_weighting,lpips,luma_psnr,mae,max_side,method,method_label,method_note,method_track,ms_ssim,mse,n_gaussians,p95_abs_error,pixel_loss,psnr,reconstruction_path,relocate_count_per_event,relocate_fraction,relocate_residual_downsample,relocate_rule,renderer,scale_cap_input,scale_cap_max,scale_cap_reference_side,scale_cap_rule,seed,source_path,ssim,ssim_weight,start_budget,start_fraction,start_gaussians,status,stopped_early,support_fade,target_path,total_seconds,variant_max_gaussians,width
False,24.44284215288793,,none,,12.0,640,12.0,2.895251989364624,9.432127952575684,1.797135829925537,residual_tensor_add,5,120,COCO_train2014_000000000009,0.06287288665771484,500,500,1.0,none,,28.66484832763672,0.026129990816116333,160,structsplat_best_default,SS best default,"Pinned current Gaussian-image winner: aniso_onedge + WSE, feature cap 12@160, tensor-aware residual growth, 5 growth waves, L1 + 0.3 SSIM.",best-default,0.9832349419593811,0.0017915957141667604,640,0.09379499405622482,l1,27.46759796142578,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_default.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.9056954979896545,0.3,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.860008716583252,,160
False,24.353393434283728,,none,,12.0,640,12.0,2.9282538890838623,9.67448616027832,1.0785496234893799,residual_tensor_add,5,120,COCO_train2014_000000000009,0.05380964279174805,500,500,1.0,none,,28.319828033447266,0.026073498651385307,160,structsplat_best_ssim010,SS best + SSIM 0.10,Best default geometry/growth with SSIM weight lowered to 0.10 for lower pixel diff.,best-loss-sweep,0.9809987545013428,0.001903248718008399,640,0.09729422628879547,l1,27.205045700073242,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_ssim010.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.8935073018074036,0.1,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.132359266281128,,160
False,23.947524672758604,,none,,12.0,640,12.0,3.0048298835754395,9.20430850982666,0.7880430221557617,residual_tensor_add,5,120,COCO_train2014_000000000009,0.05001211166381836,500,500,1.0,none,,27.717435836791992,0.027081454172730446,160,structsplat_best_l1_only,SS best + L1 only,Best default geometry/growth with pure L1 pixel loss and no SSIM term.,best-loss-sweep,0.9746109843254089,0.002222039271146059,640,0.10397123545408249,l1,26.532482147216797,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_l1_only.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.8657265901565552,0.0,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,0.8380551338195801,,160
False,24.394420403994634,,none,,12.0,640,12.0,2.939629316329956,9.793583869934082,1.098592758178711,residual_tensor_add,5,120,COCO_train2014_000000000009,0.049215078353881836,500,500,1.0,none,,28.353626251220703,0.025843460112810135,160,structsplat_best_charbonnier,SS best + Charbonnier,Best default geometry/growth with Charbonnier pixel loss and SSIM weight 0.10.,best-loss-sweep,0.981147050857544,0.0018734594341367483,640,0.09643670171499252,charbonnier,27.273557662963867,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_charbonnier.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.8939118385314941,0.1,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.1478078365325928,,160
False,24.426226067399693,,none,,12.0,640,12.0,2.9012868404388428,9.336045265197754,1.1815688610076904,residual_tensor_add,5,120,COCO_train2014_000000000009,0.0505373477935791,500,500,1.0,tensor,,28.648290634155273,0.026074932888150215,160,structsplat_best_tensor_loss,SS best + tensor loss,Best default geometry/growth with tensor-weighted pixel loss to emphasize edges.,best-edge-loss,0.983694314956665,0.0017688716761767864,640,0.09332332015037537,l1,27.52303695678711,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_tensor_loss.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.9059135317802429,0.3,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.2321062088012695,,160
False,24.371289817030302,,final,,12.0,640,12.0,2.9048731327056885,9.5369873046875,1.1909098625183105,residual_tensor_add,5,120,COCO_train2014_000000000009,0.05008864402770996,500,500,1.0,none,,28.74861717224121,0.026623180136084557,160,structsplat_best_color_final,SS best + final color solve,Best default geometry/growth with a final fixed-geometry RGB least-squares color solve.,best-color-polish,0.9830392003059387,0.0017341554630547762,640,0.09183839708566666,l1,27.609121322631836,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_color_final.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.899566113948822,0.3,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.2409985065460205,,160
False,24.211314065661842,,none,,12.0,640,12.0,3.004074811935425,9.559414863586426,1.201160192489624,residual_tensor_add+relocate,5,120,COCO_train2014_000000000009,0.05019831657409668,500,500,1.0,none,,28.23424530029297,0.027564121410250664,160,structsplat_best_relocate,SS best + split relocate,Best default geometry/growth plus split-scheduled residual relocation.,best-relocate,0.9806804060935974,0.002001376124098897,640,0.09854793548583984,l1,26.986713409423828,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_relocate.png,16,0.25,4,at_split,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.8958830237388611,0.3,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.2513585090637207,,160
True,25.100847532849514,,none,,12.0,640,12.0,2.6639959812164307,7.8906731605529785,1.119462251663208,residual_tensor_add,5,120,COCO_train2014_000000000009,0.05220198631286621,500,500,1.0,none,,30.658748626708984,0.021477200090885162,160,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,Best default warm start with adaptive residual growth allowed up to 1.5x the requested cap.,best-adaptive-capacity,0.9886717796325684,0.001180222607217729,960,0.07500442117452621,l1,29.280359268188477,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_structsplat_best_adaptive_1p5x.png,,,,,cuda,12.0,12.0,160.0,feature,0,tests/test_images/COCO_train2014_000000000009.jpg,0.9317613840103149,0.3,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.1716642379760742,960,160
False,24.32433223151014,,none,,,640,66.74396514892578,3.574176073074341,10.769670486450195,1.1122376918792725,none,4,120,COCO_train2014_000000000009,0.0004017353057861328,500,500,1.0,none,,25.332340240478516,0.030176714062690735,160,gaussianimage_fixed_full,GaussianImage fixed,GaussianImage-style random fixed-count control; starts at the final cap and does not grow.,fixed-full,0.9738309979438782,0.0032122936099767685,640,0.113531693816185,l1,24.931848526000977,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_gaussianimage_fixed_full.png,,,,,cuda,,,,,0,tests/test_images/COCO_train2014_000000000009.jpg,0.8858842253684998,0.3,320,0.5,640,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.1126394271850586,,160
False,22.31428336428258,,none,,,640,66.92816925048828,3.667590379714966,10.613704681396484,1.098412036895752,residual_add,4,120,COCO_train2014_000000000009,0.00038433074951171875,500,500,1.0,none,,27.968177795410156,0.02813808061182499,160,gaussianimage_plus_residual,GaussianImage++ residual,GaussianImage++-style analogue: random half-budget start plus residual-add growth.,repo-growth,0.9819974303245544,0.0020844268146902323,640,0.10153254866600037,l1,26.81013298034668,results/fair_gaussian_variants_20260710_full_external_same_hparams/reconstructions/COCO_train2014_000000000009/640/seed0_gaussianimage_plus_residual.png,,,,,cuda,,,,,0,tests/test_images/COCO_train2014_000000000009.jpg,0.8960366249084473,0.3,320,0.5,320,ok,False,False,results/fair_gaussian_variants_20260710_full_external_same_hparams/targets/COCO_train2014_000000000009.png,1.0987963676452637,,160
