budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_best_default,SS best default,22.0,8,8,1.0,93.375,0.3081611096858978
all,structsplat_best_default,SS best default,24.0,8,8,1.0,228.625,0.6274255812168121
all,structsplat_best_default,SS best default,26.0,8,4,0.5,189.75,0.6168547868728638
all,structsplat_best_default,SS best default,28.0,8,2,0.25,107.5,0.2881828546524048
all,structsplat_best_default,SS best default,30.0,8,2,0.25,196.5,0.44932472705841064
all,structsplat_best_default,SS best default,32.0,8,2,0.25,315,0.7630529403686523
all,structsplat_best_ssim010,SS best + SSIM 0.10,22.0,8,8,1.0,94.125,0.23684382438659668
all,structsplat_best_ssim010,SS best + SSIM 0.10,24.0,8,8,1.0,226.375,0.5317822694778442
all,structsplat_best_ssim010,SS best + SSIM 0.10,26.0,8,4,0.5,188.5,0.42932671308517456
all,structsplat_best_ssim010,SS best + SSIM 0.10,28.0,8,2,0.25,108,0.27122700214385986
all,structsplat_best_ssim010,SS best + SSIM 0.10,30.0,8,2,0.25,202.5,0.4644414186477661
all,structsplat_best_ssim010,SS best + SSIM 0.10,32.0,8,2,0.25,359,0.8310949802398682
all,structsplat_best_l1_only,SS best + L1 only,22.0,8,8,1.0,113.125,0.19602549076080322
all,structsplat_best_l1_only,SS best + L1 only,24.0,8,6,0.75,196.16666666666666,0.3314574956893921
all,structsplat_best_l1_only,SS best + L1 only,26.0,8,4,0.5,246.25,0.40483981370925903
all,structsplat_best_l1_only,SS best + L1 only,28.0,8,2,0.25,126.5,0.228021502494812
all,structsplat_best_l1_only,SS best + L1 only,30.0,8,2,0.25,248,0.422809362411499
all,structsplat_best_l1_only,SS best + L1 only,32.0,8,2,0.25,394.5,0.6485830545425415
all,structsplat_best_charbonnier,SS best + Charbonnier,22.0,8,8,1.0,94.5,0.24363452196121216
all,structsplat_best_charbonnier,SS best + Charbonnier,24.0,8,8,1.0,229,0.5466153621673584
all,structsplat_best_charbonnier,SS best + Charbonnier,26.0,8,4,0.5,190.25,0.4422694444656372
all,structsplat_best_charbonnier,SS best + Charbonnier,28.0,8,2,0.25,107,0.2741302251815796
all,structsplat_best_charbonnier,SS best + Charbonnier,30.0,8,2,0.25,197,0.436267614364624
all,structsplat_best_charbonnier,SS best + Charbonnier,32.0,8,2,0.25,336.5,0.7653360366821289
all,structsplat_best_tensor_loss,SS best + tensor loss,22.0,8,8,1.0,94.875,0.23725280165672302
all,structsplat_best_tensor_loss,SS best + tensor loss,24.0,8,7,0.875,193,0.4853303091866629
all,structsplat_best_tensor_loss,SS best + tensor loss,26.0,8,4,0.5,190.5,0.4905027747154236
