image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,status,psnr,ssim,ms_ssim,lpips,auc_psnr,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,relocate_event_count
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,21.1223,0.69242,0.90794,,19.264554799613308,,{'28.0': None},,256,0.0432589054107666,1.4245684146881104,2.06162166595459,0,,,,,0
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,fp_duplicate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=fp_duplicate|pyramid=single,False,ok,20.3283,0.66303,0.89484,,18.418296716981015,,{'28.0': None},,256,0.1256108283996582,1.5714409351348877,1.7194857597351074,1,,,,,0
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,ranked_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=ranked_wave|pyramid=single,False,ok,20.4895,0.66518,0.89683,,18.428106518115026,,{'28.0': None},,256,0.03972125053405762,1.6173620223999023,1.6792879104614258,1,0.764528,0.082219,625.414551,127.599525,0
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,relocate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=relocate|pyramid=single,False,ok,20.5245,0.67249,0.90012,,18.78848757986295,,{'28.0': None},,256,0.05251765251159668,1.537104606628418,1.6053087711334229,0,,,,,1
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,20.4575,0.65828,0.89644,,18.394453468969314,,{'28.0': None},,256,0.045825958251953125,1.5609748363494873,1.622392177581787,1,,,,,0
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,20.6225,0.66786,0.90106,,18.46810563944154,,{'28.0': None},,256,0.039997100830078125,1.5031707286834717,1.5593538284301758,1,,,,,0
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,20.6864,0.56369,0.86716,,19.674511893320894,,{'28.0': None},,256,0.038462162017822266,0.9949734210968018,1.0467400550842285,0,,,,,0
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,fp_duplicate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=fp_duplicate|pyramid=single,False,ok,20.5774,0.55788,0.86598,,19.447410615824037,,{'28.0': None},,256,0.03658628463745117,1.049588680267334,1.0976476669311523,1,,,,,0
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,ranked_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=ranked_wave|pyramid=single,False,ok,20.5094,0.5535,0.86383,,19.290886507195943,,{'28.0': None},,256,0.03534555435180664,1.0494282245635986,1.0972330570220947,1,0.769145,0.071149,618.723145,129.079788,0
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,relocate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=relocate|pyramid=single,False,ok,20.4652,0.55319,0.86303,,19.355849734807418,,{'28.0': None},,256,0.03690910339355469,1.0769927501678467,1.1256675720214844,0,,,,,1
