image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,status,psnr,ssim,ms_ssim,lpips,auc_psnr,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,init_seconds,fit_seconds,total_seconds
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,21.1223,0.69242,0.90794,,19.264554799613308,,{'28.0': None},,256,0.037128448486328125,1.4316291809082031,1.9876954555511475
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,False,ok,20.3369,0.65514,0.89236,,18.317057561066193,,{'28.0': None},,256,0.10714364051818848,1.3743340969085693,1.494988203048706
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,20.4575,0.65828,0.89644,,18.394453468969314,,{'28.0': None},,256,0.02819037437438965,1.2939109802246094,1.336759090423584
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_residual_color|pyramid=single,False,ok,20.3203,0.64943,0.89046,,17.84919546418271,,{'28.0': None},,256,0.028819799423217773,1.3639106750488281,1.4083473682403564
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms_residual_color|pyramid=single,False,ok,20.4014,0.65435,0.89459,,18.040800547195694,,{'28.0': None},,256,0.03264880180358887,1.3629379272460938,1.4110329151153564
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add|pyramid=single,False,ok,20.4561,0.6612,0.89557,,18.35593739202467,,{'28.0': None},,256,0.030057430267333984,1.4196696281433105,1.4636249542236328
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,20.6225,0.66786,0.90106,,18.46810563944154,,{'28.0': None},,256,0.03023695945739746,1.3735027313232422,1.419349193572998
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms_residual_color|pyramid=single,False,ok,20.5528,0.66144,0.89818,,18.17774510787705,,{'28.0': None},,256,0.038279056549072266,1.3630027770996094,1.4179890155792236
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,pyramid,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=pyramid,False,ok,19.2721,0.58831,0.85976,,16.6366554761337,,{'28.0': None},,256,0.1029965877532959,1.6748123168945312,1.7778089046478271
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,20.6865,0.56369,0.86716,,19.67451617677333,,{'28.0': None},,256,0.03471541404724121,2.307424306869507,2.354717969894409
