image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,status,psnr,ssim,ms_ssim,lpips,auc_psnr,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,relocate_event_count
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,21.1223,0.69242,0.90794,,19.264554799613308,,{'28.0': None},,256,0.040528297424316406,1.3232266902923584,1.8811800479888916,0,,,,,,,0
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.3,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.3|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,ok,20.995,0.68697,0.90655,,19.1774900080794,,{'28.0': None},,256,0.10495853424072266,1.3768541812896729,1.4985365867614746,0,,,,,,,0
COCO_train2014_000000000009_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adan,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adan|lr_schedule=none|refine=none|pyramid=single,False,ok,20.4513,0.66033,0.89237,,18.976893004724534,,{'28.0': None},,256,0.042621612548828125,1.437943935394287,1.4962995052337646,0,,,,,,,0
COCO_train2014_000000000009_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,absgrad_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=absgrad_wave|pyramid=single,False,ok,20.47,0.66398,0.8954,,18.38451597246073,,{'28.0': None},,256,0.036055803298950195,1.3779780864715576,1.428741216659546,1,,,,,0.005356,0.011072,0
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,20.6864,0.56369,0.86716,,19.674511893320894,,{'28.0': None},,256,0.041030168533325195,0.9082896709442139,0.9615640640258789,0,,,,,,,0
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.3,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.3|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,ok,20.6492,0.55999,0.86515,,19.64570924791239,,{'28.0': None},,256,0.03501558303833008,0.9212582111358643,0.9675612449645996,0,,,,,,,0
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adan,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adan|lr_schedule=none|refine=none|pyramid=single,False,ok,20.2818,0.53064,0.84833,,19.48194243544239,,{'28.0': None},,256,0.03209733963012695,0.9640688896179199,1.008338451385498,0,,,,,,,0
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,absgrad_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=absgrad_wave|pyramid=single,False,ok,20.5953,0.55533,0.86428,,19.42331853963561,,{'28.0': None},,256,0.03530144691467285,1.0138311386108398,1.0596325397491455,1,,,,,0.003933,0.006284,0
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,25.8384,0.8248,0.95525,,23.674660844317938,,{'28.0': None},,256,0.042278289794921875,1.0476844310760498,1.1009974479675293,0,,,,,,,0
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.3,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.3|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,ok,25.7318,0.82214,0.95454,,23.609377489251607,,{'28.0': None},,256,0.039237260818481445,1.0370407104492188,1.0891025066375732,0,,,,,,,0
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adan,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adan|lr_schedule=none|refine=none|pyramid=single,False,ok,25.1441,0.80077,0.94559,,23.271450737775382,,{'28.0': None},,256,0.04278755187988281,1.0843002796173096,1.1394932270050049,0,,,,,,,0
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,absgrad_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=absgrad_wave|pyramid=single,False,ok,25.4781,0.8206,0.95109,,23.149749141628458,,{'28.0': None},,256,0.03618359565734863,1.1849374771118164,1.2349278926849365,1,,,,,0.003939,0.008831,0
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,19.1126,0.51437,0.84546,,17.834290843898966,,{'28.0': None},,256,0.03671145439147949,1.016115665435791,1.0641162395477295,0,,,,,,,0
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.3,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.3|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,ok,18.9437,0.50877,0.84206,,17.711645934541348,,{'28.0': None},,256,0.0359644889831543,0.9955325126647949,1.0429871082305908,0,,,,,,,0
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adan,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adan|lr_schedule=none|refine=none|pyramid=single,False,ok,18.4284,0.47629,0.82297,,17.550366838099592,,{'28.0': None},,256,0.03943681716918945,1.0467650890350342,1.1006009578704834,0,,,,,,,0
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,0.0,l1,adam,none,absgrad_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|loss=l1|optimizer=adam|lr_schedule=none|refine=absgrad_wave|pyramid=single,False,ok,18.9031,0.50039,0.83532,,17.606143191709357,,{'28.0': None},,256,0.03318190574645996,1.075547695159912,1.1204841136932373,1,,,,,0.003848,0.007231,0
