image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,optimizer,lr_schedule,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,relocate_event_count,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp
kodim01,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,23.2173,0.65946,0.86592,,23.370395173065816,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,2000,1500,False,,0.7087397575378418,5.018725633621216,6.343822479248047,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.3021,,
kodim01,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,23.0221,0.66196,0.86243,,23.403656867283676,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,2000,1500,False,,0.7055432796478271,4.340651035308838,5.0501978397369385,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.4648,,
kodim01,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,23.0269,0.66102,0.86067,,23.369073112620125,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,2000,1500,False,,0.7080180644989014,4.41968035697937,5.132103681564331,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.3021,,
kodim01,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual_tensor,moment_preserving,off,target,off,off,residual_tensor_moment_preserving,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,22.5908,0.66019,0.85644,,23.06280214870827,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,2000,1500,False,,0.804401159286499,4.38604474067688,5.194178581237793,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.4648,,
kodim07,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,25.9475,0.87491,0.94245,,27.2095534017358,observed,,"{'28.0': 116, '30.0': None, '32.0': None}",,2000,1500,False,,0.6936361789703369,4.321765899658203,5.019357919692993,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.3021,,
kodim07,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,26.4166,0.87636,0.94386,,27.10387593511743,observed,,"{'28.0': 116, '30.0': None, '32.0': None}",,2000,1500,False,,0.7009804248809814,4.561295509338379,5.266332626342773,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.4648,,
kodim07,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,25.8856,0.87338,0.9397,,27.5143861420716,observed,,"{'28.0': 117, '30.0': None, '32.0': None}",,2000,1500,False,,0.7680091857910156,4.289579391479492,5.061512470245361,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.3021,,
kodim07,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual_tensor,moment_preserving,off,target,off,off,residual_tensor_moment_preserving,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,26.3147,0.8772,0.94641,,27.384687693457828,observed,,"{'28.0': 116, '30.0': None, '32.0': None}",,2000,1500,False,,0.6825156211853027,4.858449459075928,5.545002222061157,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.4648,,
kodim13,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,20.5687,0.50521,0.80372,,20.30397145218496,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,2000,1500,False,,0.5652368068695068,4.766132354736328,5.33577561378479,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.3021,,
kodim13,2000,0,1936,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,20.4465,0.50764,0.80148,,20.457220972021712,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,2000,1500,False,,0.5903887748718262,4.65154767036438,5.245700836181641,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,1.4648,,
