image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,optimizer,lr_schedule,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,relocate_event_count,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,24.5094,0.77513,0.91029,,22.550833362644003,observed,,{},,80,60,False,,0.006974220275878906,0.29628872871398926,0.8051619529724121,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,every10,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=every10|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,25.0126,0.76719,0.9096,,22.86519309221688,observed,,{},,80,60,False,,0.0012063980102539062,0.9087450504302979,0.9126031398773193,1,,,,,,,,,,,,10,every,0.0001,32,6,0.000869,0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,init,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=init|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,23.5663,0.71148,0.8753,,22.435504913330078,observed,,{},,80,60,False,,0.0011713504791259766,0.45842480659484863,0.4624440670013428,1,,,,,,,,,,,,,init,0.0001,32,1,0.008227,0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,on_split,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=on_split|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,24.6965,0.78484,0.91396,,22.78387915077856,observed,,{},,80,60,False,,0.0011565685272216797,0.47953224182128906,0.4835636615753174,1,,,,,,,,,,,,,on_split,0.0001,32,1,0.002451,0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,init+on_split,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=init+on_split|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,23.7808,0.71623,0.87877,,22.59345793319961,observed,,{},,80,60,False,,0.0011255741119384766,0.6433010101318359,0.648108720779419,1,,,,,,,,,,,,,init+on_split,0.0001,32,2,0.004726,0,False,0,0,,,7.4419,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,22.2662,0.74005,0.8693,,20.846689030275506,observed,,{},,80,60,False,,0.0014188289642333984,0.395444393157959,0.39955830574035645,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0,,,7.4419,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,every10,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=every10|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,22.7398,0.72061,0.86714,,21.146249447838734,observed,,{},,80,60,False,,0.001123189926147461,0.9574203491210938,0.9627645015716553,1,,,,,,,,,,,,10,every,0.0001,32,6,0.001822,0,False,0,0,,,7.4419,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,init,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=init|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,22.16,0.73607,0.86592,,21.172817941439355,observed,,{},,80,60,False,,0.0014162063598632812,0.45960474014282227,0.4638020992279053,1,,,,,,,,,,,,,init,0.0001,32,1,0.003009,0,False,0,0,,,7.4419,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,on_split,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=on_split|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,22.4657,0.75304,0.87943,,21.06306630474026,observed,,{},,80,60,False,,0.0011188983917236328,0.44963812828063965,0.4537208080291748,1,,,,,,,,,,,,,on_split,0.0001,32,1,0.001921,0,False,0,0,,,7.4419,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,init+on_split,l1,adam,none,single,residual,sampled_add,off,target,off,off,residual_add,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=init+on_split|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|pyramid=single,False,False,,,,ok,22.3936,0.747,0.87477,,21.377324573064254,observed,,{},,80,60,False,,0.0011301040649414062,0.5929975509643555,0.5968575477600098,1,,,,,,,,,,,,,init+on_split,0.0001,32,2,0.002091,0,False,0,0,,,7.4419,,
