image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,residual,duplicate,off,target,off,off,duplicate,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,24.607,0.78137,0.91111,,22.636722580861235,observed,,{},,80,60,False,,0.006283998489379883,0.327465295791626,0.8756587505340576,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,0.13735,1.0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,24.3584,0.7664,0.90352,,22.567662982617396,observed,,{},,80,60,False,,0.0011107921600341797,0.334735631942749,0.33866000175476074,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,0.016449,1.0,False,0,0,,,8.3721,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,warmup5,off,single,residual,duplicate,off,target,off,off,duplicate,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=warmup5|support_fade=off|pyramid=single,False,False,,,,ok,24.5962,0.77992,0.9103,,22.62484771922483,observed,,{},,80,60,False,,0.001079559326171875,0.33455371856689453,0.34029197692871094,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,5,0.25,1.066667,False,,10,0.0,0.137348,1.0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,warmup5,off,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=warmup5|support_fade=off|pyramid=single,False,False,,,,ok,24.3603,0.76565,0.90306,,22.55858747837907,observed,,{},,80,60,False,,0.0013175010681152344,0.3364439010620117,0.3406260013580322,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,5,0.25,1.066667,False,,10,0.0,0.016447,1.0,False,0,0,,,8.3721,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,on,off,off,single,residual,duplicate,off,target,off,off,duplicate,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=on|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,24.4429,0.77214,0.90588,,22.594580068426616,observed,,{},,80,60,False,,0.0010182857513427734,0.3175504207611084,0.3214898109436035,1,,,,,,,,,,,,,none,0.0001,32,0,,0,True,0,0.25,0.0,False,,10,0.0,0.13735,1.0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,on,off,off,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=on|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,24.2732,0.76266,0.90173,,22.531383401256498,observed,,{},,80,60,False,,0.0011336803436279297,0.33143138885498047,0.3366212844848633,1,,,,,,,,,,,,,none,0.0001,32,0,,0,True,0,0.25,0.0,False,,10,0.0,0.016449,1.0,False,0,0,,,8.3721,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,on,warmup5,off,single,residual,duplicate,off,target,off,off,duplicate,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=on|row_temper=warmup5|support_fade=off|pyramid=single,False,False,,,,ok,24.4173,0.77142,0.90571,,22.587066084651624,observed,,{},,80,60,False,,0.001425027847290039,0.3271610736846924,0.3317277431488037,1,,,,,,,,,,,,,none,0.0001,32,0,,0,True,5,0.25,1.066667,False,,10,0.0,0.137348,1.0,False,0,0,,,7.4419,,
kodim01,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,on,warmup5,off,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=on|row_temper=warmup5|support_fade=off|pyramid=single,False,False,,,,ok,24.2603,0.76184,0.90089,,22.52748093362582,observed,,{},,80,60,False,,0.0011279582977294922,0.3329908847808838,0.3376023769378662,1,,,,,,,,,,,,,none,0.0001,32,0,,0,True,5,0.25,1.066667,False,,10,0.0,0.016447,1.0,False,0,0,,,8.3721,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,residual,duplicate,off,target,off,off,duplicate,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.6426,0.75941,0.88377,,21.088319762278413,observed,,{},,80,60,False,,0.001155853271484375,0.3111295700073242,0.31548428535461426,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,0.212076,1.0,False,0,0,,,7.4419,,
kodim07,80,0,64,80,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,residual,moment_preserving,off,target,off,off,moment_preserving,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=residual|refine_primitive=moment_preserving|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.3584,0.75071,0.87444,,21.00108471563307,observed,,{},,80,60,False,,0.0010645389556884766,0.3022472858428955,0.3060469627380371,1,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,-0.019196,2.0,False,0,0,,,8.3721,,
