image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,loss_weight,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,edge_mae,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,loss_weighting,loss_weight_beta,loss_weight_mean,loss_weight_max,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp
kodim01,2000,0,1750,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.9061,0.66127,0.864,,0.061961,23.215410439311224,observed,,{},,2000,1500,False,,0.3107883930206299,5.409334897994995,6.325983047485352,1,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,-2.591589,150.0,False,0,0,,,1.3021,,
kodim01,2000,0,1750,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,tensor,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=tensor|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.9515,0.66077,0.86268,,0.06084,23.14241926219958,observed,,{},,2000,1500,False,,0.2310163974761963,4.672640085220337,4.920677185058594,1,,,,,,,,,,,,,none,0.0001,32,0,,tensor,1.0,1.0922597646713257,2.0,0,False,0,0.25,0.0,False,,10,0.0,-2.495857,150.0,False,0,0,,,1.3021,,
kodim01,2000,0,1750,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,22.9882,0.66084,0.86451,,0.060741,23.228866233596648,observed,,{},,2000,1500,False,,0.6397604942321777,4.538084268569946,5.181684494018555,1,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,-2.711163,150.0,False,0,0,,,1.3021,,
kodim01,2000,0,1750,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,tensor,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=tensor|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.0237,0.66094,0.86605,,0.061341,23.13248375783848,observed,,{},,2000,1500,False,,0.6145415306091309,4.193432569503784,4.81255030632019,1,,,,,,,,,,,,,none,0.0001,32,0,,tensor,1.0,1.0922597646713257,2.0,0,False,0,0.25,0.0,False,,10,0.0,-3.320021,150.0,False,0,0,,,1.3021,,
kodim01,5000,0,4750,5000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.6895,0.76658,0.93005,,0.045993,25.412414024638046,observed,,{},,5000,1500,False,,0.8780689239501953,4.923987150192261,5.8057639598846436,1,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,-2.105886,150.0,False,0,0,,,3.2552,,
kodim01,5000,0,4750,5000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,tensor,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=tensor|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.7348,0.76578,0.93034,,0.045797,25.500279327326414,observed,,{},,5000,1500,False,,0.8641688823699951,4.719895601272583,5.589042663574219,1,,,,,,,,,,,,,none,0.0001,32,0,,tensor,1.0,1.0922597646713257,2.0,0,False,0,0.25,0.0,False,,10,0.0,-2.193226,150.0,False,0,0,,,3.2552,,
kodim01,5000,0,4750,5000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.7242,0.76761,0.92954,,0.046033,25.44744300015216,observed,,{},,5000,1500,False,,1.5190110206604004,4.530972719192505,6.053625822067261,1,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,-2.420282,150.0,False,0,0,,,3.2552,,
kodim01,5000,0,4750,5000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,tensor,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=tensor|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.7273,0.76798,0.93062,,0.045843,25.412202895522675,observed,,{},,5000,1500,False,,1.4683213233947754,4.615745782852173,6.088273763656616,1,,,,,,,,,,,,,none,0.0001,32,0,,tensor,1.0,1.0922597646713257,2.0,0,False,0,0.25,0.0,False,,10,0.0,-2.536577,150.0,False,0,0,,,3.2552,,
kodim07,2000,0,1750,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.673,0.87854,0.94606,,0.037059,27.508059477472084,observed,,{},,2000,1500,False,,0.279404878616333,4.721347093582153,5.006345510482788,1,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,-6.767015,150.0,False,0,0,,,1.3021,,
kodim07,2000,0,1750,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,tensor,adam,none,off,off,off,single,residual_tensor,sampled_add,off,target,off,off,residual_tensor_add,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=tensor|optimizer=adam|lr_schedule=none|refine_site=residual_tensor|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,27.1203,0.88214,0.9515,,0.037045,27.760488091507618,observed,,{},,2000,1500,False,,0.2757596969604492,4.94469952583313,5.224445819854736,1,,,,,,,,,,,,,none,0.0001,32,0,,tensor,1.0,1.0394883155822754,2.0,0,False,0,0.25,0.0,False,,10,0.0,-6.305624,150.0,False,0,0,,,1.3021,,
