comparison,image,budget,seed,renderer,pyramid,delta_psnr,delta_ms_ssim,delta_auc_psnr,delta_edge_mae,delta_fit_seconds
pyramid_vs_single,kodim01,512,0,cuda,pyramid,-0.0008000000000016882,0.0038799999999999946,-0.31087786930246963,0.001118000000000001,-0.49968934059143066
pyramid_vs_single,kodim01,512,0,cuda_additive,pyramid,-0.19550000000000267,-0.00486999999999993,-1.777523641598254,0.0029930000000000095,-0.01102900505065918
pyramid_vs_single,kodim07,512,0,cuda,pyramid,0.3429000000000002,0.003909999999999969,-0.7403423218500045,0.0037439999999999973,0.012804508209228516
pyramid_vs_single,kodim07,512,0,cuda_additive,pyramid,-0.6904000000000003,-0.018589999999999995,-1.9433542821640337,0.005970000000000003,0.004896879196166992
pyramid_vs_single,kodim13,512,0,cuda,pyramid,-0.12120000000000175,0.0,-0.2733306478438209,0.0017550000000000066,0.0176851749420166
pyramid_vs_single,kodim13,512,0,cuda_additive,pyramid,-0.30799999999999983,-0.0043400000000000105,-1.6690224742232118,0.006208999999999992,-0.0026407241821289062
pyramid_vs_single,kodim19,512,0,cuda,pyramid,-0.21250000000000213,-0.0011899999999999133,-0.6022142611051855,0.003700000000000002,0.004347324371337891
pyramid_vs_single,kodim19,512,0,cuda_additive,pyramid,-0.3033000000000001,-0.006850000000000023,-2.0228260680846404,0.004593999999999994,0.1091456413269043
additive_vs_normalized,kodim01,512,0,cuda_additive,single,-0.5322999999999993,-0.020120000000000027,-3.353994634814729,0.0055689999999999976,-0.5183992385864258
additive_vs_normalized,kodim01,512,0,cuda_additive,pyramid,-0.7270000000000003,-0.02886999999999995,-4.820640407110513,0.007444000000000006,-0.029738903045654297
additive_vs_normalized,kodim07,512,0,cuda_additive,single,0.27139999999999986,-0.0007699999999999374,-3.272214956450881,0.0057819999999999955,0.0015811920166015625
additive_vs_normalized,kodim07,512,0,cuda_additive,pyramid,-0.7619000000000007,-0.023269999999999902,-4.47522691676491,0.008008000000000001,-0.006326436996459961
additive_vs_normalized,kodim13,512,0,cuda_additive,single,-0.08330000000000126,-0.011099999999999999,-2.7852631929823026,0.0009820000000000106,0.0015153884887695312
additive_vs_normalized,kodim13,512,0,cuda_additive,pyramid,-0.27009999999999934,-0.01544000000000001,-4.180955019361694,0.005435999999999996,-0.018810510635375977
additive_vs_normalized,kodim19,512,0,cuda_additive,single,-0.5803000000000011,-0.011069999999999913,-3.6172486737855998,0.005835,0.0010480880737304688
additive_vs_normalized,kodim19,512,0,cuda_additive,pyramid,-0.6710999999999991,-0.016730000000000023,-5.037860480765055,0.006728999999999992,0.10584640502929688
