image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,background,opacity,renderer,aa,color_basis,color_solve,loss,loss_weight,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,edge_mae,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,background_fraction,background_grid,background_count,detail_count,background_actual_fraction,large_support_count,large_support_fraction,large_support_detail_count,large_support_detail_fraction,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,loss_weighting,loss_weight_beta,loss_weight_mean,loss_weight_max,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp,level_iters,level_budgets
kodim01,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.7907,0.65179,0.88513,,0.061713,22.781182621355942,observed,,{},,512,0.0,0,0,512,0.0,41,0.080078,41,0.080078,400,False,,0.19824767112731934,1.0953433513641357,1.8015267848968506,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3333,,,,
kodim01,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,23.7899,0.65257,0.88901,,0.062831,22.470304752053472,observed,,{},,512,0.0,0,0,512,0.0,75,0.146484,75,0.146484,400,False,,0.18543720245361328,0.5956540107727051,0.7810912132263184,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3333,,,"[40, 360]","[179, 333]"
kodim01,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda_additive,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda_additive|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.2584,0.5844,0.86501,,0.067282,19.427187986541213,observed,,{},,512,0.0,0,0,512,0.0,4,0.007812,4,0.007812,400,False,,0.1816728115081787,0.57694411277771,0.7608819007873535,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3333,,,,
kodim01,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda_additive,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda_additive|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,23.0629,0.57631,0.86014,,0.070275,17.64966434494296,observed,,{},,512,0.0,0,0,512,0.0,8,0.015625,8,0.015625,400,False,,0.18540453910827637,0.5659151077270508,0.7513196468353271,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3333,,,"[40, 360]","[179, 333]"
kodim07,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,24.3549,0.7874,0.91955,,0.059615,23.803968902817346,observed,,{},,512,0.0,0,0,512,0.0,23,0.044922,23,0.044922,400,False,,0.17165470123291016,0.5692806243896484,0.7429094314575195,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3333,,,,
kodim07,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,24.6978,0.76987,0.92346,,0.063359,23.06362658096734,observed,,{},,512,0.0,0,0,512,0.0,49,0.095703,49,0.095703,400,False,,0.1887063980102539,0.582085132598877,0.7707915306091309,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3333,,,"[40, 360]","[179, 333]"
kodim07,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda_additive,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda_additive|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,24.6263,0.75462,0.91878,,0.065397,20.531753946366464,observed,,{},,512,0.0,0,0,512,0.0,21,0.041016,21,0.041016,400,False,,0.1732790470123291,0.57086181640625,0.745793342590332,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3333,,,,
kodim07,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda_additive,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda_additive|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,23.9359,0.72179,0.90019,,0.071367,18.58839966420243,observed,,{},,512,0.0,0,0,512,0.0,28,0.054688,28,0.054688,400,False,,0.1918487548828125,0.575758695602417,0.7676074504852295,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3333,,,"[40, 360]","[179, 333]"
kodim13,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,21.2462,0.52478,0.84737,,0.086516,20.596893614097347,observed,,{},,512,0.0,0,0,512,0.0,51,0.099609,51,0.099609,400,False,,0.14990019798278809,0.5666990280151367,0.7186789512634277,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3333,,,,
kodim13,512,0,512,512,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,off,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|background=off|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,21.125,0.51115,0.84737,,0.088271,20.323562966253526,observed,,{},,512,0.0,0,0,512,0.0,134,0.261719,134,0.261719,400,False,,0.16321539878845215,0.5843842029571533,0.7475996017456055,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3333,,,"[40, 360]","[179, 333]"
