scope,value,pairs,d_psnr_mean,d_psnr_median,d_psnr_min,d_psnr_max,psnr_wins,d_ms_ssim_mean,d_ms_ssim_median,d_ms_ssim_min,d_ms_ssim_max,ms_ssim_wins,d_edge_mae_mean,d_edge_mae_median,d_edge_mae_min,d_edge_mae_max,edge_mae_wins,d_auc_psnr_mean,d_auc_psnr_median,d_auc_psnr_min,d_auc_psnr_max,auc_psnr_wins,d_fit_seconds_mean,d_fit_seconds_median,d_fit_seconds_min,d_fit_seconds_max,fit_seconds_wins,d_total_seconds_mean,d_total_seconds_median,d_total_seconds_min,d_total_seconds_max,total_seconds_wins,d_iterations_run_mean,d_iterations_run_median,d_iterations_run_min,d_iterations_run_max,iterations_run_wins
arm,pyramid_frac10_cosine,16,0.44410625000000037,0.11275000000000185,-0.6252999999999993,3.2255000000000003,11,0.005954374999999982,0.00398999999999995,-0.0036,0.01946,14,0.003395624999999944,0.00346499999999995,0.000387,0.008865,0,-3.065727744959767,-2.919189634125896,-5.489749229614386,-1.359628298188781,0,0.14567728340625763,0.23302161693572992,-0.877730131149292,0.8390989303588867,10,0.07338513433933264,0.2154767513275146,-0.9535906314849854,0.7444436550140381,9,0.0,0.0,0,0,0
arm,pyramid_fullfield_iters,16,0.07939375000000037,0.01745000000000015,-0.6117000000000026,1.3793999999999969,8,0.0035368749999999754,0.006095,-0.01756,0.01229,13,0.0010806874999999623,0.0007769999999999999,-0.001905,0.0040369999999999,3,-1.5716312872088853,-1.2570112252930112,-3.2371155388185464,-0.6289698728318633,0,5.231225058436394,5.433599114418028,4.058829069137573,6.115257501602173,16,5.1772879511117935,5.385419368743897,3.5672709941864014,5.893885850906372,16,1500.0,1500.0,1500,1500,16
arm,pyramid_split_1500,16,1.0000437500000003,0.6810500000000008,0.1245000000000011,4.370900000000002,16,0.013989999999999956,0.013129999999999899,0.00381,0.03269,16,-0.0005616874999999875,-0.00035649999999995,-0.0053249999999999,0.001541,11,-1.3539900482694966,-1.163952500125104,-2.9530910010970857,-0.6971439612237802,0,0.24986660480499268,0.1936711072921753,-0.2500202655792236,0.9711308479309082,12,0.18997283279895788,0.17791032791137645,-0.7009561061859131,0.8860883712768555,12,0.0,0.0,0,0,0
arm,refine_twin,16,-0.4536874999999996,-0.3025000000000002,-2.000399999999999,0.6625999999999976,6,-0.02392374999999998,-0.02202499999999995,-0.07181,0.00187,2,0.0030382499999999815,0.0020589999999999498,-0.001727,0.015876,7,-1.9926362650803198,-1.8679264312270796,-3.735931126732602,-0.9999371300227152,0,-0.006342604756355244,0.0111831426620487,-0.6666686534881592,0.6076011657714844,9,-0.5621371269226073,-0.5577584505081177,-1.4388644695281982,0.0920362472534179,2,0.0,0.0,0,0,0
pyramid_frac10_cosine/budget,2000,8,0.8255625000000002,0.15545000000000003,-0.6252999999999993,3.2255000000000003,6,0.008012499999999975,0.007509999999999999,-0.0036,0.01946,6,0.00314924999999995,0.00296199999999995,0.000387,0.008865,0,-2.68167195795694,-2.919189634125896,-3.768776543701861,-1.359628298188781,0,0.08101877570152284,0.0923842191696167,-0.4264006614685058,0.557469367980957,4,0.025113880634307986,0.1066539287567139,-0.9535906314849854,0.5734035968780518,4,0.0,0.0,0,0,0
pyramid_frac10_cosine/budget,5000,8,0.06265000000000054,0.1076500000000013,-0.244299999999999,0.6032000000000011,5,0.0038962499999999874,0.00398999999999995,0.00055,0.00745,8,0.003641999999999938,0.0036544999999999,0.0027989999999999,0.004318,0,-3.449783531962594,-3.144882438817449,-5.489749229614386,-2.051046233403042,0,0.21033579111099243,0.303989291191101,-0.877730131149292,0.8390989303588867,6,0.1216563880443573,0.2231109142303466,-0.93375825881958,0.7444436550140381,5,0.0,0.0,0,0,0
pyramid_fullfield_iters/budget,2000,8,-0.13557499999999933,-0.14064999999999728,-0.6117000000000026,0.3721999999999994,4,0.00043124999999998785,0.00326499999999995,-0.01756,0.00948,5,0.0018143749999999373,0.0015684999999999501,0.0005549999999999,0.0040369999999999,0,-1.5247850119968742,-1.696606549215394,-2.271031804345295,-0.6289698728318633,0,4.953402400016785,5.09958827495575,4.058829069137573,5.46469044685364,8,4.904531121253967,5.08684253692627,3.5672709941864014,5.540417671203613,8,1500.0,1500.0,1500,1500,8
pyramid_fullfield_iters/budget,5000,8,0.2943625000000001,0.01745000000000015,-0.0855000000000032,1.3793999999999969,4,0.006642499999999963,0.007095,0.0015699999999999,0.01229,8,0.00034699999999998756,0.00045899999999995,-0.001905,0.002569,3,-1.6184775624208965,-1.0854640831791773,-3.2371155388185464,-0.88370330336625,0,5.509047716856003,5.542867064476012,4.88421630859375,6.115257501602173,8,5.45004478096962,5.542880415916443,4.805514574050903,5.893885850906372,8,1500.0,1500.0,1500,1500,8
pyramid_split_1500/budget,2000,8,1.1811500000000006,0.3900500000000004,0.1817000000000028,4.370900000000002,8,0.017027499999999973,0.01623999999999995,0.00883,0.03269,8,-0.0010949999999999877,-0.0005784999999999001,-0.0053249999999999,0.0011429999999999,6,-1.0815801509147165,-1.0431281278099984,-1.6733684138984444,-0.6971439612237802,0,0.13381314277648926,0.08747673034667966,-0.1465513706207275,0.5542829036712646,5,0.06687986850738534,0.10548698902130119,-0.7009561061859131,0.5449087619781494,6,0.0,0.0,0,0,0
pyramid_split_1500/budget,5000,8,0.8189375000000001,0.8421000000000003,0.1245000000000011,1.3736999999999997,8,0.010952499999999938,0.0112749999999999,0.00381,0.0173,8,-2.8374999999987422e-05,-0.0002584999999999996,-0.001028,0.001541,5,-1.6263999456242768,-1.2688832114425157,-2.9530910010970857,-0.9607624578189656,0,0.3659200668334961,0.4559839963912964,-0.2500202655792236,0.9711308479309082,7,0.3130657970905304,0.36032640933990523,-0.2637715339660644,0.8860883712768555,6,0.0,0.0,0,0,0
