image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,loss_weight,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,edge_mae,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,loss_weighting,loss_weight_beta,loss_weight_mean,loss_weight_max,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp,level_iters,level_budgets
kodim01,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,24.0346,0.67515,0.8882,,0.060678,23.261070855225302,observed,,{},,2000,1500,False,,1.023374319076538,5.772429943084717,6.795804262161255,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3021,,,"[300, 1200]","[700, 1300]"
kodim01,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,23.2227,0.66586,0.87496,,0.061953,22.98983415561648,observed,,{},,2000,1500,False,,0.6822552680969238,5.118197679519653,5.800452947616577,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3021,,,"[300, 1200]","[700, 1300]"
kodim01,5000,0,5000,5000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,26.2558,0.78461,0.94395,,0.045677,25.22578425785953,observed,,{},,5000,1500,False,,0.7566452026367188,4.9060750007629395,5.662720203399658,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,3.2552,,,"[300, 1200]","[1750, 3250]"
kodim01,5000,0,5000,5000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,26.1206,0.78142,0.94112,,0.045804,25.173765931310776,observed,,{},,5000,1500,False,,1.5067918300628662,4.994970083236694,6.5017619132995605,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,3.2552,,,"[300, 1200]","[1750, 3250]"
kodim07,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,27.8274,0.89014,0.95931,,0.036546,27.73752369667547,observed,,{},,2000,1500,False,,0.30383968353271484,5.416913747787476,5.72075343132019,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3021,,,"[300, 1200]","[700, 1300]"
kodim07,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,28.0822,0.89279,0.96225,,0.034876,27.724703400034837,observed,,{},,2000,1500,False,,0.7892169952392578,5.260390281677246,6.049607276916504,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3021,,,"[300, 1200]","[700, 1300]"
kodim07,5000,0,5000,5000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,34.8299,0.9544,0.99115,,0.018499,32.56920967712809,observed,,{},,5000,1500,False,,0.8202080726623535,5.753923177719116,6.57413125038147,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,3.2552,,,"[300, 1200]","[1750, 3250]"
kodim07,5000,0,5000,5000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,35.0058,0.95405,0.99107,,0.018136,32.52027761180692,observed,,{},,5000,1500,False,,1.622781753540039,5.698851823806763,7.321633577346802,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,3.2552,,,"[300, 1200]","[1750, 3250]"
kodim13,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,20.5973,0.51267,0.81872,,0.094756,20.141977005437504,observed,,{},,2000,1500,False,,0.31394481658935547,5.549912691116333,5.8638575077056885,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3021,,,"[300, 1200]","[700, 1300]"
kodim13,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,pyramid,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=pyramid,False,False,,,,ok,20.6491,0.5112,0.81889,,0.094616,20.132406938386172,observed,,{},,2000,1500,False,,0.6005282402038574,5.859390020370483,6.459918260574341,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,,False,,10,,,,False,0,0,,,1.3021,,,"[300, 1200]","[700, 1300]"
