budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_onedge_residual,SS on-edge + residual,22.0,12,11,0.9166666666666666,95.72727272727273,0.5454297932711515
all,structsplat_onedge_residual,SS on-edge + residual,24.0,12,9,0.75,119.33333333333333,0.6025800440046523
all,structsplat_onedge_residual,SS on-edge + residual,26.0,12,8,0.6666666666666666,280.375,1.0744848847389221
all,structsplat_onedge_residual,SS on-edge + residual,28.0,12,6,0.5,401.6666666666667,1.4835507074991863
all,structsplat_onedge_residual,SS on-edge + residual,30.0,12,4,0.3333333333333333,309,1.3290286660194397
all,structsplat_onedge_residual,SS on-edge + residual,32.0,12,3,0.25,465.3333333333333,1.8388596375783284
all,structsplat_onedge_residual,SS on-edge + residual,35.0,12,2,0.16666666666666666,839.5,3.0995066165924072
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,22.0,12,11,0.9166666666666666,121,0.5084105838428844
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,24.0,12,9,0.75,146.55555555555554,0.5776351028018527
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,26.0,12,6,0.5,233.83333333333334,0.773994525273641
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,28.0,12,5,0.4166666666666667,295.4,0.996556282043457
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,30.0,12,4,0.3333333333333333,371,1.2396355867385864
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,32.0,12,3,0.25,570.3333333333334,1.8896268208821614
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,35.0,12,1,0.08333333333333333,375,1.1664655208587646
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,22.0,12,11,0.9166666666666666,93.63636363636364,0.503477009859952
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,24.0,12,9,0.75,116.88888888888889,0.5516972011990018
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,26.0,12,8,0.6666666666666666,279.25,0.9912787973880768
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,28.0,12,5,0.4166666666666667,275.4,1.001012420654297
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,30.0,12,4,0.3333333333333333,318.25,1.3240930438041687
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,32.0,12,3,0.25,427,1.6619128386179607
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,35.0,12,2,0.16666666666666666,812,2.944542646408081
all,structsplat_onedge_tensor,SS on-edge + tensor,22.0,12,11,0.9166666666666666,96.63636363636364,0.5029050436886874
all,structsplat_onedge_tensor,SS on-edge + tensor,24.0,12,9,0.75,125.66666666666667,0.6037607457902696
all,structsplat_onedge_tensor,SS on-edge + tensor,26.0,12,8,0.6666666666666666,276,1.0518632233142853
all,structsplat_onedge_tensor,SS on-edge + tensor,28.0,12,7,0.5833333333333334,509.42857142857144,1.873328413282122
all,structsplat_onedge_tensor,SS on-edge + tensor,30.0,12,4,0.3333333333333333,328.25,1.4050846695899963
all,structsplat_onedge_tensor,SS on-edge + tensor,32.0,12,3,0.25,450.3333333333333,1.7630048592885335
all,structsplat_onedge_tensor,SS on-edge + tensor,35.0,12,2,0.16666666666666666,865,3.1883212327957153
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,22.0,12,11,0.9166666666666666,147.36363636363637,0.5804631926796653
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,24.0,12,9,0.75,147.11111111111111,0.5795827971564399
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,26.0,12,5,0.4166666666666667,90.2,0.41833033561706545
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,28.0,12,5,0.4166666666666667,289.2,0.9484236717224122
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,30.0,12,4,0.3333333333333333,371,1.2518963813781738
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,32.0,12,3,0.25,569,1.8872007528940837
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,35.0,12,1,0.08333333333333333,355,1.161590576171875
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,22.0,12,11,0.9166666666666666,116.0909090909091,0.5837318463758989
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,24.0,12,9,0.75,120.77777777777777,0.5535550117492676
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,26.0,12,8,0.6666666666666666,274.125,1.002513200044632
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,28.0,12,5,0.4166666666666667,278.6,1.0478620529174805
