adjoint_relative_error,artifacts,backend,baseline_allocated_bytes,baseline_reserved_bytes,cache_build_seconds,cache_bytes,cache_nnz,cell_id,cold_render_max_abs,family,forward_calls,iterations_run,lpips,maintained_parity_max_abs,ms_ssim,n_gaussians,peak_allocated_bytes,peak_reserved_bytes,psnr,raw_sse,repeat,seed,selected_iteration,selected_violation,status,total_seconds,transpose_calls,worker_peak_rss_bytes
5.986541509628296e-06,"{""config.json"":""cells/smooth_s0_r0_off/config.json"",""curves.png"":""cells/smooth_s0_r0_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r0_off/error.png"",""field.npz"":""cells/smooth_s0_r0_off/field.npz"",""history.json"":""cells/smooth_s0_r0_off/history.json"",""input_field.npz"":""cells/smooth_s0_r0_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r0_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r0_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r0_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r0_off/target.npy"",""target.png"":""cells/smooth_s0_r0_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r0_off,1.1920928955078125e-07,smooth,99,48,0.08873450756072998,2.384185791015625e-07,0.9241205453872681,144,14045696,33554432,26.231416612540947,117.05757765904866,0,0,47,14.278764718147066,ok,0.3720449039974483,51,1344512000
8.52346420288086e-06,"{""config.json"":""cells/smooth_s0_r0_scatter/config.json"",""curves.png"":""cells/smooth_s0_r0_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r0_scatter/error.png"",""field.npz"":""cells/smooth_s0_r0_scatter/field.npz"",""history.json"":""cells/smooth_s0_r0_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r0_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r0_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r0_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r0_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r0_scatter/target.npy"",""target.png"":""cells/smooth_s0_r0_scatter/target.png""}",scatter,0,33554432,0.0014297970010375138,2625420,131271,smooth_s0_r0_scatter,1.1920928955078125e-07,smooth,99,48,0.08872617781162262,2.384185791015625e-07,0.9241207242012024,144,12248064,33554432,26.231416626798673,117.05757727475297,0,0,47,14.278764718147066,ok,0.1400094979981077,51,1346265088
6.925314664840698e-06,"{""config.json"":""cells/smooth_s0_r0_csr/config.json"",""curves.png"":""cells/smooth_s0_r0_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r0_csr/error.png"",""field.npz"":""cells/smooth_s0_r0_csr/field.npz"",""history.json"":""cells/smooth_s0_r0_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r0_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r0_csr/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r0_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r0_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r0_csr/target.npy"",""target.png"":""cells/smooth_s0_r0_csr/target.png""}",csr,0,33554432,0.002816797001287341,3282744,131271,smooth_s0_r0_csr,1.1920928955078125e-07,smooth,99,48,0.08873174339532852,2.980232238769531e-07,0.9241204857826233,144,18533888,33554432,26.231416609101295,117.05757775175927,0,0,43,14.278764718147066,ok,0.13068043299790588,51,1329340416
1.989305019378662e-06,"{""config.json"":""cells/smooth_s0_r1_off/config.json"",""curves.png"":""cells/smooth_s0_r1_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r1_off/error.png"",""field.npz"":""cells/smooth_s0_r1_off/field.npz"",""history.json"":""cells/smooth_s0_r1_off/history.json"",""input_field.npz"":""cells/smooth_s0_r1_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r1_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r1_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r1_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r1_off/target.npy"",""target.png"":""cells/smooth_s0_r1_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r1_off,1.7881393432617188e-07,smooth,99,48,0.08872175216674805,2.384185791015625e-07,0.9241207838058472,144,14045696,33554432,26.231416598607016,117.05757803461695,1,0,42,14.278764718147066,ok,0.3149297999989358,51,1301864448
7.685273885726929e-06,"{""config.json"":""cells/smooth_s0_r1_csr/config.json"",""curves.png"":""cells/smooth_s0_r1_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r1_csr/error.png"",""field.npz"":""cells/smooth_s0_r1_csr/field.npz"",""history.json"":""cells/smooth_s0_r1_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r1_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r1_csr/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r1_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r1_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r1_csr/target.npy"",""target.png"":""cells/smooth_s0_r1_csr/target.png""}",csr,0,33554432,0.002770284998405259,3282744,131271,smooth_s0_r1_csr,1.7881393432617188e-07,smooth,99,48,0.08872272074222565,2.384185791015625e-07,0.9241206645965576,144,18533888,33554432,26.231416597322095,117.05757806925003,1,0,42,14.278764718147066,ok,0.14155210799799534,51,1328308224
2.7157366275787354e-06,"{""config.json"":""cells/smooth_s0_r1_scatter/config.json"",""curves.png"":""cells/smooth_s0_r1_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r1_scatter/error.png"",""field.npz"":""cells/smooth_s0_r1_scatter/field.npz"",""history.json"":""cells/smooth_s0_r1_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r1_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r1_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r1_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r1_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r1_scatter/target.npy"",""target.png"":""cells/smooth_s0_r1_scatter/target.png""}",scatter,0,33554432,0.001788138997653732,2625420,131271,smooth_s0_r1_scatter,1.7881393432617188e-07,smooth,99,48,0.08873090147972107,2.384185791015625e-07,0.9241206049919128,144,12248064,33554432,26.231416577501303,117.05757860348984,1,0,48,14.278764718147066,ok,0.22113534000163781,51,1319702528
4.373490810394287e-06,"{""config.json"":""cells/smooth_s0_r2_scatter/config.json"",""curves.png"":""cells/smooth_s0_r2_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r2_scatter/error.png"",""field.npz"":""cells/smooth_s0_r2_scatter/field.npz"",""history.json"":""cells/smooth_s0_r2_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r2_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r2_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r2_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r2_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r2_scatter/target.npy"",""target.png"":""cells/smooth_s0_r2_scatter/target.png""}",scatter,0,33554432,0.0018645210002432577,2625420,131271,smooth_s0_r2_scatter,1.1920928955078125e-07,smooth,99,48,0.08872561901807785,2.384185791015625e-07,0.9241206049919128,144,12248064,33554432,26.231416599296917,117.05757801602161,2,0,44,14.278764718147066,ok,0.1720498590002535,51,1331482624
1.6652047634124756e-06,"{""config.json"":""cells/smooth_s0_r2_off/config.json"",""curves.png"":""cells/smooth_s0_r2_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r2_off/error.png"",""field.npz"":""cells/smooth_s0_r2_off/field.npz"",""history.json"":""cells/smooth_s0_r2_off/history.json"",""input_field.npz"":""cells/smooth_s0_r2_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r2_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r2_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r2_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r2_off/target.npy"",""target.png"":""cells/smooth_s0_r2_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r2_off,1.1920928955078125e-07,smooth,99,48,0.08873289823532104,2.384185791015625e-07,0.9241206645965576,144,14045696,33554432,26.23141661854322,117.05757749726641,2,0,46,14.278764718147066,ok,0.42481085299732513,51,1306255360
6.243586540222168e-06,"{""config.json"":""cells/smooth_s0_r2_csr/config.json"",""curves.png"":""cells/smooth_s0_r2_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r2_csr/error.png"",""field.npz"":""cells/smooth_s0_r2_csr/field.npz"",""history.json"":""cells/smooth_s0_r2_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r2_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r2_csr/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r2_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r2_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r2_csr/target.npy"",""target.png"":""cells/smooth_s0_r2_csr/target.png""}",csr,0,33554432,0.003429583000979619,3282744,131271,smooth_s0_r2_csr,1.7881393432617188e-07,smooth,99,48,0.08872675895690918,2.384185791015625e-07,0.9241206645965576,144,18533888,33554432,26.23141659430268,117.05757815063384,2,0,43,14.278764718147066,ok,0.2284208969977044,51,1329909760
8.109956979751587e-06,"{""config.json"":""cells/smooth_s0_r3_scatter/config.json"",""curves.png"":""cells/smooth_s0_r3_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r3_scatter/error.png"",""field.npz"":""cells/smooth_s0_r3_scatter/field.npz"",""history.json"":""cells/smooth_s0_r3_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r3_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r3_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r3_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r3_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r3_scatter/target.npy"",""target.png"":""cells/smooth_s0_r3_scatter/target.png""}",scatter,0,33554432,0.002194569999119267,2625420,131271,smooth_s0_r3_scatter,1.1920928955078125e-07,smooth,99,48,0.08872845768928528,2.384185791015625e-07,0.9241205453872681,144,12248064,33554432,26.231416618708664,117.05757749280704,3,0,44,14.278764718147066,ok,0.23818806599956588,51,1304489984
