artifacts,cell_id,cold_render_max_abs,family,forward_evaluations,gradient_evaluations,initial_psnr,iterations_run,lpips,method,ms_ssim,n_gaussians,peak_allocated_bytes,psnr,raw_mse,rejected_updates,seed,selected_iteration,smoke,status,total_seconds,worker_peak_rss_bytes
"{""config.json"":""cells/translated_s0_adam_0p3/config.json"",""curves.png"":""cells/translated_s0_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s0_adam_0p3/error.png"",""field.npz"":""cells/translated_s0_adam_0p3/field.npz"",""history.json"":""cells/translated_s0_adam_0p3/history.json"",""input_field.npz"":""cells/translated_s0_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/translated_s0_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/translated_s0_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/translated_s0_adam_0p3/reconstruction.png"",""target.npy"":""cells/translated_s0_adam_0p3/target.npy"",""target.png"":""cells/translated_s0_adam_0p3/target.png""}",translated_s0_adam_0p3,1.4901161193847656e-08,translated,161,160,26.924291324862793,160,0.0007643480785191059,adam_0p3,0.9984230995178223,16,8945152,47.55268615116245,1.7568366582773016e-05,0,0,160,false,ok,0.6667491650005104,2006446080
"{""config.json"":""cells/translated_s0_adam_1/config.json"",""curves.png"":""cells/translated_s0_adam_1/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s0_adam_1/error.png"",""field.npz"":""cells/translated_s0_adam_1/field.npz"",""history.json"":""cells/translated_s0_adam_1/history.json"",""input_field.npz"":""cells/translated_s0_adam_1/input_field.npz"",""progress.jsonl"":""cells/translated_s0_adam_1/progress.jsonl"",""reconstruction.npy"":""cells/translated_s0_adam_1/reconstruction.npy"",""reconstruction.png"":""cells/translated_s0_adam_1/reconstruction.png"",""target.npy"":""cells/translated_s0_adam_1/target.npy"",""target.png"":""cells/translated_s0_adam_1/target.png""}",translated_s0_adam_1,1.4901161193847656e-08,translated,161,160,26.924291324862793,160,5.5728406778143835e-08,adam_1,1.0,16,8945152,98.07733203668944,1.5569217880277776e-10,0,0,160,false,ok,0.6392298370010394,2008776704
"{""config.json"":""cells/translated_s0_adam_3/config.json"",""curves.png"":""cells/translated_s0_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s0_adam_3/error.png"",""field.npz"":""cells/translated_s0_adam_3/field.npz"",""history.json"":""cells/translated_s0_adam_3/history.json"",""input_field.npz"":""cells/translated_s0_adam_3/input_field.npz"",""progress.jsonl"":""cells/translated_s0_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/translated_s0_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/translated_s0_adam_3/reconstruction.png"",""target.npy"":""cells/translated_s0_adam_3/target.npy"",""target.png"":""cells/translated_s0_adam_3/target.png""}",translated_s0_adam_3,1.4901161193847656e-08,translated,161,160,26.924291324862793,160,3.185692065699186e-08,adam_3,1.0,16,8945152,101.28803041729923,7.43356183287707e-11,0,0,160,false,ok,0.629816986998776,1998290944
"{""config.json"":""cells/translated_s0_diagonal/config.json"",""curves.png"":""cells/translated_s0_diagonal/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s0_diagonal/error.png"",""field.npz"":""cells/translated_s0_diagonal/field.npz"",""history.json"":""cells/translated_s0_diagonal/history.json"",""input_field.npz"":""cells/translated_s0_diagonal/input_field.npz"",""progress.jsonl"":""cells/translated_s0_diagonal/progress.jsonl"",""reconstruction.npy"":""cells/translated_s0_diagonal/reconstruction.npy"",""reconstruction.png"":""cells/translated_s0_diagonal/reconstruction.png"",""target.npy"":""cells/translated_s0_diagonal/target.npy"",""target.png"":""cells/translated_s0_diagonal/target.png""}",translated_s0_diagonal,1.4901161193847656e-08,translated,511,160,26.924291324862793,160,1.3916923169432494e-09,diagonal,1.0,16,14003712,120.0,1.306317590368529e-16,58,0,160,false,ok,2.0101485090017377,1998270464
"{""config.json"":""cells/translated_s0_block/config.json"",""curves.png"":""cells/translated_s0_block/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s0_block/error.png"",""field.npz"":""cells/translated_s0_block/field.npz"",""history.json"":""cells/translated_s0_block/history.json"",""input_field.npz"":""cells/translated_s0_block/input_field.npz"",""progress.jsonl"":""cells/translated_s0_block/progress.jsonl"",""reconstruction.npy"":""cells/translated_s0_block/reconstruction.npy"",""reconstruction.png"":""cells/translated_s0_block/reconstruction.png"",""target.npy"":""cells/translated_s0_block/target.npy"",""target.png"":""cells/translated_s0_block/target.png""}",translated_s0_block,1.4901161193847656e-08,translated,692,160,26.924291324862793,160,0.0,block,1.0,16,13985280,120.0,1.0182952171181305e-16,102,0,160,false,ok,2.2467518230005226,2008125440
"{""config.json"":""cells/translated_s1_adam_1/config.json"",""curves.png"":""cells/translated_s1_adam_1/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s1_adam_1/error.png"",""field.npz"":""cells/translated_s1_adam_1/field.npz"",""history.json"":""cells/translated_s1_adam_1/history.json"",""input_field.npz"":""cells/translated_s1_adam_1/input_field.npz"",""progress.jsonl"":""cells/translated_s1_adam_1/progress.jsonl"",""reconstruction.npy"":""cells/translated_s1_adam_1/reconstruction.npy"",""reconstruction.png"":""cells/translated_s1_adam_1/reconstruction.png"",""target.npy"":""cells/translated_s1_adam_1/target.npy"",""target.png"":""cells/translated_s1_adam_1/target.png""}",translated_s1_adam_1,1.4901161193847656e-08,translated,161,160,26.09537092777652,160,4.4574804292096815e-08,adam_1,1.0,16,8945152,93.5674129503601,4.398035240682629e-10,0,1,160,false,ok,0.6322239359978994,1996062720
"{""config.json"":""cells/translated_s1_adam_3/config.json"",""curves.png"":""cells/translated_s1_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s1_adam_3/error.png"",""field.npz"":""cells/translated_s1_adam_3/field.npz"",""history.json"":""cells/translated_s1_adam_3/history.json"",""input_field.npz"":""cells/translated_s1_adam_3/input_field.npz"",""progress.jsonl"":""cells/translated_s1_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/translated_s1_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/translated_s1_adam_3/reconstruction.png"",""target.npy"":""cells/translated_s1_adam_3/target.npy"",""target.png"":""cells/translated_s1_adam_3/target.png""}",translated_s1_adam_3,1.4901161193847656e-08,translated,161,160,26.09537092777652,160,3.9567616738622746e-08,adam_3,1.0,16,8945152,99.4532529733081,1.1341609827531526e-10,0,1,160,false,ok,0.648081834999175,1995956224
"{""config.json"":""cells/translated_s1_diagonal/config.json"",""curves.png"":""cells/translated_s1_diagonal/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s1_diagonal/error.png"",""field.npz"":""cells/translated_s1_diagonal/field.npz"",""history.json"":""cells/translated_s1_diagonal/history.json"",""input_field.npz"":""cells/translated_s1_diagonal/input_field.npz"",""progress.jsonl"":""cells/translated_s1_diagonal/progress.jsonl"",""reconstruction.npy"":""cells/translated_s1_diagonal/reconstruction.npy"",""reconstruction.png"":""cells/translated_s1_diagonal/reconstruction.png"",""target.npy"":""cells/translated_s1_diagonal/target.npy"",""target.png"":""cells/translated_s1_diagonal/target.png""}",translated_s1_diagonal,1.4901161193847656e-08,translated,485,160,26.09537092777652,160,0.0,diagonal,1.0,16,14176768,120.0,1.31307555020329e-16,54,1,160,false,ok,1.9831974769986118,2011979776
"{""config.json"":""cells/translated_s1_block/config.json"",""curves.png"":""cells/translated_s1_block/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s1_block/error.png"",""field.npz"":""cells/translated_s1_block/field.npz"",""history.json"":""cells/translated_s1_block/history.json"",""input_field.npz"":""cells/translated_s1_block/input_field.npz"",""progress.jsonl"":""cells/translated_s1_block/progress.jsonl"",""reconstruction.npy"":""cells/translated_s1_block/reconstruction.npy"",""reconstruction.png"":""cells/translated_s1_block/reconstruction.png"",""target.npy"":""cells/translated_s1_block/target.npy"",""target.png"":""cells/translated_s1_block/target.png""}",translated_s1_block,1.4901161193847656e-08,translated,683,160,26.09537092777652,160,0.0,block,1.0,16,13916160,120.0,8.946088951557555e-17,101,1,160,false,ok,2.253128658998321,2010079232
"{""config.json"":""cells/translated_s1_adam_0p3/config.json"",""curves.png"":""cells/translated_s1_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translated_s1_adam_0p3/error.png"",""field.npz"":""cells/translated_s1_adam_0p3/field.npz"",""history.json"":""cells/translated_s1_adam_0p3/history.json"",""input_field.npz"":""cells/translated_s1_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/translated_s1_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/translated_s1_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/translated_s1_adam_0p3/reconstruction.png"",""target.npy"":""cells/translated_s1_adam_0p3/target.npy"",""target.png"":""cells/translated_s1_adam_0p3/target.png""}",translated_s1_adam_0p3,1.4901161193847656e-08,translated,161,160,26.09537092777652,160,0.0022307182662189007,adam_0p3,0.9920910000801086,16,8945152,42.505547703836385,5.6162344560830844e-05,0,1,160,false,ok,0.6370945179987757,1998245888
