artifacts,cell_id,cold_forward_evaluations,cold_render_max_abs,family,fixture_render_evaluations,forward_evaluations,gradient_evaluations,initial_diagnostic_forward_evaluations,initial_psnr,iterations_run,jacobian_constructions,linear_solves,lpips,method,ms_ssim,n_gaussians,peak_allocated_bytes,psnr,psnr_ceiling_applied,psnr_uncapped,raw_mse,rejected_updates,retained_gram_bytes,retained_jacobian_bytes,seed,selected_iteration,smoke,status,stratum,total_seconds,warmup_forward_evaluations,warmup_gradient_evaluations,warmup_jacobian_constructions,warmup_linear_solves,worker_forward_evaluations,worker_peak_rss_bytes
"{""config.json"":""cells/overlap_s0_adam_0p3/config.json"",""curves.png"":""cells/overlap_s0_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_adam_0p3/error.png"",""field.npz"":""cells/overlap_s0_adam_0p3/field.npz"",""history.json"":""cells/overlap_s0_adam_0p3/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_adam_0p3/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_adam_0p3/reconstruction.png"",""target.npy"":""cells/overlap_s0_adam_0p3/target.npy"",""target.png"":""cells/overlap_s0_adam_0p3/target.png""}",overlap_s0_adam_0p3,1,5.960464477539063e-08,overlap,4,161,160,1,19.31374677434451,160,0,0,0.0025078703183680773,adam_0p3,0.9972541332244873,16,8994304,45.47314127256753,false,45.47314127256753,2.835867090337969e-05,0,0,0,0,160,false,ok,exposed,0.2825334879998991,21,14,8,8,188,2046906368
"{""config.json"":""cells/overlap_s0_adam_1/config.json"",""curves.png"":""cells/overlap_s0_adam_1/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_adam_1/error.png"",""field.npz"":""cells/overlap_s0_adam_1/field.npz"",""history.json"":""cells/overlap_s0_adam_1/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_adam_1/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_adam_1/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_adam_1/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_adam_1/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_adam_1/reconstruction.png"",""target.npy"":""cells/overlap_s0_adam_1/target.npy"",""target.png"":""cells/overlap_s0_adam_1/target.png""}",overlap_s0_adam_1,1,5.960464477539063e-08,overlap,4,161,160,1,19.31374677434451,160,0,0,0.00023948661691974849,adam_1,0.999717652797699,16,8994304,55.79616503097508,false,55.79616503097508,2.6325916343982062e-06,0,0,0,0,160,false,ok,exposed,0.27483098000084283,21,14,8,8,188,2047270912
"{""config.json"":""cells/overlap_s0_adam_3/config.json"",""curves.png"":""cells/overlap_s0_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_adam_3/error.png"",""field.npz"":""cells/overlap_s0_adam_3/field.npz"",""history.json"":""cells/overlap_s0_adam_3/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_adam_3/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_adam_3/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_adam_3/reconstruction.png"",""target.npy"":""cells/overlap_s0_adam_3/target.npy"",""target.png"":""cells/overlap_s0_adam_3/target.png""}",overlap_s0_adam_3,1,5.960464477539063e-08,overlap,4,161,160,1,19.31374677434451,160,0,0,1.5248993804561906e-05,adam_3,0.9999828338623047,16,8994304,67.55131854955252,false,67.55131854955252,1.7573899766089986e-07,0,0,0,0,160,false,ok,exposed,0.2722167600004468,21,14,8,8,188,2049122304
"{""config.json"":""cells/overlap_s0_block_row/config.json"",""curves.png"":""cells/overlap_s0_block_row/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_block_row/error.png"",""field.npz"":""cells/overlap_s0_block_row/field.npz"",""history.json"":""cells/overlap_s0_block_row/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_block_row/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_block_row/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_block_row/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_block_row/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_block_row/reconstruction.png"",""target.npy"":""cells/overlap_s0_block_row/target.npy"",""target.png"":""cells/overlap_s0_block_row/target.png""}",overlap_s0_block_row,1,5.960464477539063e-08,overlap,4,312,160,1,19.31374677434451,160,160,160,0.00020126751041971147,block_row,0.9997430443763733,16,33890816,54.89320153227653,false,54.89320153227653,3.2410060876119226e-06,0,65536,6291456,0,160,false,ok,exposed,0.5897480019993964,21,14,8,8,339,2051502080
"{""config.json"":""cells/overlap_s0_block_shared/config.json"",""curves.png"":""cells/overlap_s0_block_shared/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_block_shared/error.png"",""field.npz"":""cells/overlap_s0_block_shared/field.npz"",""history.json"":""cells/overlap_s0_block_shared/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_block_shared/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_block_shared/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_block_shared/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_block_shared/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_block_shared/reconstruction.png"",""target.npy"":""cells/overlap_s0_block_shared/target.npy"",""target.png"":""cells/overlap_s0_block_shared/target.png""}",overlap_s0_block_shared,1,5.960464477539063e-08,overlap,4,312,160,1,19.31374677434451,160,160,160,0.00018375908257439733,block_shared,0.9997411966323853,16,33711616,56.3879843634315,false,56.3879843634315,2.297214578156477e-06,0,65536,6291456,0,160,false,ok,exposed,0.5595693999966898,21,14,8,8,339,2051039232
"{""config.json"":""cells/overlap_s0_full_row/config.json"",""curves.png"":""cells/overlap_s0_full_row/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_full_row/error.png"",""field.npz"":""cells/overlap_s0_full_row/field.npz"",""history.json"":""cells/overlap_s0_full_row/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_full_row/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_full_row/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_full_row/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_full_row/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_full_row/reconstruction.png"",""target.npy"":""cells/overlap_s0_full_row/target.npy"",""target.png"":""cells/overlap_s0_full_row/target.png""}",overlap_s0_full_row,1,5.960464477539063e-08,overlap,4,464,160,1,19.31374677434451,160,160,160,4.202640457862117e-09,full_row,1.0,16,29583872,120.0,true,146.3997900208926,2.290978417696637e-15,53,65536,6291456,0,160,false,ok,exposed,0.6416654690001451,21,14,8,8,491,2062807040
"{""config.json"":""cells/overlap_s0_full_shared/config.json"",""curves.png"":""cells/overlap_s0_full_shared/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s0_full_shared/error.png"",""field.npz"":""cells/overlap_s0_full_shared/field.npz"",""history.json"":""cells/overlap_s0_full_shared/history.json"",""initial_reconstruction.npy"":""cells/overlap_s0_full_shared/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s0_full_shared/input_field.npz"",""progress.jsonl"":""cells/overlap_s0_full_shared/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s0_full_shared/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s0_full_shared/reconstruction.png"",""target.npy"":""cells/overlap_s0_full_shared/target.npy"",""target.png"":""cells/overlap_s0_full_shared/target.png""}",overlap_s0_full_shared,1,5.960464477539063e-08,overlap,4,487,160,1,19.31374677434451,160,160,160,2.454641379046052e-09,full_shared,1.0,16,29639680,120.0,true,148.1522385441712,1.5302984754320153e-15,60,65536,6291456,0,160,false,ok,exposed,0.6497547860017221,21,14,8,8,514,2060988416
"{""config.json"":""cells/overlap_s1_adam_1/config.json"",""curves.png"":""cells/overlap_s1_adam_1/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_adam_1/error.png"",""field.npz"":""cells/overlap_s1_adam_1/field.npz"",""history.json"":""cells/overlap_s1_adam_1/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_adam_1/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_adam_1/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_adam_1/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_adam_1/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_adam_1/reconstruction.png"",""target.npy"":""cells/overlap_s1_adam_1/target.npy"",""target.png"":""cells/overlap_s1_adam_1/target.png""}",overlap_s1_adam_1,1,5.960464477539063e-08,overlap,4,161,160,1,19.75027121966309,160,0,0,0.00039828300941735506,adam_1,0.9995413422584534,16,8994304,53.55461857580244,false,53.55461857580244,4.411011016393638e-06,0,0,0,1,160,false,ok,exposed,0.4054416279977886,21,14,8,8,188,2068004864
"{""config.json"":""cells/overlap_s1_adam_3/config.json"",""curves.png"":""cells/overlap_s1_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_adam_3/error.png"",""field.npz"":""cells/overlap_s1_adam_3/field.npz"",""history.json"":""cells/overlap_s1_adam_3/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_adam_3/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_adam_3/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_adam_3/reconstruction.png"",""target.npy"":""cells/overlap_s1_adam_3/target.npy"",""target.png"":""cells/overlap_s1_adam_3/target.png""}",overlap_s1_adam_3,1,5.960464477539063e-08,overlap,4,161,160,1,19.75027121966309,160,0,0,2.193389445892535e-05,adam_3,0.9999822378158569,16,8994304,67.49684225071151,false,67.49684225071151,1.7795728647640597e-07,0,0,0,1,160,false,ok,exposed,0.36777085900030215,21,14,8,8,188,2046898176
"{""config.json"":""cells/overlap_s1_block_row/config.json"",""curves.png"":""cells/overlap_s1_block_row/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_block_row/error.png"",""field.npz"":""cells/overlap_s1_block_row/field.npz"",""history.json"":""cells/overlap_s1_block_row/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_block_row/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_block_row/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_block_row/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_block_row/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_block_row/reconstruction.png"",""target.npy"":""cells/overlap_s1_block_row/target.npy"",""target.png"":""cells/overlap_s1_block_row/target.png""}",overlap_s1_block_row,1,5.960464477539063e-08,overlap,4,314,160,1,19.75027121966309,160,160,160,5.9172169130761176e-05,block_row,0.9999340176582336,16,33846784,61.44323421363904,false,61.44323421363904,7.172599451119049e-07,0,65536,6291456,1,160,false,ok,exposed,0.7123048530011147,21,14,8,8,341,2049990656
