final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,floyd_steinberg_tensor,Floyd + tensor,0,15.29334831237793,1.5613064790628362,8
640,floyd_steinberg_tensor,Floyd + tensor,25,20.088810443878174,2.377007486282711,8
640,floyd_steinberg_tensor,Floyd + tensor,50,21.246353149414062,2.5051071404815715,8
640,floyd_steinberg_tensor,Floyd + tensor,75,21.82762050628662,2.6040862194873653,8
640,floyd_steinberg_tensor,Floyd + tensor,100,22.261894464492798,2.619165454727699,8
640,floyd_steinberg_tensor,Floyd + tensor,125,22.962592601776123,2.6933043315158858,8
640,floyd_steinberg_tensor,Floyd + tensor,150,23.314082622528076,2.7088966286600775,8
640,floyd_steinberg_tensor,Floyd + tensor,175,23.32932686805725,2.6473893268384003,8
640,floyd_steinberg_tensor,Floyd + tensor,200,24.108612060546875,2.769842842062259,8
640,floyd_steinberg_tensor,Floyd + tensor,225,24.453553438186646,2.795564545622997,8
640,floyd_steinberg_tensor,Floyd + tensor,250,23.376378059387207,2.5770903122096533,8
640,floyd_steinberg_tensor,Floyd + tensor,275,24.914376497268677,2.8721443759253216,8
640,floyd_steinberg_tensor,Floyd + tensor,300,25.25524115562439,2.9253114822474355,8
640,floyd_steinberg_tensor,Floyd + tensor,325,25.467509984970093,2.9407954845967694,8
640,floyd_steinberg_tensor,Floyd + tensor,350,25.519254446029663,2.9060467163328263,8
640,floyd_steinberg_tensor,Floyd + tensor,375,25.943110942840576,3.0066823892519334,8
640,floyd_steinberg_tensor,Floyd + tensor,400,26.144351482391357,3.068005619447243,8
640,floyd_steinberg_tensor,Floyd + tensor,425,25.912707328796387,3.055341369366619,8
640,floyd_steinberg_tensor,Floyd + tensor,450,26.51069974899292,3.1419986704009797,8
640,floyd_steinberg_tensor,Floyd + tensor,475,26.71089220046997,3.190101745557052,8
640,floyd_steinberg_tensor,Floyd + tensor,499,26.816178560256958,3.2186732903392468,8
640,gaussianimage_fixed_full,GaussianImage fixed,0,16.921491026878357,1.3030098444168718,8
640,gaussianimage_fixed_full,GaussianImage fixed,25,19.61355710029602,2.262041698028563,8
640,gaussianimage_fixed_full,GaussianImage fixed,50,21.17832088470459,2.8110394389249422,8
640,gaussianimage_fixed_full,GaussianImage fixed,75,22.410730123519897,3.2372908105406086,8
640,gaussianimage_fixed_full,GaussianImage fixed,100,23.28083825111389,3.4525181350244614,8
640,gaussianimage_fixed_full,GaussianImage fixed,125,23.974724769592285,3.401944402037147,8
640,gaussianimage_fixed_full,GaussianImage fixed,150,24.472759246826172,3.3166422931504034,8
640,gaussianimage_fixed_full,GaussianImage fixed,175,24.873809814453125,3.2139282460707435,8
640,gaussianimage_fixed_full,GaussianImage fixed,200,25.116318702697754,3.1718192010054485,8
640,gaussianimage_fixed_full,GaussianImage fixed,225,25.28307557106018,3.1866848141344133,8
640,gaussianimage_fixed_full,GaussianImage fixed,250,25.35021209716797,3.1983080608950663,8
640,gaussianimage_fixed_full,GaussianImage fixed,275,25.515706300735474,3.214556755194147,8
640,gaussianimage_fixed_full,GaussianImage fixed,300,25.504519939422607,3.2936937378915623,8
640,gaussianimage_fixed_full,GaussianImage fixed,325,25.602993726730347,3.2246146335750714,8
640,gaussianimage_fixed_full,GaussianImage fixed,350,25.640427112579346,3.250104229176516,8
640,gaussianimage_fixed_full,GaussianImage fixed,375,25.72665047645569,3.2286352417914097,8
