budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_best_default,SS best default,22.0,8,8,1.0,92.375,0.23704737424850464
all,structsplat_best_default,SS best default,24.0,8,8,1.0,229.125,0.4716671109199524
all,structsplat_best_default,SS best default,26.0,8,4,0.5,199.25,0.5306881666183472
all,structsplat_best_default,SS best default,28.0,8,2,0.25,107.5,0.20040547847747803
all,structsplat_best_default,SS best default,30.0,8,2,0.25,197.5,0.31891727447509766
all,structsplat_best_default,SS best default,32.0,8,2,0.25,323,0.5335519313812256
all,structsplat_best_ssim010,SS best + SSIM 0.10,22.0,8,8,1.0,92.875,0.17251139879226685
all,structsplat_best_ssim010,SS best + SSIM 0.10,24.0,8,8,1.0,232.25,0.3927496373653412
all,structsplat_best_ssim010,SS best + SSIM 0.10,26.0,8,4,0.5,200.5,0.3438151478767395
all,structsplat_best_ssim010,SS best + SSIM 0.10,28.0,8,2,0.25,108,0.19743573665618896
all,structsplat_best_ssim010,SS best + SSIM 0.10,30.0,8,2,0.25,202,0.33379948139190674
all,structsplat_best_ssim010,SS best + SSIM 0.10,32.0,8,2,0.25,344,0.5683040618896484
all,structsplat_best_l1_only,SS best + L1 only,22.0,8,8,1.0,114.5,0.14475175738334656
all,structsplat_best_l1_only,SS best + L1 only,24.0,8,6,0.75,196.83333333333334,0.23576168219248453
all,structsplat_best_l1_only,SS best + L1 only,26.0,8,4,0.5,237.25,0.28896552324295044
all,structsplat_best_l1_only,SS best + L1 only,28.0,8,2,0.25,126.5,0.155836820602417
all,structsplat_best_l1_only,SS best + L1 only,30.0,8,2,0.25,246,0.29150354862213135
all,structsplat_best_l1_only,SS best + L1 only,32.0,8,2,0.25,399,0.4791673421859741
all,structsplat_best_charbonnier,SS best + Charbonnier,22.0,8,8,1.0,92,0.17706838250160217
all,structsplat_best_charbonnier,SS best + Charbonnier,24.0,8,8,1.0,230.875,0.39807406067848206
