ordinal,stage,event,global_iter,n_gaussians,loss,elapsed_seconds,foreground_psnr_raw_db,foreground_psnr_clamped_db,foreground_mae_clamped,boundary_psnr_raw_db,boundary_mae_clamped,matted_crop_psnr_raw_db,outside_mask_max_abs,outside_mask_mean_abs,outside_mask_exact_zero,render_out_of_range_fraction,finite,reconstruction,absolute_error_x4,native
0,initialization,5000_with_boundary,0,5000,,0.066840048879385,20.138717922972134,20.138717922972134,0.037831444293260574,7.35491405469717,0.35375508666038513,25.22122067971146,0.0,0.0,True,0.0,True,images/intermediates/000_iter_000000_initialization_5000_with_boundary_reconstruction.jpg,images/intermediates/000_iter_000000_initialization_5000_with_boundary_absolute_error_x4.jpg,
1,color_solve,fixed_geometry_least_squares,0,5000,,51.565822248347104,20.44978573145249,20.449791563306697,0.03345230966806412,7.444719648440305,0.34424543380737305,25.53228893108212,0.0,0.0,True,2.2711326437274693e-06,True,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_reconstruction.jpg,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_absolute_error_x4.jpg,
2,bootstrap,global_fit,375,5000,,58.47979698050767,21.193973871515578,21.19397493642306,0.02915538288652897,7.568653778061611,0.34053683280944824,26.27647707089232,0.0,0.0,True,4.6587337010350893e-07,True,images/intermediates/002_iter_000375_bootstrap_global_fit_reconstruction.jpg,images/intermediates/002_iter_000375_bootstrap_global_fit_absolute_error_x4.jpg,
3,coverage_growth,coverage_birth,1391,5512,,76.87675527483225,21.911298246941993,21.91131551914857,0.027062086388468742,8.177997038237312,0.2994846999645233,26.993800552455074,0.0,0.0,True,4.309328687668312e-06,True,images/intermediates/003_iter_001391_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/003_iter_001391_coverage_growth_coverage_birth_absolute_error_x4.jpg,
4,coverage_growth,coverage_birth,1939,6024,,89.50404570903629,22.47510676957687,22.47513072705626,0.02547568827867508,8.583369610236423,0.2749612033367157,27.557609426241477,0.0,0.0,True,3.7852212244615657e-06,True,images/intermediates/004_iter_001939_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/004_iter_001939_coverage_growth_coverage_birth_absolute_error_x4.jpg,
5,coverage_growth,coverage_birth,2487,6536,,103.91151759494096,23.051398589855758,23.051426355298666,0.023879239335656166,8.869017163073833,0.2566591799259186,28.133900991122374,0.0,0.0,True,4.076392087881686e-06,True,images/intermediates/005_iter_002487_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/005_iter_002487_coverage_growth_coverage_birth_absolute_error_x4.jpg,
6,coverage_growth,global_fit,2955,6536,,119.75284859165549,23.212491775649408,23.212520166594224,0.023304035887122154,8.940832994240006,0.25406593084335327,28.294995020595415,0.0,0.0,True,5.299309577821987e-06,True,images/intermediates/006_iter_002955_coverage_growth_global_fit_reconstruction.jpg,images/intermediates/006_iter_002955_coverage_growth_global_fit_absolute_error_x4.jpg,
7,coverage_growth,coverage_birth,3035,7048,,121.58002623450011,23.637681335172225,23.63771077698867,0.022144930437207222,9.242939623596001,0.23600609600543976,28.72018419591531,0.0,0.0,True,5.3575436140818056e-06,True,images/intermediates/007_iter_003035_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/007_iter_003035_coverage_growth_coverage_birth_absolute_error_x4.jpg,
8,coverage_growth,coverage_birth,3583,7560,,143.43782681412995,24.414379513402782,24.414429251010258,0.020447803661227226,9.46087885885168,0.223545104265213,29.496882553230943,0.0,0.0,True,8.26925224828301e-06,True,images/intermediates/008_iter_003583_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/008_iter_003583_coverage_growth_coverage_birth_absolute_error_x4.jpg,
9,coverage_growth,global_fit,4051,7560,,168.38103127852082,24.53301721168883,24.533219665245532,0.020114170387387276,9.519838850749505,0.22114615142345428,29.615520167640383,0.0,0.0,True,1.0598619155643973e-05,True,images/intermediates/009_iter_004051_coverage_growth_global_fit_reconstruction.jpg,images/intermediates/009_iter_004051_coverage_growth_global_fit_absolute_error_x4.jpg,
10,coverage_growth,coverage_birth,4131,8000,,170.31344185117632,25.153468009417416,25.15353293719965,0.019058331847190857,9.770667636817228,0.2094324231147766,30.235971197402897,0.0,0.0,True,8.385720320802648e-06,True,images/intermediates/010_iter_004131_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/010_iter_004131_coverage_growth_coverage_birth_absolute_error_x4.jpg,
11,detail_growth,global_fit,4599,8000,,178.62885113526136,25.201109056801275,25.20117570551382,0.018943410366773605,9.808233516326462,0.20798540115356445,30.28361225606558,0.0,0.0,True,8.152784175763372e-06,True,images/intermediates/011_iter_004599_detail_growth_global_fit_reconstruction.jpg,images/intermediates/011_iter_004599_detail_growth_global_fit_absolute_error_x4.jpg,
12,detail_growth,coverage_birth,5159,8256,,191.88285276200622,25.400751768452757,25.40081979912436,0.018629560247063637,9.925905721996116,0.20290564000606537,30.48325443460682,0.0,0.0,True,7.803379048709758e-06,True,images/intermediates/012_iter_005159_detail_growth_coverage_birth_reconstruction.jpg,images/intermediates/012_iter_005159_detail_growth_coverage_birth_absolute_error_x4.jpg,
13,detail_growth,coverage_birth,6187,8512,,213.86714372318238,25.676111345975862,25.676183082511606,0.018248870968818665,10.093524297492596,0.1960982084274292,30.75861461437269,0.0,0.0,True,7.745145012449939e-06,True,images/intermediates/013_iter_006187_detail_growth_coverage_birth_reconstruction.jpg,images/intermediates/013_iter_006187_detail_growth_coverage_birth_absolute_error_x4.jpg,
