ordinal,stage,event,global_iter,n_gaussians,loss,elapsed_seconds,foreground_psnr_raw_db,foreground_psnr_clamped_db,foreground_mae_clamped,boundary_psnr_raw_db,boundary_mae_clamped,matted_crop_psnr_raw_db,outside_mask_max_abs,outside_mask_mean_abs,outside_mask_exact_zero,render_out_of_range_fraction,finite,reconstruction,absolute_error_x4,native
0,initialization,5000_with_boundary,0,5000,,0.07309555262327194,20.138717922972134,20.138717922972134,0.037831444293260574,7.35491405469717,0.35375508666038513,25.22122067971146,0.0,0.0,True,0.0,True,images/intermediates/000_iter_000000_initialization_5000_with_boundary_reconstruction.jpg,images/intermediates/000_iter_000000_initialization_5000_with_boundary_absolute_error_x4.jpg,
1,color_solve,fixed_geometry_least_squares,0,5000,,51.20967661961913,20.449786628660323,20.449792460515734,0.03345229849219322,7.4447203670720885,0.34424537420272827,25.532289653990695,0.0,0.0,True,2.2711326437274693e-06,True,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_reconstruction.jpg,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_absolute_error_x4.jpg,
2,bootstrap,global_fit,437,5000,,58.925723508000374,21.03680252732254,21.036818960271034,0.029954813420772552,7.550263838854359,0.3373628854751587,26.119305360908,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/002_iter_000437_bootstrap_global_fit_reconstruction.jpg,images/intermediates/002_iter_000437_bootstrap_global_fit_absolute_error_x4.jpg,
3,coverage_growth,coverage_birth,1453,5512,,76.04425194207579,21.799449604681122,21.799469192242015,0.02780785597860813,8.138083471927082,0.301714152097702,26.88195285306594,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/003_iter_001453_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/003_iter_001453_coverage_growth_coverage_birth_absolute_error_x4.jpg,
4,coverage_growth,coverage_birth,2001,6024,,86.08270546700805,22.49215926431838,22.492182598087457,0.02594647742807865,8.503868019716032,0.2804027497768402,27.57466226898176,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/004_iter_002001_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/004_iter_002001_coverage_growth_coverage_birth_absolute_error_x4.jpg,
5,coverage_growth,coverage_birth,2549,6536,,96.50881683081388,23.083955559197978,23.08398229940069,0.024348605424165726,8.76588590604199,0.26477062702178955,28.166458976016315,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/005_iter_002549_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/005_iter_002549_coverage_growth_coverage_birth_absolute_error_x4.jpg,
6,coverage_growth,coverage_birth,3097,7048,,107.95086938142776,23.558685337886804,23.55871470791896,0.023014947772026062,9.025861759853209,0.2480606585741043,28.641187914125382,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/006_iter_003097_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/006_iter_003097_coverage_growth_coverage_birth_absolute_error_x4.jpg,
7,coverage_growth,coverage_birth,3645,7560,,120.2778542265296,24.155446462832284,24.15548042227108,0.021585635840892792,9.275076035860595,0.23413200676441193,29.237949240178402,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/007_iter_003645_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/007_iter_003645_coverage_growth_coverage_birth_absolute_error_x4.jpg,
8,coverage_growth,coverage_birth,4193,8000,,133.52361745387316,24.59432732597363,24.594364896629056,0.020558521151542664,9.41930848513029,0.2256365865468979,29.67683029751513,0.0,0.0,True,2.620537770781084e-06,True,images/intermediates/008_iter_004193_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/008_iter_004193_coverage_growth_coverage_birth_absolute_error_x4.jpg,
9,detail_growth,global_fit,4661,8000,,140.60518367402256,24.663571296741562,24.663811298505678,0.020190894603729248,9.470523594550388,0.2218756228685379,29.746074148838563,0.0,0.0,True,7.803379048709758e-06,True,images/intermediates/009_iter_004661_detail_growth_global_fit_reconstruction.jpg,images/intermediates/009_iter_004661_detail_growth_global_fit_absolute_error_x4.jpg,
