ordinal,stage,event,global_iter,n_gaussians,loss,elapsed_seconds,foreground_psnr_raw_db,foreground_psnr_clamped_db,foreground_mae_clamped,boundary_psnr_raw_db,boundary_mae_clamped,matted_crop_psnr_raw_db,outside_mask_max_abs,outside_mask_mean_abs,outside_mask_exact_zero,render_out_of_range_fraction,finite,reconstruction,absolute_error_x4,native
0,initialization,5000_with_boundary,0,5000,,0.06481494195759296,20.138717922972134,20.138717922972134,0.037831444293260574,7.35491405469717,0.35375508666038513,25.22122067971146,0.0,0.0,True,0.0,True,images/intermediates/000_iter_000000_initialization_5000_with_boundary_reconstruction.jpg,images/intermediates/000_iter_000000_initialization_5000_with_boundary_absolute_error_x4.jpg,
1,color_solve,fixed_geometry_least_squares,0,5000,,51.46442875266075,20.449783488433727,20.449788871680706,0.03345233574509621,7.44471497733662,0.34424611926078796,25.532286400903065,0.0,0.0,True,2.2711326437274693e-06,True,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_reconstruction.jpg,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_absolute_error_x4.jpg,
2,bootstrap,global_fit,437,5000,,58.68074221909046,21.04376333497524,21.043780308637775,0.029914360493421555,7.550568313785645,0.33734825253486633,26.12626634597907,0.0,0.0,True,2.5623035071475897e-06,True,images/intermediates/002_iter_000437_bootstrap_global_fit_reconstruction.jpg,images/intermediates/002_iter_000437_bootstrap_global_fit_absolute_error_x4.jpg,
3,coverage_growth,coverage_birth,1453,5512,,75.4375766357407,21.814364146296207,21.814389022100016,0.027698757126927376,8.138124780568546,0.3013116717338562,26.896867534562464,0.0,0.0,True,4.309328687668312e-06,True,images/intermediates/003_iter_001453_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/003_iter_001453_coverage_growth_coverage_birth_absolute_error_x4.jpg,
4,coverage_growth,coverage_birth,2001,6024,,87.33374776970595,22.43535404221796,22.435385222072235,0.02599048987030983,8.508379790202063,0.27914851903915405,27.517856971219217,0.0,0.0,True,4.309328687668312e-06,True,images/intermediates/004_iter_002001_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/004_iter_002001_coverage_growth_coverage_birth_absolute_error_x4.jpg,
5,coverage_growth,coverage_birth,2549,6536,,100.25007933098823,23.073376076793558,23.07341342203856,0.024273892864584923,8.784790308807903,0.262435644865036,28.155879180897912,0.0,0.0,True,4.716967850981746e-06,True,images/intermediates/005_iter_002549_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/005_iter_002549_coverage_growth_coverage_birth_absolute_error_x4.jpg,
6,coverage_growth,coverage_birth,3097,7048,,118.26738277915865,23.569865338267363,23.569910887225916,0.022876260802149773,9.020698809900948,0.24687334895133972,28.65236850401175,0.0,0.0,True,5.998119831929216e-06,True,images/intermediates/006_iter_003097_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/006_iter_003097_coverage_growth_coverage_birth_absolute_error_x4.jpg,
7,coverage_growth,coverage_birth,3645,7560,,138.60226003360003,24.135097042131925,24.135147874275695,0.021494248881936073,9.268407358213228,0.23254963755607605,29.217599726742307,0.0,0.0,True,5.998119831929216e-06,True,images/intermediates/007_iter_003645_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/007_iter_003645_coverage_growth_coverage_birth_absolute_error_x4.jpg,
8,coverage_growth,coverage_birth,4193,8000,,162.31446240097284,24.601315815042298,24.601372116048378,0.020432934165000916,9.42479771062777,0.2236117571592331,29.68381906544479,0.0,0.0,True,6.114587904448854e-06,True,images/intermediates/008_iter_004193_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/008_iter_004193_coverage_growth_coverage_birth_absolute_error_x4.jpg,
9,detail_growth,coverage_birth,5221,8256,,176.57117823511362,24.802914003327757,24.802975424058467,0.01997099071741104,9.530623229331246,0.21808095276355743,29.885416575091952,0.0,0.0,True,6.929866231075721e-06,True,images/intermediates/009_iter_005221_detail_growth_coverage_birth_reconstruction.jpg,images/intermediates/009_iter_005221_detail_growth_coverage_birth_absolute_error_x4.jpg,
