ordinal,stage,event,global_iter,n_gaussians,loss,elapsed_seconds,foreground_psnr_raw_db,foreground_psnr_clamped_db,foreground_mae_clamped,boundary_psnr_raw_db,boundary_mae_clamped,matted_crop_psnr_raw_db,outside_mask_max_abs,outside_mask_mean_abs,outside_mask_exact_zero,render_out_of_range_fraction,finite,reconstruction,absolute_error_x4,native
0,initialization,5000_with_boundary,0,5000,,0.06515247095376253,20.138717922972134,20.138717922972134,0.037831444293260574,7.35491405469717,0.35375508666038513,25.22122067971146,0.0,0.0,True,0.0,True,images/intermediates/000_iter_000000_initialization_5000_with_boundary_reconstruction.jpg,images/intermediates/000_iter_000000_initialization_5000_with_boundary_absolute_error_x4.jpg,
1,color_solve,fixed_geometry_least_squares,0,5000,,51.844941997900605,20.449787974472414,20.449793806329634,0.03345233201980591,7.444723960232784,0.34424492716789246,25.532291099808198,0.0,0.0,True,2.2711326437274693e-06,True,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_reconstruction.jpg,images/intermediates/001_iter_000000_color_solve_fixed_geometry_least_squares_absolute_error_x4.jpg,
2,bootstrap,global_fit,375,5000,,58.7276201993227,21.17709465545159,21.17709545103406,0.029208596795797348,7.568462268709917,0.3405216634273529,26.259597299955274,0.0,0.0,True,4.6587337010350893e-07,True,images/intermediates/002_iter_000375_bootstrap_global_fit_reconstruction.jpg,images/intermediates/002_iter_000375_bootstrap_global_fit_absolute_error_x4.jpg,
3,coverage_growth,coverage_birth,1391,5512,,76.30216990690678,21.866516755609652,21.866518309699785,0.027302101254463196,8.14810811553607,0.3045843541622162,26.94901994575624,0.0,0.0,True,5.823417268402409e-07,True,images/intermediates/003_iter_001391_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/003_iter_001391_coverage_growth_coverage_birth_absolute_error_x4.jpg,
4,coverage_growth,coverage_birth,1939,6024,,86.76552745699883,22.504706855430314,22.504708295505587,0.025574512779712677,8.541173938082732,0.2813212275505066,27.587210032957728,0.0,0.0,True,4.6587337010350893e-07,True,images/intermediates/004_iter_001939_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/004_iter_001939_coverage_growth_coverage_birth_absolute_error_x4.jpg,
5,coverage_growth,coverage_birth,2487,6536,,96.90159418806434,23.104468346295363,23.10446999963225,0.023929806426167488,8.82624045956067,0.26375049352645874,28.186971454033202,0.0,0.0,True,4.6587337010350893e-07,True,images/intermediates/005_iter_002487_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/005_iter_002487_coverage_growth_coverage_birth_absolute_error_x4.jpg,
6,coverage_growth,global_fit,2955,6536,,106.35973154194653,23.29466727033879,23.294687566787026,0.023146912455558777,8.933354235694216,0.2555140256881714,28.37717021548265,0.0,0.0,True,4.600499323714757e-06,True,images/intermediates/006_iter_002955_coverage_growth_global_fit_reconstruction.jpg,images/intermediates/006_iter_002955_coverage_growth_global_fit_absolute_error_x4.jpg,
7,coverage_growth,coverage_birth,3035,7048,,107.18493831064552,23.702981304541137,23.703003601803758,0.02207627333700657,9.236307859585951,0.2372756153345108,28.785484121481062,0.0,0.0,True,4.600499323714757e-06,True,images/intermediates/007_iter_003035_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/007_iter_003035_coverage_growth_coverage_birth_absolute_error_x4.jpg,
8,coverage_growth,coverage_birth,3583,7560,,117.67825642693788,24.36462262447536,24.36464831488005,0.02059360407292843,9.435412007822109,0.22575916349887848,29.447125453667013,0.0,0.0,True,4.5422652874549385e-06,True,images/intermediates/008_iter_003583_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/008_iter_003583_coverage_growth_coverage_birth_absolute_error_x4.jpg,
9,coverage_growth,global_fit,4051,7560,,127.37383232358843,24.47474624513678,24.474904631870125,0.020207954570651054,9.509637237573699,0.22199185192584991,29.55724909643395,0.0,0.0,True,9.433935701963492e-06,True,images/intermediates/009_iter_004051_coverage_growth_global_fit_reconstruction.jpg,images/intermediates/009_iter_004051_coverage_growth_global_fit_absolute_error_x4.jpg,
10,coverage_growth,coverage_birth,4131,8000,,128.26405349373817,25.084142630312435,25.08432455096618,0.019167739897966385,9.761359185032596,0.21044841408729553,30.16664561814297,0.0,0.0,True,9.433935701963492e-06,True,images/intermediates/010_iter_004131_coverage_growth_coverage_birth_reconstruction.jpg,images/intermediates/010_iter_004131_coverage_growth_coverage_birth_absolute_error_x4.jpg,
11,detail_growth,global_fit,4599,8000,,136.05307230725884,25.119630936419867,25.119690429861514,0.019054120406508446,9.801744244741363,0.20879162847995758,30.20213397833059,0.0,0.0,True,8.094550139503554e-06,True,images/intermediates/011_iter_004599_detail_growth_global_fit_reconstruction.jpg,images/intermediates/011_iter_004599_detail_growth_global_fit_absolute_error_x4.jpg,
12,detail_growth,coverage_birth,5159,8256,,142.22658271435648,25.350441799366244,25.35050454020812,0.018692852929234505,9.905065793860256,0.20428679883480072,30.43294514373837,0.0,0.0,True,8.094550139503554e-06,True,images/intermediates/012_iter_005159_detail_growth_coverage_birth_reconstruction.jpg,images/intermediates/012_iter_005159_detail_growth_coverage_birth_absolute_error_x4.jpg,
13,detail_growth,coverage_birth,6187,8512,,156.26940134353936,25.62329134740542,25.623358525600572,0.018312333151698112,10.05813304979278,0.19802847504615784,30.705794328138772,0.0,0.0,True,8.094550139503554e-06,True,images/intermediates/013_iter_006187_detail_growth_coverage_birth_reconstruction.jpg,images/intermediates/013_iter_006187_detail_growth_coverage_birth_absolute_error_x4.jpg,
14,detail_growth,detail_birth,7215,8768,,170.37493674457073,25.86157053828099,25.861625908037887,0.018008071929216385,10.269777833604884,0.1899402141571045,30.944073651610413,0.0,0.0,True,7.5704424489231315e-06,True,images/intermediates/014_iter_007215_detail_growth_detail_birth_reconstruction.jpg,images/intermediates/014_iter_007215_detail_growth_detail_birth_absolute_error_x4.jpg,
